ticker,conm,ret,year,month,EW,VW,PW,n
SIR,SELECT INCOME REIT,,2012,3,1,,,9408
SIR,SELECT INCOME REIT,0.0132860939,2012,4,1,677.4,22.58,9408
SIR,SELECT INCOME REIT,-0.040646853,2012,5,1,686.4,22.88,9408
SIR,SELECT INCOME REIT,0.0824601367,2012,6,1,684.84,21.95,9408
SIR,SELECT INCOME REIT,0.0795454545,2012,7,1,741.312,23.76,9408
SIR,SELECT INCOME REIT,-0.01391097,2012,8,1,784.992,25.16,9408
SIR,SELECT INCOME REIT,-0.007658202,2012,9,1,774.072,24.81,9408
SIR,SELECT INCOME REIT,0.020714866,2012,10,1,768.144,24.62,9408
SIR,SELECT INCOME REIT,0.0113314448,2012,11,1,770.952,24.71,9408
SIR,SELECT INCOME REIT,-0.008803521,2012,12,1,780.51267,24.99,9408
SIR,SELECT INCOME REIT,0.033104562,2013,1,1,947.03141,24.77,9408
SIR,SELECT INCOME REIT,0.10488677,2013,2,1,962.32461,25.17,9408
SIR,SELECT INCOME REIT,-0.048903272,2013,3,1,1092.46023,27.81,9408
SIR,SELECT INCOME REIT,0.0952741021,2013,4,1,1039.03535,26.45,9408
SIR,SELECT INCOME REIT,-0.045566071,2013,5,1,1120.74399,28.53,9408
SIR,SELECT INCOME REIT,0.029746603,2013,6,1,1069.67609,27.23,9408
SIR,SELECT INCOME REIT,-0.02211127,2013,7,1,1396.19572,28.04,9408
SIR,SELECT INCOME REIT,-0.098220904,2013,8,1,1343.41514,26.98,9408
SIR,SELECT INCOME REIT,0.0604192355,2013,9,1,1211.46369,24.33,9408
SIR,SELECT INCOME REIT,0.0856589147,2013,10,1,1284.6594,25.8,9408
SIR,SELECT INCOME REIT,-0.00399274,2013,11,1,1371.79715,27.55,9408
SIR,SELECT INCOME REIT,-0.025510204,2013,12,1,1367.3352,27.44,9408
SIR,SELECT INCOME REIT,0.0493642483,2014,1,1,1332.4542,26.74,9408
SIR,SELECT INCOME REIT,0.0561594203,2014,2,1,1375.308,27.6,9408
SIR,SELECT INCOME REIT,0.0384219554,2014,3,1,1452.6028,29.15,9408
SIR,SELECT INCOME REIT,0.0327056492,2014,4,1,1509.50436,30.27,9408
SIR,SELECT INCOME REIT,-0.066601689,2014,5,1,1535.02938,30.78,9408
SIR,SELECT INCOME REIT,0.0316742081,2014,6,1,1691.79478,28.73,9408
SIR,SELECT INCOME REIT,-0.04757085,2014,7,1,1745.38104,29.64,9408
SIR,SELECT INCOME REIT,0.0054054054,2014,8,1,1662.003,27.75,9408
SIR,SELECT INCOME REIT,-0.137992832,2014,9,1,1670.9868,27.9,9408
SIR,SELECT INCOME REIT,0.0390852391,2014,10,1,1440.47475,24.05,9408
SIR,SELECT INCOME REIT,-0.05752754,2014,11,1,1469.44803,24.51,9408
SIR,SELECT INCOME REIT,0.0567099567,2014,12,1,1384.9143,23.1,9408
SIR,SELECT INCOME REIT,0.0446251536,2015,1,1,1463.6236,24.41,9408
SIR,SELECT INCOME REIT,-0.007237636,2015,2,1,1491.2052,24.87,9408
SIR,SELECT INCOME REIT,0.0121506683,2015,3,1,2182.74414,24.69,9408
SIR,SELECT INCOME REIT,-0.058247299,2015,4,1,2209.26594,24.99,9408
SIR,SELECT INCOME REIT,0.0107805088,2015,5,1,2050.48299,23.19,9408
SIR,SELECT INCOME REIT,-0.119453925,2015,6,1,2072.58824,23.44,9408
SIR,SELECT INCOME REIT,-0.003391473,2015,7,1,1843.17264,20.64,9408
SIR,SELECT INCOME REIT,-0.075734928,2015,8,1,1792.83303,20.07,9408
SIR,SELECT INCOME REIT,0.0247978437,2015,9,1,1657.05295,18.55,9408
SIR,SELECT INCOME REIT,0.0889005786,2015,10,1,1698.14429,19.01,9408
SIR,SELECT INCOME REIT,0.0168316832,2015,11,1,1805.3548,20.2,9408
SIR,SELECT INCOME REIT,-0.023851022,2015,12,1,1835.74196,20.54,9408
SIR,SELECT INCOME REIT,-0.021190716,2016,1,1,1771.39268,19.82,9408
SIR,SELECT INCOME REIT,0.091005291,2016,2,1,1689.1686,18.9,9408
SIR,SELECT INCOME REIT,0.1178467507,2016,3,1,1842.89188,20.62,9408
SIR,SELECT INCOME REIT,0.0260303688,2016,4,1,2060.0707,23.05,9408
SIR,SELECT INCOME REIT,0.0639308855,2016,5,1,2069.0081,23.15,9408
SIR,SELECT INCOME REIT,0.0552172148,2016,6,1,2201.28162,24.63,9408
SIR,SELECT INCOME REIT,0.0877260485,2016,7,1,2322.83026,25.99,9408
SIR,SELECT INCOME REIT,-0.016930836,2016,8,1,2481.38312,27.76,9408
SIR,SELECT INCOME REIT,-0.014290949,2016,9,1,2439.37123,27.29,9408
SIR,SELECT INCOME REIT,-0.06133829,2016,10,1,2404.5103,26.9,9408
SIR,SELECT INCOME REIT,-0.012126112,2016,11,1,2212.47346,24.74,9408
SIR,SELECT INCOME REIT,0.031096563,2016,12,1,2185.64476,24.44,9408
SIR,SELECT INCOME REIT,0.0126984127,2017,1,1,2253.6108,25.2,9408
SIR,SELECT INCOME REIT,0.0395841663,2017,2,1,2236.61929,25.01,9408
SIR,SELECT INCOME REIT,-0.008076923,2017,3,1,2325.128,26,9408
SIR,SELECT INCOME REIT,-0.008530438,2017,4,1,2306.34812,25.79,9408
SIR,SELECT INCOME REIT,-0.047885076,2017,5,1,2241.06568,25.06,9408
SIR,SELECT INCOME REIT,0.0071248952,2017,6,1,2133.75208,23.86,9408
SIR,SELECT INCOME REIT,-0.002080732,2017,7,1,2148.95484,24.03,9408
SIR,SELECT INCOME REIT,-0.011077972,2017,8,1,2099.22721,23.47,9408
SIR,SELECT INCOME REIT,0.0090478242,2017,9,1,2075.97203,23.21,9408
SIR,SELECT INCOME REIT,0.0533731853,2017,10,1,2094.75506,23.42,9408
SIR,SELECT INCOME REIT,0.0384933775,2017,11,1,2162.00592,24.16,9408
SIR,SELECT INCOME REIT,0.0015942607,2017,12,1,2245.22883,25.09,9408
SIR,SELECT INCOME REIT,-0.089932352,2018,1,1,2248.80831,25.13,9408
SIR,SELECT INCOME REIT,-0.187388193,2018,2,1,2000.92932,22.36,9408
SIR,SELECT INCOME REIT,0.072096863,2018,3,1,1625.97879,18.17,9408
SIR,SELECT INCOME REIT,-0.000513347,2018,4,1,1743.20676,19.48,9408
SIR,SELECT INCOME REIT,0.1392405063,2018,5,1,1696.67352,18.96,9408
SIR,SELECT INCOME REIT,0.0402777778,2018,6,1,1932.984,21.6,9408
SIR,SELECT INCOME REIT,-0.049399199,2018,7,1,2010.8403,22.47,9408
SIR,SELECT INCOME REIT,-0.014388489,2018,8,1,1865.8665,20.85,9408
SIR,SELECT INCOME REIT,0.0676399027,2018,9,1,1839.32775,20.55,9408
SIR,SELECT INCOME REIT,-0.114858706,2018,10,1,1964.9464,21.94,9408
SIR,SELECT INCOME REIT,0.0206240085,2018,11,1,1693.40941,18.91,9408
SIR,SELECT INCOME REIT,-0.110678756,2018,12,1,1728.3343,19.3,9408
