ticker,conm,ret,year,month,EW,VW,PW,n
SKBO,SKIBO FINANCIAL CORP,-0.163265306,2000,1,1,20.892375,6.125,6875
SKBO,SKIBO FINANCIAL CORP,0.0243902439,2000,2,1,17.481375,5.125,6875
SKBO,SKIBO FINANCIAL CORP,0.0142857143,2000,3,1,17.44575,5.25,6875
SKBO,SKIBO FINANCIAL CORP,0.1666666667,2000,4,1,17.44575,5.25,6875
SKBO,SKIBO FINANCIAL CORP,0.0204081633,2000,5,1,20.353375,6.125,6875
SKBO,SKIBO FINANCIAL CORP,0.084,2000,6,1,20.76875,6.25,6875
SKBO,SKIBO FINANCIAL CORP,0.0754716981,2000,7,1,21.776375,6.625,6875
SKBO,SKIBO FINANCIAL CORP,-0.01754386,2000,8,1,23.419875,7.125,6875
SKBO,SKIBO FINANCIAL CORP,-0.007142857,2000,9,1,23.009,7,6875
SKBO,SKIBO FINANCIAL CORP,0,2000,10,1,22.598125,6.875,6875
SKBO,SKIBO FINANCIAL CORP,0.0909090909,2000,11,1,21.835,6.875,6875
SKBO,SKIBO FINANCIAL CORP,-0.106666667,2000,12,1,23.82,7.5,6875
SKBO,SKIBO FINANCIAL CORP,0.0566037736,2001,1,1,21.041,6.625,6875
SKBO,SKIBO FINANCIAL CORP,0.1428571429,2001,2,1,22.232,7,6875
SKBO,SKIBO FINANCIAL CORP,0.015,2001,3,1,25.408,8,6875
SKBO,SKIBO FINANCIAL CORP,-0.085,2001,4,1,25.408,8,6875
SKBO,SKIBO FINANCIAL CORP,0.1885245902,2001,5,1,23.24832,7.32,6875
SKBO,SKIBO FINANCIAL CORP,0.0141176471,2001,6,1,26.775,8.5,6875
SKBO,SKIBO FINANCIAL CORP,0.1,2001,7,1,26.7835,8.5,6875
SKBO,SKIBO FINANCIAL CORP,0.2727272727,2001,8,1,29.46185,9.35,6875
SKBO,SKIBO FINANCIAL CORP,-0.065546218,2001,9,1,37.485,11.9,6875
SKBO,SKIBO FINANCIAL CORP,0,2001,10,1,34.65,11,6875
SKBO,SKIBO FINANCIAL CORP,0,2001,11,1,34.551,11,6875
SKBO,SKIBO FINANCIAL CORP,-0.016363636,2001,12,1,34.551,11,6875
SKBO,SKIBO FINANCIAL CORP,0.2428571429,2002,1,1,32.9805,10.5,6875
SKBO,SKIBO FINANCIAL CORP,-0.009195402,2002,2,1,40.99005,13.05,6875
SKBO,SKIBO FINANCIAL CORP,0.0054137664,2002,3,1,40.61313,12.93,6875
SKBO,SKIBO FINANCIAL CORP,-0.038819876,2002,4,1,40.45608,12.88,6875
SKBO,SKIBO FINANCIAL CORP,0.0339256866,2002,5,1,38.88558,12.38,6875
SKBO,SKIBO FINANCIAL CORP,0.08359375,2002,6,1,40.2048,12.8,6875
SKBO,SKIBO FINANCIAL CORP,-0.031226766,2002,7,1,42.2599,13.45,6875
SKBO,SKIBO FINANCIAL CORP,-0.029163469,2002,8,1,40.92723,13.03,6875
SKBO,SKIBO FINANCIAL CORP,-0.03083004,2002,9,1,39.73365,12.65,6875
SKBO,SKIBO FINANCIAL CORP,0.1208333333,2002,10,1,37.692,12,6875
SKBO,SKIBO FINANCIAL CORP,-0.018867925,2002,11,1,41.61825,13.25,6875
SKBO,SKIBO FINANCIAL CORP,0.1015384615,2002,12,1,40.833,13,6875
SKBO,SKIBO FINANCIAL CORP,-0.01,2003,1,1,43.974,14,6875
SKBO,SKIBO FINANCIAL CORP,0.0642135642,2003,2,1,43.70058,13.86,6875
SKBO,SKIBO FINANCIAL CORP,-0.025762712,2003,3,1,46.50675,14.75,6875
SKBO,SKIBO FINANCIAL CORP,-0.021052632,2003,4,1,44.93025,14.25,6875
SKBO,SKIBO FINANCIAL CORP,0.0035842294,2003,5,1,43.98435,13.95,6875
SKBO,SKIBO FINANCIAL CORP,-0.035,2003,6,1,44.142,14,6875
SKBO,SKIBO FINANCIAL CORP,-0.000740192,2003,7,1,42.59703,13.51,6875
SKBO,SKIBO FINANCIAL CORP,-0.043773585,2003,8,1,41.77725,13.25,6875
SKBO,SKIBO FINANCIAL CORP,0.3354380426,2003,9,1,39.94851,12.67,6875
SKBO,SKIBO FINANCIAL CORP,0.0011820331,2003,10,1,53.34876,16.92,6875
SKBO,SKIBO FINANCIAL CORP,0.0047225502,2003,11,1,53.41182,16.94,6875
SKBO,SKIBO FINANCIAL CORP,-0.005875441,2003,12,1,53.66406,17.02,6875
SKBO,SKIBO FINANCIAL CORP,0.0011820331,2004,1,1,53.34876,16.92,6875
SKBO,SKIBO FINANCIAL CORP,0.0005903188,2004,2,1,53.41182,16.94,6875
SKBO,SKIBO FINANCIAL CORP,-0.001769912,2004,3,1,53.44335,16.95,6875
SKBO,SKIBO FINANCIAL CORP,0.0023640662,2004,4,1,53.34876,16.92,6875
SKBO,SKIBO FINANCIAL CORP,0.0023584906,2004,5,1,53.47488,16.96,6875
