ticker,conm,ret,year,month,EW,VW,PW,n
SKO.1,SHOPKO STORES INC,-0.203804348,2000,1,1,699.108,23,3635
SKO.1,SHOPKO STORES INC,-0.092150171,2000,2,1,556.62675,18.3125,3635
SKO.1,SHOPKO STORES INC,0.0676691729,2000,3,1,505.3335,16.625,3635
SKO.1,SHOPKO STORES INC,0.0070422535,2000,4,1,539.529,17.75,3635
SKO.1,SHOPKO STORES INC,0.027972028,2000,5,1,543.3285,17.875,3635
SKO.1,SHOPKO STORES INC,-0.163265306,2000,6,1,543.624375,18.375,3635
SKO.1,SHOPKO STORES INC,-0.06097561,2000,7,1,455.31525,15.375,3635
SKO.1,SHOPKO STORES INC,-0.207792208,2000,8,1,427.552125,14.4375,3635
SKO.1,SHOPKO STORES INC,-0.092896175,2000,9,1,338.710125,11.4375,3635
SKO.1,SHOPKO STORES INC,-0.385542169,2000,10,1,307.24525,10.375,3635
SKO.1,SHOPKO STORES INC,-0.049019608,2000,11,1,188.78925,6.375,3635
SKO.1,SHOPKO STORES INC,-0.175257732,2000,12,1,179.534875,6.0625,3635
SKO.1,SHOPKO STORES INC,1.198,2001,1,1,143.495,5,3635
SKO.1,SHOPKO STORES INC,-0.117379436,2001,2,1,315.40201,10.99,3635
SKO.1,SHOPKO STORES INC,-0.175257732,2001,3,1,278.3803,9.7,3635
SKO.1,SHOPKO STORES INC,-0.005,2001,4,1,229.592,8,3635
SKO.1,SHOPKO STORES INC,-0.057788945,2001,5,1,228.44404,7.96,3635
SKO.1,SHOPKO STORES INC,-0.029333333,2001,6,1,215.2425,7.5,3635
SKO.1,SHOPKO STORES INC,0.1881868132,2001,7,1,209.29272,7.28,3635
SKO.1,SHOPKO STORES INC,0.0485549133,2001,8,1,248.67885,8.65,3635
SKO.1,SHOPKO STORES INC,-0.085997795,2001,9,1,260.75343,9.07,3635
SKO.1,SHOPKO STORES INC,0.0434258142,2001,10,1,238.32921,8.29,3635
SKO.1,SHOPKO STORES INC,0.0774566474,2001,11,1,248.67885,8.65,3635
SKO.1,SHOPKO STORES INC,0.0193133047,2001,12,1,267.94068,9.32,3635
SKO.1,SHOPKO STORES INC,0.28,2002,1,1,272.878,9.5,3635
SKO.1,SHOPKO STORES INC,0.1595394737,2002,2,1,349.28384,12.16,3635
SKO.1,SHOPKO STORES INC,0.2836879433,2002,3,1,405.0084,14.1,3635
SKO.1,SHOPKO STORES INC,0.1508287293,2002,4,1,519.9044,18.1,3635
SKO.1,SHOPKO STORES INC,-0.012481997,2002,5,1,598.71669,20.83,3635
SKO.1,SHOPKO STORES INC,-0.01798736,2002,6,1,591.24351,20.57,3635
SKO.1,SHOPKO STORES INC,-0.182178218,2002,7,1,582.0428,20.2,3635
SKO.1,SHOPKO STORES INC,-0.130750605,2002,8,1,476.00728,16.52,3635
SKO.1,SHOPKO STORES INC,-0.090529248,2002,9,1,413.76904,14.36,3635
SKO.1,SHOPKO STORES INC,-0.029862175,2002,10,1,377.13362,13.06,3635
SKO.1,SHOPKO STORES INC,0.1247040253,2002,11,1,365.87159,12.67,3635
SKO.1,SHOPKO STORES INC,-0.126315789,2002,12,1,411.49725,14.25,3635
SKO.1,SHOPKO STORES INC,-0.096385542,2003,1,1,360.14115,12.45,3635
SKO.1,SHOPKO STORES INC,-0.026666667,2003,2,1,325.42875,11.25,3635
SKO.1,SHOPKO STORES INC,0.0639269406,2003,3,1,316.75065,10.95,3635
SKO.1,SHOPKO STORES INC,0.0326180258,2003,4,1,336.99955,11.65,3635
SKO.1,SHOPKO STORES INC,-0.028262677,2003,5,1,349.97676,12.03,3635
SKO.1,SHOPKO STORES INC,0.1120615911,2003,6,1,340.08548,11.69,3635
SKO.1,SHOPKO STORES INC,0.0461538462,2003,7,1,378.365,13,3635
SKO.1,SHOPKO STORES INC,0.0125,2003,8,1,395.828,13.6,3635
SKO.1,SHOPKO STORES INC,0.0893246187,2003,9,1,400.77585,13.77,3635
SKO.1,SHOPKO STORES INC,0.032,2003,10,1,437.175,15,3635
SKO.1,SHOPKO STORES INC,0.0755813953,2003,11,1,451.1646,15.48,3635
SKO.1,SHOPKO STORES INC,-0.084084084,2003,12,1,485.26425,16.65,3635
SKO.1,SHOPKO STORES INC,-0.076721311,2004,1,1,445.544,15.25,3635
SKO.1,SHOPKO STORES INC,0.0845170455,2004,2,1,411.36128,14.08,3635
SKO.1,SHOPKO STORES INC,-0.042567125,2004,3,1,446.12832,15.27,3635
SKO.1,SHOPKO STORES INC,-0.093023256,2004,4,1,427.13792,14.62,3635
SKO.1,SHOPKO STORES INC,0.0286576169,2004,5,1,389.1147,13.26,3635
SKO.1,SHOPKO STORES INC,0.0366568915,2004,6,1,400.2658,13.64,3635
SKO.1,SHOPKO STORES INC,0.0997171146,2004,7,1,415.2211,14.14,3635
SKO.1,SHOPKO STORES INC,0.0881028939,2004,8,1,456.62575,15.55,3635
SKO.1,SHOPKO STORES INC,0.0289598109,2004,9,1,496.8558,16.92,3635
SKO.1,SHOPKO STORES INC,-0.009764503,2004,10,1,512.65486,17.41,3635
SKO.1,SHOPKO STORES INC,0.0371229698,2004,11,1,507.64904,17.24,3635
SKO.1,SHOPKO STORES INC,0.0447427293,2004,12,1,526.49448,17.88,3635
SKO.1,SHOPKO STORES INC,-0.034796574,2005,1,1,552.16212,18.68,3635
SKO.1,SHOPKO STORES INC,-0.028840821,2005,2,1,532.94877,18.03,3635
SKO.1,SHOPKO STORES INC,0.2689891491,2005,3,1,517.57809,17.51,3635
SKO.1,SHOPKO STORES INC,0.0783078308,2005,4,1,656.80098,22.22,3635
SKO.1,SHOPKO STORES INC,-0.010434057,2005,5,1,713.91216,23.96,3635
SKO.1,SHOPKO STORES INC,0.0253057782,2005,6,1,706.46316,23.71,3635
SKO.1,SHOPKO STORES INC,0.0468942822,2005,7,1,732.07134,24.31,3635
SKO.1,SHOPKO STORES INC,-0.022789784,2005,8,1,766.4013,25.45,3635
SKO.1,SHOPKO STORES INC,0.0261359067,2005,9,1,750.3279,24.87,3635
SKO.1,SHOPKO STORES INC,0.1234326019,2005,10,1,770.704,25.52,3635
SKO.1,SHOPKO STORES INC,0.0003487967,2005,11,1,867.61154,28.67,3635
SKO.1,SHOPKO STORES INC,0.0135983264,2005,12,1,867.94284,28.68,3635
SKO.1,SHOPKO STORES INC,0,2006,1,1,878.04567,29.01,3635
