ticker,conm,ret,year,month,EW,VW,PW,n
SMOD,SMART MODULAR TECHNOLOGIES,,2006,2,1,,,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.0342857143,2006,3,1,509.635,8.75,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.0276243094,2006,4,1,527.1082,9.05,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.076344086,2006,5,1,541.6971,9.3,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.0221187427,2006,6,1,500.34173,8.59,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.154897494,2006,7,1,511.40866,8.78,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.3342318059,2006,8,1,433.35026,7.42,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.0070707071,2006,9,1,578.1897,9.9,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.020060181,2006,10,1,582.27791,9.97,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.2169907881,2006,11,1,573.45992,9.77,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.1320437342,2006,12,1,697.89544,11.89,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.077265973,2007,1,1,793.79004,13.46,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.126409018,2007,2,1,735.74838,12.42,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.1788018433,2007,3,1,642.74315,10.85,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.0398749023,2007,4,1,757.66681,12.79,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.077443609,2007,5,1,794.7415,13.3,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.039776692,2007,6,1,856.28915,14.33,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.106831395,2007,7,1,822.2288,13.76,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.109031733,2007,8,1,742.42661,12.29,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.347031963,2007,9,1,661.47855,10.95,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.2363636364,2007,10,1,431.92435,7.15,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.049773756,2007,11,1,534.01556,8.84,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.2119047619,2007,12,1,510.0648,8.4,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.189587426,2008,1,1,618.16014,10.18,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.195151515,2008,2,1,502.3425,8.25,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.064759036,2008,3,1,404.3096,6.64,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.028985507,2008,4,1,378.1269,6.21,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.107794362,2008,5,1,367.47423,6.03,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.288104089,2008,6,1,327.86258,5.38,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.0208877285,2008,7,1,233.40403,3.83,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.199488491,2008,8,1,239.8394,3.91,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.041533546,2008,9,1,191.9942,3.13,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.096666667,2008,10,1,184.02,3,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.667896679,2008,11,1,166.2314,2.71,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.7111111111,2008,12,1,55.4328,0.9,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.253246753,2009,1,1,94.91944,1.54,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.0608695652,2009,2,1,70.8975,1.15,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.131147541,2009,3,1,75.213,1.22,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.7463768116,2009,4,1,85.18878,1.38,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.1493775934,2009,5,1,148.81027,2.41,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.180505415,2009,6,1,171.03919,2.77,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.3127753304,2009,7,1,140.16569,2.27,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.2852348993,2009,8,1,184.39644,2.98,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.2428198433,2009,9,1,236.99274,3.83,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.147058824,2009,10,1,294.53928,4.76,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.0911330049,2009,11,1,251.22468,4.06,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.4198645598,2009,12,1,274.7929,4.43,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.033386328,2010,1,1,390.18128,6.29,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.0526315789,2010,2,1,377.76864,6.08,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.20625,2010,3,1,397.6512,6.4,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.090673575,2010,4,1,479.66676,7.72,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.125356125,2010,5,1,438.11118,7.02,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.04723127,2010,6,1,383.19126,6.14,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.075213675,2010,7,1,365.09265,5.85,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.133086876,2010,8,1,338.74715,5.41,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.2857142857,2010,9,1,293.66435,4.69,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.2271973466,2010,10,1,377.56845,6.03,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.244594595,2010,11,1,463.351,7.4,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.030411449,2010,12,1,352.19236,5.59,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.1736111111,2011,1,1,363.3984,5.76,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.025147929,2011,2,1,426.58304,6.76,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.1197691198,2011,3,1,437.31072,6.93,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.1778350515,2011,4,1,489.68704,7.76,6258
SMOD,SMART MODULAR TECHNOLOGIES,0.0087527352,2011,5,1,584.81376,9.14,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.006507592,2011,6,1,600.50782,9.22,6258
SMOD,SMART MODULAR TECHNOLOGIES,-0.017467249,2011,7,1,596.92972,9.16,6258
