ticker,conm,ret,year,month,EW,VW,PW,n
SNCA,SENECA BIOPHARMA INC,,2006,12,1,,,9600
SNCA,SENECA BIOPHARMA INC,-0.116666667,2007,1,1,76.824,3,9600
SNCA,SENECA BIOPHARMA INC,-0.037735849,2007,2,1,67.8612,2.65,9600
SNCA,SENECA BIOPHARMA INC,0.2549019608,2007,3,1,65.3004,2.55,9600
SNCA,SENECA BIOPHARMA INC,0.203125,2007,4,1,81.9456,3.2,9600
SNCA,SENECA BIOPHARMA INC,-0.088311688,2007,5,1,111.20725,3.85,9600
SNCA,SENECA BIOPHARMA INC,-0.216524217,2007,6,1,102.25332,3.51,9600
SNCA,SENECA BIOPHARMA INC,-0.141818182,2007,7,1,80.113,2.75,9600
SNCA,SENECA BIOPHARMA INC,0.3813559322,2007,8,1,68.75152,2.36,9600
SNCA,SENECA BIOPHARMA INC,0.009202454,2007,9,1,95.13984,3.26,9600
SNCA,SENECA BIOPHARMA INC,-0.060790274,2007,10,1,96.01536,3.29,9600
SNCA,SENECA BIOPHARMA INC,-0.126213592,2007,11,1,90.17856,3.09,9600
SNCA,SENECA BIOPHARMA INC,0.3814814815,2007,12,1,81.1026,2.7,9600
SNCA,SENECA BIOPHARMA INC,-0.144772118,2008,1,1,112.04174,3.73,9600
SNCA,SENECA BIOPHARMA INC,-0.009373041,2008,2,1,95.82122,3.19,9600
SNCA,SENECA BIOPHARMA INC,-0.180405683,2008,3,1,94.9230838,3.1601,9600
SNCA,SENECA BIOPHARMA INC,-0.301158301,2008,4,1,83.07684,2.59,9600
SNCA,SENECA BIOPHARMA INC,-0.082872928,2008,5,1,58.05756,1.81,9600
SNCA,SENECA BIOPHARMA INC,-0.114457831,2008,6,1,53.24616,1.66,9600
SNCA,SENECA BIOPHARMA INC,0.0612244898,2008,7,1,47.15172,1.47,9600
SNCA,SENECA BIOPHARMA INC,0.1474358974,2008,8,1,50.03856,1.56,9600
SNCA,SENECA BIOPHARMA INC,-0.234636872,2008,9,1,57.55029,1.79,9600
SNCA,SENECA BIOPHARMA INC,0.1678832117,2008,10,1,44.04687,1.37,9600
SNCA,SENECA BIOPHARMA INC,0,2008,11,1,51.4416,1.6,9600
SNCA,SENECA BIOPHARMA INC,0.029375,2008,12,1,51.4416,1.6,9600
SNCA,SENECA BIOPHARMA INC,0.0564663024,2009,1,1,52.952697,1.647,9600
SNCA,SENECA BIOPHARMA INC,-0.459770115,2009,2,1,55.94274,1.74,9600
SNCA,SENECA BIOPHARMA INC,0.0425531915,2009,3,1,30.22194,0.94,9600
SNCA,SENECA BIOPHARMA INC,0.193877551,2009,4,1,31.50798,0.98,9600
SNCA,SENECA BIOPHARMA INC,-0.102564103,2009,5,1,39.48867,1.17,9600
SNCA,SENECA BIOPHARMA INC,-0.00952381,2009,6,1,35.43855,1.05,9600
SNCA,SENECA BIOPHARMA INC,0.1153846154,2009,7,1,35.10104,1.04,9600
SNCA,SENECA BIOPHARMA INC,-0.051724138,2009,8,1,39.15116,1.16,9600
SNCA,SENECA BIOPHARMA INC,0.4272727273,2009,9,1,38.0061,1.1,9600
SNCA,SENECA BIOPHARMA INC,-0.191082803,2009,10,1,54.24507,1.57,9600
SNCA,SENECA BIOPHARMA INC,0.4093700787,2009,11,1,43.87977,1.27,9600
SNCA,SENECA BIOPHARMA INC,0.000055869,2009,12,1,62.3404271,1.7899,9600
SNCA,SENECA BIOPHARMA INC,0.0446927374,2010,1,1,62.34391,1.79,9600
SNCA,SENECA BIOPHARMA INC,0.1122994652,2010,2,1,65.13023,1.87,9600
SNCA,SENECA BIOPHARMA INC,-0.014423077,2010,3,1,72.44432,2.08,9600
SNCA,SENECA BIOPHARMA INC,0.4292682927,2010,4,1,71.39945,2.05,9600
SNCA,SENECA BIOPHARMA INC,0.0136518771,2010,5,1,125.46553,2.93,9600
SNCA,SENECA BIOPHARMA INC,-0.158249158,2010,6,1,125.48547,2.97,9600
SNCA,SENECA BIOPHARMA INC,-0.02,2010,7,1,115.02,2.5,9600
SNCA,SENECA BIOPHARMA INC,-0.244897959,2010,8,1,112.7196,2.45,9600
SNCA,SENECA BIOPHARMA INC,0.3621621622,2010,9,1,85.1148,1.85,9600
SNCA,SENECA BIOPHARMA INC,-0.115079365,2010,10,1,115.94016,2.52,9600
SNCA,SENECA BIOPHARMA INC,-0.098654709,2010,11,1,102.98586,2.23,9600
SNCA,SENECA BIOPHARMA INC,0.0547263682,2010,12,1,93.41073,2.01,9600
SNCA,SENECA BIOPHARMA INC,-0.080188679,2011,1,1,98.52276,2.12,9600
SNCA,SENECA BIOPHARMA INC,0.0512820513,2011,2,1,90.62235,1.95,9600
SNCA,SENECA BIOPHARMA INC,-0.12195122,2011,3,1,95.26965,2.05,9600
SNCA,SENECA BIOPHARMA INC,-0.005555556,2011,4,1,87.0588,1.8,9600
SNCA,SENECA BIOPHARMA INC,-0.234636872,2011,5,1,86.57514,1.79,9600
SNCA,SENECA BIOPHARMA INC,0.0948905109,2011,6,1,66.42582,1.37,9600
SNCA,SENECA BIOPHARMA INC,-0.24,2011,7,1,72.729,1.5,9600
SNCA,SENECA BIOPHARMA INC,0.1228070175,2011,8,1,55.27404,1.14,9600
SNCA,SENECA BIOPHARMA INC,0.015625,2011,9,1,62.06208,1.28,9600
SNCA,SENECA BIOPHARMA INC,0.0153846154,2011,10,1,63.0318,1.3,9600
SNCA,SENECA BIOPHARMA INC,-0.113636364,2011,11,1,64.26024,1.32,9600
SNCA,SENECA BIOPHARMA INC,-0.175213675,2011,12,1,56.95794,1.17,9600
SNCA,SENECA BIOPHARMA INC,0.067357513,2012,1,1,46.97813,0.965,9600
SNCA,SENECA BIOPHARMA INC,0.1165048544,2012,2,1,50.14246,1.03,9600
SNCA,SENECA BIOPHARMA INC,-0.026086957,2012,3,1,62.8843,1.15,9600
SNCA,SENECA BIOPHARMA INC,-0.116071429,2012,4,1,60.34784,1.12,9600
SNCA,SENECA BIOPHARMA INC,0,2012,5,1,53.34318,0.99,9600
SNCA,SENECA BIOPHARMA INC,-0.070707071,2012,6,1,53.55405,0.99,9600
SNCA,SENECA BIOPHARMA INC,0.0105434783,2012,7,1,49.7674,0.92,9600
SNCA,SENECA BIOPHARMA INC,-0.316983973,2012,8,1,50.2921215,0.9297,9600
SNCA,SENECA BIOPHARMA INC,0.968503937,2012,9,1,38.160325,0.635,9600
SNCA,SENECA BIOPHARMA INC,-0.28,2012,10,1,84.99375,1.25,9600
SNCA,SENECA BIOPHARMA INC,0.3888888889,2012,11,1,61.1955,0.9,9600
SNCA,SENECA BIOPHARMA INC,-0.128,2012,12,1,84.98625,1.25,9600
SNCA,SENECA BIOPHARMA INC,0.128440367,2013,1,1,74.10801,1.09,9600
SNCA,SENECA BIOPHARMA INC,-0.138211382,2013,2,1,83.62647,1.23,9600
SNCA,SENECA BIOPHARMA INC,0.0566037736,2013,3,1,72.06834,1.06,9600
SNCA,SENECA BIOPHARMA INC,0.0625,2013,4,1,76.66064,1.12,9600
SNCA,SENECA BIOPHARMA INC,0.2773109244,2013,5,1,81.45193,1.19,9600
SNCA,SENECA BIOPHARMA INC,-0.019736842,2013,6,1,104.57296,1.52,9600
SNCA,SENECA BIOPHARMA INC,0.067114094,2013,7,1,103.16462,1.49,9600
SNCA,SENECA BIOPHARMA INC,0.0691823899,2013,8,1,110.08842,1.59,9600
SNCA,SENECA BIOPHARMA INC,0.5941176471,2013,9,1,121.8033,1.7,9600
SNCA,SENECA BIOPHARMA INC,-0.177121771,2013,10,1,205.01421,2.71,9600
SNCA,SENECA BIOPHARMA INC,0.2152466368,2013,11,1,168.70173,2.23,9600
SNCA,SENECA BIOPHARMA INC,0.073800738,2013,12,1,207.75673,2.71,9600
SNCA,SENECA BIOPHARMA INC,0.1305841924,2014,1,1,223.08933,2.91,9600
SNCA,SENECA BIOPHARMA INC,0.085106383,2014,2,1,279.16637,3.29,9600
SNCA,SENECA BIOPHARMA INC,0.1736694678,2014,3,1,302.92521,3.57,9600
SNCA,SENECA BIOPHARMA INC,-0.140811456,2014,4,1,361.25342,4.19,9600
SNCA,SENECA BIOPHARMA INC,0.1944444444,2014,5,1,312.3432,3.6,9600
SNCA,SENECA BIOPHARMA INC,-0.018604651,2014,6,1,373.0766,4.3,9600
SNCA,SENECA BIOPHARMA INC,-0.322274882,2014,7,1,366.13564,4.22,9600
SNCA,SENECA BIOPHARMA INC,0.4230769231,2014,8,1,248.13932,2.86,9600
SNCA,SENECA BIOPHARMA INC,-0.194103194,2014,9,1,353.42659,4.07,9600
SNCA,SENECA BIOPHARMA INC,-0.161585366,2014,10,1,284.82536,3.28,9600
SNCA,SENECA BIOPHARMA INC,0.0218181818,2014,11,1,238.80175,2.75,9600
SNCA,SENECA BIOPHARMA INC,-0.03202847,2014,12,1,245.4816,2.81,9600
SNCA,SENECA BIOPHARMA INC,0.1397058824,2015,1,1,237.6192,2.72,9600
SNCA,SENECA BIOPHARMA INC,0.2129032258,2015,2,1,270.816,3.1,9600
SNCA,SENECA BIOPHARMA INC,-0.494680851,2015,3,1,328.4736,3.76,9600
SNCA,SENECA BIOPHARMA INC,-0.110526316,2015,4,1,170.4357,1.9,9600
SNCA,SENECA BIOPHARMA INC,-0.088757396,2015,5,1,152.66953,1.69,9600
SNCA,SENECA BIOPHARMA INC,0.2597402597,2015,6,1,139.11898,1.54,9600
SNCA,SENECA BIOPHARMA INC,-0.108247423,2015,7,1,175.25378,1.94,9600
SNCA,SENECA BIOPHARMA INC,-0.156069364,2015,8,1,156.28301,1.73,9600
SNCA,SENECA BIOPHARMA INC,-0.164383562,2015,9,1,134.00756,1.46,9600
SNCA,SENECA BIOPHARMA INC,-0.032786885,2015,10,1,111.97892,1.22,9600
SNCA,SENECA BIOPHARMA INC,-0.06779661,2015,11,1,108.30748,1.18,9600
SNCA,SENECA BIOPHARMA INC,-0.063636364,2015,12,1,100.9646,1.1,9600
SNCA,SENECA BIOPHARMA INC,-0.242718447,2016,1,1,94.53958,1.03,9600
SNCA,SENECA BIOPHARMA INC,0.2820512821,2016,2,1,71.59308,0.78,9600
SNCA,SENECA BIOPHARMA INC,-0.25,2016,3,1,91.786,1,9600
SNCA,SENECA BIOPHARMA INC,-0.2,2016,4,1,69.033,0.75,9600
SNCA,SENECA BIOPHARMA INC,-0.441666667,2016,5,1,55.2264,0.6,9600
SNCA,SENECA BIOPHARMA INC,-0.131343284,2016,6,1,37.52201,0.335,9600
SNCA,SENECA BIOPHARMA INC,-0.186254296,2016,7,1,32.593746,0.291,9600
SNCA,SENECA BIOPHARMA INC,0.2035472973,2016,8,1,27.1754048,0.2368,9600
SNCA,SENECA BIOPHARMA INC,0.1228070175,2016,9,1,32.706885,0.285,9600
SNCA,SENECA BIOPHARMA INC,-0.18125,2016,10,1,36.72352,0.32,9600
SNCA,SENECA BIOPHARMA INC,0.0709923664,2016,11,1,30.067382,0.262,9600
SNCA,SENECA BIOPHARMA INC,-0.025659301,2016,12,1,32.2294354,0.2806,9600
SNCA,SENECA BIOPHARMA INC,-0.158742612,2017,1,1,31.4024506,0.2734,9600
SNCA,SENECA BIOPHARMA INC,0.5484949833,2017,2,1,32.98867,2.99,9600
SNCA,SENECA BIOPHARMA INC,0.1403887689,2017,3,1,51.08279,4.63,9600
SNCA,SENECA BIOPHARMA INC,-0.102272727,2017,4,1,58.3176,5.28,9600
SNCA,SENECA BIOPHARMA INC,-0.05907173,2017,5,1,52.3533,4.74,9600
SNCA,SENECA BIOPHARMA INC,0.298206278,2017,6,1,53.06954,4.46,9600
SNCA,SENECA BIOPHARMA INC,-0.732297064,2017,7,1,68.97048,5.79,9600
SNCA,SENECA BIOPHARMA INC,-0.232258065,2017,8,1,18.6186,1.55,9600
SNCA,SENECA BIOPHARMA INC,0.1092436975,2017,9,1,14.41923,1.19,9600
SNCA,SENECA BIOPHARMA INC,-0.083333333,2017,10,1,15.99444,1.32,9600
SNCA,SENECA BIOPHARMA INC,-0.05785124,2017,11,1,14.66157,1.21,9600
SNCA,SENECA BIOPHARMA INC,0.5087719298,2017,12,1,17.26644,1.14,9600
SNCA,SENECA BIOPHARMA INC,0.0639534884,2018,1,1,26.05112,1.72,9600
SNCA,SENECA BIOPHARMA INC,-0.174863388,2018,2,1,27.71718,1.83,9600
SNCA,SENECA BIOPHARMA INC,0.0927152318,2018,3,1,22.87046,1.51,9600
SNCA,SENECA BIOPHARMA INC,0,2018,4,1,24.9909,1.65,9600
SNCA,SENECA BIOPHARMA INC,0.0143030303,2018,5,1,25.014,1.65,9600
SNCA,SENECA BIOPHARMA INC,-0.336759082,2018,6,1,25.371776,1.6736,9600
SNCA,SENECA BIOPHARMA INC,0.018018018,2018,7,1,16.8276,1.11,9600
SNCA,SENECA BIOPHARMA INC,0.0796460177,2018,8,1,17.1308,1.13,9600
SNCA,SENECA BIOPHARMA INC,-0.12295082,2018,9,1,18.4952,1.22,9600
SNCA,SENECA BIOPHARMA INC,-0.454299065,2018,10,1,16.2212,1.07,9600
SNCA,SENECA BIOPHARMA INC,-0.138551122,2018,11,1,10.603624,0.5839,9600
SNCA,SENECA BIOPHARMA INC,-0.377534791,2018,12,1,9.157115,0.503,9600
SNCA,SENECA BIOPHARMA INC,0.3733631428,2019,1,1,5.6999855,0.3131,9600
SNCA,SENECA BIOPHARMA INC,0.091627907,2019,2,1,7.82815,0.43,9600
SNCA,SENECA BIOPHARMA INC,-0.053472518,2019,3,1,8.545427,0.4694,9600
SNCA,SENECA BIOPHARMA INC,0.1343686698,2019,4,1,8.0884815,0.4443,9600
SNCA,SENECA BIOPHARMA INC,-0.115079365,2019,5,1,10.086552,0.504,9600
SNCA,SENECA BIOPHARMA INC,-0.340807175,2019,6,1,8.925798,0.446,9600
SNCA,SENECA BIOPHARMA INC,-0.62585034,2019,7,1,5.883822,0.294,9600
SNCA,SENECA BIOPHARMA INC,-0.222727273,2019,8,1,2.365,2.2,9600
SNCA,SENECA BIOPHARMA INC,-0.023391813,2019,9,1,3.591,1.71,9600
SNCA,SENECA BIOPHARMA INC,-0.089820359,2019,10,1,4.40546,1.67,9600
