ticker,conm,ret,year,month,EW,VW,PW,n
SNDS.1,SANDS REGENT,0.1886792453,2000,1,1,7.4465,1.65625,1343
SNDS.1,SANDS REGENT,-0.095238095,2000,2,1,8.8515,1.96875,1343
SNDS.1,SANDS REGENT,-0.035087719,2000,3,1,8.0120625,1.78125,1343
SNDS.1,SANDS REGENT,0.0181818182,2000,4,1,7.7309375,1.71875,1343
SNDS.1,SANDS REGENT,-0.017857143,2000,5,1,7.8715,1.75,1343
SNDS.1,SANDS REGENT,-0.163636364,2000,6,1,7.7309375,1.71875,1343
SNDS.1,SANDS REGENT,0.7391304348,2000,7,1,6.465875,1.4375,1343
SNDS.1,SANDS REGENT,0.075,2000,8,1,11.245,2.5,1343
SNDS.1,SANDS REGENT,-0.046511628,2000,9,1,12.088375,2.6875,1343
SNDS.1,SANDS REGENT,0.0609756098,2000,10,1,11.526125,2.5625,1343
SNDS.1,SANDS REGENT,-0.034482759,2000,11,1,12.2289375,2.71875,1343
SNDS.1,SANDS REGENT,-0.142857143,2000,12,1,11.80725,2.625,1343
SNDS.1,SANDS REGENT,0.1666666667,2001,1,1,10.12275,2.25,1343
SNDS.1,SANDS REGENT,0.380952381,2001,2,1,11.809875,2.625,1343
SNDS.1,SANDS REGENT,-0.310344828,2001,3,1,16.308875,3.625,1343
SNDS.1,SANDS REGENT,0.2,2001,4,1,11.2475,2.5,1343
SNDS.1,SANDS REGENT,-0.133333333,2001,5,1,13.497,3,1343
SNDS.1,SANDS REGENT,-0.003846154,2001,6,1,11.7026,2.6,1343
SNDS.1,SANDS REGENT,0.3590733591,2001,7,1,11.65759,2.59,1343
SNDS.1,SANDS REGENT,-0.005681818,2001,8,1,15.84352,3.52,1343
SNDS.1,SANDS REGENT,-0.245714286,2001,9,1,15.7535,3.5,1343
SNDS.1,SANDS REGENT,-0.015151515,2001,10,1,11.94864,2.64,1343
SNDS.1,SANDS REGENT,-0.069230769,2001,11,1,11.7676,2.6,1343
SNDS.1,SANDS REGENT,-0.049586777,2001,12,1,10.95292,2.42,1343
SNDS.1,SANDS REGENT,0.2869565217,2002,1,1,10.4098,2.3,1343
SNDS.1,SANDS REGENT,-0.027027027,2002,2,1,13.39696,2.96,1343
SNDS.1,SANDS REGENT,0.0746527778,2002,3,1,13.03488,2.88,1343
SNDS.1,SANDS REGENT,-0.021001616,2002,4,1,14.00797,3.095,1343
SNDS.1,SANDS REGENT,-0.00990099,2002,5,1,13.71378,3.03,1343
SNDS.1,SANDS REGENT,0.02,2002,6,1,13.578,3,1343
SNDS.1,SANDS REGENT,-0.08496732,2002,7,1,13.84956,3.06,1343
SNDS.1,SANDS REGENT,0,2002,8,1,12.6728,2.8,1343
SNDS.1,SANDS REGENT,-0.178571429,2002,9,1,12.6728,2.8,1343
SNDS.1,SANDS REGENT,-0.130434783,2002,10,1,10.4098,2.3,1343
SNDS.1,SANDS REGENT,0.89,2002,11,1,9.846,2,1343
SNDS.1,SANDS REGENT,-0.116402116,2002,12,1,18.60894,3.78,1343
SNDS.1,SANDS REGENT,0.1976047904,2003,1,1,16.44282,3.34,1343
SNDS.1,SANDS REGENT,-0.1875,2003,2,1,19.692,4,1343
SNDS.1,SANDS REGENT,-0.227692308,2003,3,1,15.99975,3.25,1343
SNDS.1,SANDS REGENT,0.0836653386,2003,4,1,12.35673,2.51,1343
SNDS.1,SANDS REGENT,0.1066176471,2003,5,1,13.39056,2.72,1343
SNDS.1,SANDS REGENT,0.0033222591,2003,6,1,14.87542,3.01,1343
SNDS.1,SANDS REGENT,0.0496688742,2003,7,1,14.92484,3.02,1343
SNDS.1,SANDS REGENT,0.2050473186,2003,8,1,15.66614,3.17,1343
SNDS.1,SANDS REGENT,-0.034031414,2003,9,1,18.87844,3.82,1343
SNDS.1,SANDS REGENT,0.2357723577,2003,10,1,18.61236,3.69,1343
SNDS.1,SANDS REGENT,-0.092105263,2003,11,1,22.81824,4.56,1343
SNDS.1,SANDS REGENT,0.4490338164,2003,12,1,20.88216,4.14,1343
SNDS.1,SANDS REGENT,0.0018336389,2004,1,1,30.258956,5.999,1343
SNDS.1,SANDS REGENT,0.2229617304,2004,2,1,30.31444,6.01,1343
SNDS.1,SANDS REGENT,0.1918367347,2004,3,1,37.53645,7.35,1343
SNDS.1,SANDS REGENT,-0.179223744,2004,4,1,44.73732,8.76,1343
SNDS.1,SANDS REGENT,-0.050069541,2004,5,1,36.71933,7.19,1343
SNDS.1,SANDS REGENT,0.2049780381,2004,6,1,38.56901,6.83,1343
SNDS.1,SANDS REGENT,-0.009720535,2004,7,1,46.47481,8.23,1343
SNDS.1,SANDS REGENT,-0.074723926,2004,8,1,46.02305,8.15,1343
SNDS.1,SANDS REGENT,0.1961278345,2004,9,1,42.584027,7.541,1343
SNDS.1,SANDS REGENT,0.0742793792,2004,10,1,50.93594,9.02,1343
SNDS.1,SANDS REGENT,0.2321981424,2004,11,1,54.71943,9.69,1343
SNDS.1,SANDS REGENT,0.0887772194,2004,12,1,68.15352,11.94,1343
SNDS.1,SANDS REGENT,-0.155384615,2005,1,1,90.155,13,1343
SNDS.1,SANDS REGENT,-0.040983607,2005,2,1,76.1463,10.98,1343
SNDS.1,SANDS REGENT,-0.040835708,2005,3,1,73.02555,10.53,1343
