ticker,conm,ret,year,month,EW,VW,PW,n
SPCHA,SPORT CHALET INC,,2005,9,1,,,3939
SPCHA,SPORT CHALET INC,-0.122222222,2005,10,1,,9,3939
SPCHA,SPORT CHALET INC,0.0696202532,2005,11,1,94.9027,7.9,3939
SPCHA,SPORT CHALET INC,-0.023668639,2005,12,1,100.3353,8.45,3939
SPCHA,SPORT CHALET INC,-0.083636364,2006,1,1,97.9605,8.25,3939
SPCHA,SPORT CHALET INC,0.0740740741,2006,2,1,89.76744,7.56,3939
SPCHA,SPORT CHALET INC,-0.077586207,2006,3,1,96.5468,8.12,3939
SPCHA,SPORT CHALET INC,0.0614152203,2006,4,1,89.0561,7.49,3939
SPCHA,SPORT CHALET INC,0.041509434,2006,5,1,94.5255,7.95,3939
SPCHA,SPORT CHALET INC,-0.009661836,2006,6,1,98.4492,8.28,3939
SPCHA,SPORT CHALET INC,0.0182926829,2006,7,1,98.8756,8.2,3939
SPCHA,SPORT CHALET INC,-0.017964072,2006,8,1,100.6843,8.35,3939
SPCHA,SPORT CHALET INC,0.1219512195,2006,9,1,98.9658,8.2,3939
SPCHA,SPORT CHALET INC,0.0673913043,2006,10,1,111.0348,9.2,3939
SPCHA,SPORT CHALET INC,-0.027494908,2006,11,1,118.51758,9.82,3939
SPCHA,SPORT CHALET INC,-0.036649215,2006,12,1,115.77465,9.55,3939
SPCHA,SPORT CHALET INC,0.0326086957,2007,1,1,111.5316,9.2,3939
SPCHA,SPORT CHALET INC,0.0684315789,2007,2,1,115.1685,9.5,3939
SPCHA,SPORT CHALET INC,0.0728958335,2007,3,1,124.3691753,10.1501,3939
SPCHA,SPORT CHALET INC,0.0229568411,2007,4,1,133.43517,10.89,3939
SPCHA,SPORT CHALET INC,-0.08438061,2007,5,1,136.49842,11.14,3939
SPCHA,SPORT CHALET INC,-0.012745098,2007,6,1,124.9806,10.2,3939
SPCHA,SPORT CHALET INC,0.0685203575,2007,7,1,124.19331,10.07,3939
SPCHA,SPORT CHALET INC,-0.126394052,2007,8,1,132.7246,10.76,3939
SPCHA,SPORT CHALET INC,-0.042553191,2007,9,1,115.949,9.4,3939
SPCHA,SPORT CHALET INC,-0.145555556,2007,10,1,111.015,9,3939
SPCHA,SPORT CHALET INC,-0.026007802,2007,11,1,94.85615,7.69,3939
SPCHA,SPORT CHALET INC,-0.032042724,2007,12,1,92.44158,7.49,3939
SPCHA,SPORT CHALET INC,-0.267586207,2008,1,1,89.4795,7.25,3939
SPCHA,SPORT CHALET INC,-0.15819209,2008,2,1,65.53602,5.31,3939
SPCHA,SPORT CHALET INC,0.1610738255,2008,3,1,55.22238,4.47,3939
SPCHA,SPORT CHALET INC,-0.094412331,2008,4,1,64.11726,5.19,3939
SPCHA,SPORT CHALET INC,-0.082978723,2008,5,1,58.0638,4.7,3939
SPCHA,SPORT CHALET INC,0.1020881671,2008,6,1,53.24574,4.31,3939
SPCHA,SPORT CHALET INC,-0.252631579,2008,7,1,58.71,4.75,3939
SPCHA,SPORT CHALET INC,0.014084507,2008,8,1,43.878,3.55,3939
SPCHA,SPORT CHALET INC,-0.261111111,2008,9,1,44.496,3.6,3939
SPCHA,SPORT CHALET INC,-0.409774436,2008,10,1,32.8776,2.66,3939
SPCHA,SPORT CHALET INC,-0.585987261,2008,11,1,19.4052,1.57,3939
SPCHA,SPORT CHALET INC,-0.338461538,2008,12,1,8.034,0.65,3939
SPCHA,SPORT CHALET INC,-0.186046512,2009,1,1,5.3148,0.43,3939
SPCHA,SPORT CHALET INC,-0.404857143,2009,2,1,4.326,0.35,3939
SPCHA,SPORT CHALET INC,-0.087854057,2009,3,1,2.574588,0.2083,3939
SPCHA,SPORT CHALET INC,2.1578947368,2009,4,1,2.3484,0.19,3939
SPCHA,SPORT CHALET INC,-0.033333333,2009,5,1,7.416,0.6,3939
SPCHA,SPORT CHALET INC,2.5517241379,2009,6,1,7.1688,0.58,3939
SPCHA,SPORT CHALET INC,-0.247572816,2009,7,1,25.4616,2.06,3939
SPCHA,SPORT CHALET INC,0.3483870968,2009,8,1,19.158,1.55,3939
SPCHA,SPORT CHALET INC,-0.143588517,2009,9,1,25.8324,2.09,3939
SPCHA,SPORT CHALET INC,-0.066986983,2009,10,1,22.123164,1.7899,3939
SPCHA,SPORT CHALET INC,-0.023952096,2009,11,1,20.6412,1.67,3939
SPCHA,SPORT CHALET INC,0.0981595092,2009,12,1,20.1468,1.63,3939
SPCHA,SPORT CHALET INC,0.1060893855,2010,1,1,22.1244,1.79,3939
SPCHA,SPORT CHALET INC,0.0454568413,2010,2,1,24.471564,1.9799,3939
SPCHA,SPORT CHALET INC,0.265761631,2010,3,1,25.583964,2.0699,3939
SPCHA,SPORT CHALET INC,0.1641221374,2010,4,1,32.3832,2.62,3939
SPCHA,SPORT CHALET INC,-0.16747541,2010,5,1,37.698,3.05,3939
SPCHA,SPORT CHALET INC,-0.232041588,2010,6,1,31.384512,2.5392,3939
SPCHA,SPORT CHALET INC,0.1384615385,2010,7,1,24.20535,1.95,3939
SPCHA,SPORT CHALET INC,-0.310810811,2010,8,1,27.55686,2.22,3939
SPCHA,SPORT CHALET INC,0.2875816993,2010,9,1,18.99189,1.53,3939
SPCHA,SPORT CHALET INC,0.0609137056,2010,10,1,24.45361,1.97,3939
SPCHA,SPORT CHALET INC,-0.007177033,2010,11,1,25.94317,2.09,3939
SPCHA,SPORT CHALET INC,0.3493975904,2010,12,1,25.756975,2.075,3939
SPCHA,SPORT CHALET INC,-0.153535714,2011,1,1,34.7564,2.8,3939
SPCHA,SPORT CHALET INC,-0.097084511,2011,2,1,29.4200513,2.3701,3939
SPCHA,SPORT CHALET INC,-0.046775701,2011,3,1,26.56382,2.14,3939
SPCHA,SPORT CHALET INC,-0.102897201,2011,4,1,25.3212787,2.0399,3939
SPCHA,SPORT CHALET INC,0.0327868852,2011,5,1,22.71579,1.83,3939
SPCHA,SPORT CHALET INC,0.0899470899,2011,6,1,23.46057,1.89,3939
SPCHA,SPORT CHALET INC,-0.029126214,2011,7,1,25.57284,2.06,3939
SPCHA,SPORT CHALET INC,-0.075,2011,8,1,24.828,2,3939
SPCHA,SPORT CHALET INC,0,2011,9,1,22.9659,1.85,3939
SPCHA,SPORT CHALET INC,-0.032432432,2011,10,1,22.9659,1.85,3939
SPCHA,SPORT CHALET INC,-0.022346369,2011,11,1,22.22106,1.79,3939
