ticker,conm,ret,year,month,EW,VW,PW,n
SPCHB,SPORT CHALET INC,-0.024390244,2000,1,1,33.707125,5.125,3938
SPCHB,SPORT CHALET INC,-0.0625,2000,2,1,32.885,5,3938
SPCHB,SPORT CHALET INC,0,2000,3,1,30.8296875,4.6875,3938
SPCHB,SPORT CHALET INC,0.1733333333,2000,4,1,30.8296875,4.6875,3938
SPCHB,SPORT CHALET INC,-0.136363636,2000,5,1,36.1735,5.5,3938
SPCHB,SPORT CHALET INC,-0.026315789,2000,6,1,31.24075,4.75,3938
SPCHB,SPORT CHALET INC,0.1351351351,2000,7,1,30.418625,4.625,3938
SPCHB,SPORT CHALET INC,0.0714285714,2000,8,1,34.52925,5.25,3938
SPCHB,SPORT CHALET INC,-0.044444444,2000,9,1,36.995625,5.625,3938
SPCHB,SPORT CHALET INC,0.1744186047,2000,10,1,35.351375,5.375,3938
SPCHB,SPORT CHALET INC,0.0495049505,2000,11,1,41.5173125,6.3125,3938
SPCHB,SPORT CHALET INC,-0.20754717,2000,12,1,43.572625,6.625,3938
SPCHB,SPORT CHALET INC,0.4880952381,2001,1,1,34.52925,5.25,3938
SPCHB,SPORT CHALET INC,0.12,2001,2,1,51.3828125,7.8125,3938
SPCHB,SPORT CHALET INC,-0.085714286,2001,3,1,57.5575,8.75,3938
SPCHB,SPORT CHALET INC,0.15625,2001,4,1,52.624,8,3938
SPCHB,SPORT CHALET INC,-0.054054054,2001,5,1,60.8465,9.25,3938
SPCHB,SPORT CHALET INC,-0.045714286,2001,6,1,57.5575,8.75,3938
SPCHB,SPORT CHALET INC,0.1017964072,2001,7,1,54.943,8.35,3938
SPCHB,SPORT CHALET INC,0.0054347826,2001,8,1,60.536,9.2,3938
SPCHB,SPORT CHALET INC,-0.161081081,2001,9,1,60.865,9.25,3938
SPCHB,SPORT CHALET INC,0.0786082474,2001,10,1,51.0608,7.76,3938
SPCHB,SPORT CHALET INC,0.0394265233,2001,11,1,55.0746,8.37,3938
SPCHB,SPORT CHALET INC,0.091954023,2001,12,1,57.2982,8.7,3938
SPCHB,SPORT CHALET INC,-0.026315789,2002,1,1,62.567,9.5,3938
SPCHB,SPORT CHALET INC,0.0875675676,2002,2,1,60.98525,9.25,3938
SPCHB,SPORT CHALET INC,-0.105367793,2002,3,1,66.32558,10.06,3938
SPCHB,SPORT CHALET INC,-0.042222222,2002,4,1,59.337,9,3938
SPCHB,SPORT CHALET INC,0.0730858469,2002,5,1,56.83166,8.62,3938
SPCHB,SPORT CHALET INC,-0.027027027,2002,6,1,60.98525,9.25,3938
SPCHB,SPORT CHALET INC,-0.05,2002,7,1,59.454,9,3938
SPCHB,SPORT CHALET INC,-0.204561404,2002,8,1,56.4813,8.55,3938
SPCHB,SPORT CHALET INC,0.0220555801,2002,9,1,44.927406,6.801,3938
SPCHB,SPORT CHALET INC,-0.040425838,2002,10,1,45.918306,6.951,3938
SPCHB,SPORT CHALET INC,0.047976012,2002,11,1,44.06202,6.67,3938
SPCHB,SPORT CHALET INC,0.0087267525,2002,12,1,46.25982,6.99,3938
SPCHB,SPORT CHALET INC,-0.010069494,2003,1,1,46.663518,7.051,3938
SPCHB,SPORT CHALET INC,0.0085959885,2003,2,1,46.19364,6.98,3938
SPCHB,SPORT CHALET INC,-0.045454545,2003,3,1,46.59072,7.04,3938
SPCHB,SPORT CHALET INC,0.0416666667,2003,4,1,44.47296,6.72,3938
SPCHB,SPORT CHALET INC,0,2003,5,1,46.326,7,3938
SPCHB,SPORT CHALET INC,0.05,2003,6,1,46.354,7,3938
SPCHB,SPORT CHALET INC,-0.012380952,2003,7,1,48.7305,7.35,3938
SPCHB,SPORT CHALET INC,0.0056481609,2003,8,1,48.12717,7.259,3938
SPCHB,SPORT CHALET INC,-0.002739726,2003,9,1,48.399,7.3,3938
SPCHB,SPORT CHALET INC,-0.023214286,2003,10,1,48.2664,7.28,3938
SPCHB,SPORT CHALET INC,0.300801575,2003,11,1,47.14593,7.111,3938
SPCHB,SPORT CHALET INC,0.0594594595,2003,12,1,61.37375,9.25,3938
SPCHB,SPORT CHALET INC,0.0255102041,2004,1,1,65.023,9.8,3938
SPCHB,SPORT CHALET INC,0.1850746269,2004,2,1,66.68175,10.05,3938
SPCHB,SPORT CHALET INC,-0.023509656,2004,3,1,79.30869,11.91,3938
SPCHB,SPORT CHALET INC,-0.140154772,2004,4,1,77.44417,11.63,3938
SPCHB,SPORT CHALET INC,0.25,2004,5,1,66.59,10,3938
SPCHB,SPORT CHALET INC,0.0544,2004,6,1,83.425,12.5,3938
SPCHB,SPORT CHALET INC,-0.04400607,2004,7,1,87.96332,13.18,3938
SPCHB,SPORT CHALET INC,0.0317460317,2004,8,1,84.0924,12.6,3938
SPCHB,SPORT CHALET INC,0.0653846154,2004,9,1,86.827,13,3938
SPCHB,SPORT CHALET INC,0.0072202166,2004,10,1,92.50415,13.85,3938
SPCHB,SPORT CHALET INC,-0.068028674,2004,11,1,93.17205,13.95,3938
SPCHB,SPORT CHALET INC,0.0737635566,2004,12,1,86.859681,13.001,3938
SPCHB,SPORT CHALET INC,-0.050143266,2005,1,1,93.26676,13.96,3938
SPCHB,SPORT CHALET INC,0.0467571644,2005,2,1,88.59006,13.26,3938
SPCHB,SPORT CHALET INC,-0.02370317,2005,3,1,92.80168,13.88,3938
SPCHB,SPORT CHALET INC,0.1069293779,2005,4,1,90.601986,13.551,3938
SPCHB,SPORT CHALET INC,-0.026666667,2005,5,1,100.29,15,3938
SPCHB,SPORT CHALET INC,0.2089041096,2005,6,1,97.6156,14.6,3938
SPCHB,SPORT CHALET INC,-0.082152975,2005,7,1,118.0079,17.65,3938
SPCHB,SPORT CHALET INC,0.0586419753,2005,8,1,108.3132,16.2,3938
SPCHB,SPORT CHALET INC,0.0618075802,2005,9,1,114.8364,17.15,3938
SPCHB,SPORT CHALET INC,-0.218890555,2005,10,1,22.89144,13.34,3938
SPCHB,SPORT CHALET INC,-0.107485605,2005,11,1,17.88072,10.42,3938
SPCHB,SPORT CHALET INC,-0.11827957,2005,12,1,15.7728,9.3,3938
SPCHB,SPORT CHALET INC,-0.075609756,2006,1,1,13.9072,8.2,3938
SPCHB,SPORT CHALET INC,0.055408971,2006,2,1,12.85568,7.58,3938
SPCHB,SPORT CHALET INC,-0.0222375,2006,3,1,13.592,8,3938
SPCHB,SPORT CHALET INC,-0.002825328,2006,4,1,13.2897479,7.8221,3938
SPCHB,SPORT CHALET INC,0.0423076923,2006,5,1,13.2522,7.8,3938
SPCHB,SPORT CHALET INC,-0.034218942,2006,6,1,13.81287,8.13,3938
SPCHB,SPORT CHALET INC,0.0188746529,2006,7,1,13.387319,7.8518,3938
SPCHB,SPORT CHALET INC,0.0375,2006,8,1,13.64,8,3938
SPCHB,SPORT CHALET INC,0.0843373494,2006,9,1,14.2511,8.3,3938
SPCHB,SPORT CHALET INC,0.0677777778,2006,10,1,15.453,9,3938
SPCHB,SPORT CHALET INC,-0.001040583,2006,11,1,16.50037,9.61,3938
SPCHB,SPORT CHALET INC,-0.054166667,2006,12,1,16.4832,9.6,3938
SPCHB,SPORT CHALET INC,0.0352422907,2007,1,1,15.59036,9.08,3938
SPCHB,SPORT CHALET INC,0.0808510638,2007,2,1,16.1398,9.4,3938
SPCHB,SPORT CHALET INC,0.0679133858,2007,3,1,17.44472,10.16,3938
SPCHB,SPORT CHALET INC,0.0233917051,2007,4,1,18.62945,10.85,3938
SPCHB,SPORT CHALET INC,-0.060681929,2007,5,1,19.0652246,11.1038,3938
SPCHB,SPORT CHALET INC,-0.041227229,2007,6,1,17.90831,10.43,3938
SPCHB,SPORT CHALET INC,0.07,2007,7,1,17.41,10,3938
SPCHB,SPORT CHALET INC,-0.126168224,2007,8,1,18.6394,10.7,3938
SPCHB,SPORT CHALET INC,-0.079144385,2007,9,1,16.2877,9.35,3938
SPCHB,SPORT CHALET INC,-0.175377468,2007,10,1,14.99862,8.61,3938
SPCHB,SPORT CHALET INC,0.0408450704,2007,11,1,12.3682,7.1,3938
SPCHB,SPORT CHALET INC,-0.066305819,2007,12,1,12.88077,7.39,3938
SPCHB,SPORT CHALET INC,-0.239130435,2008,1,1,12.0267,6.9,3938
SPCHB,SPORT CHALET INC,-0.142857143,2008,2,1,9.15075,5.25,3938
SPCHB,SPORT CHALET INC,0.1088666667,2008,3,1,7.8975,4.5,3938
SPCHB,SPORT CHALET INC,-0.018016393,2008,4,1,8.7572745,4.9899,3938
SPCHB,SPORT CHALET INC,-0.120408163,2008,5,1,8.5995,4.9,3938
SPCHB,SPORT CHALET INC,0.0440835267,2008,6,1,7.56405,4.31,3938
SPCHB,SPORT CHALET INC,-0.133333333,2008,7,1,7.9335,4.5,3938
SPCHB,SPORT CHALET INC,-0.038461538,2008,8,1,6.8757,3.9,3938
SPCHB,SPORT CHALET INC,-0.16,2008,9,1,6.61125,3.75,3938
SPCHB,SPORT CHALET INC,-0.428571429,2008,10,1,5.55345,3.15,3938
SPCHB,SPORT CHALET INC,-0.583333333,2008,11,1,3.1734,1.8,3938
SPCHB,SPORT CHALET INC,-0.426666667,2008,12,1,1.32225,0.75,3938
SPCHB,SPORT CHALET INC,0.7441860465,2009,1,1,0.75809,0.43,3938
SPCHB,SPORT CHALET INC,-0.093333333,2009,2,1,1.32225,0.75,3938
SPCHB,SPORT CHALET INC,0,2009,3,1,1.19884,0.68,3938
SPCHB,SPORT CHALET INC,1.5735294118,2009,4,1,1.19884,0.68,3938
SPCHB,SPORT CHALET INC,-0.057142857,2009,5,1,3.08525,1.75,3938
SPCHB,SPORT CHALET INC,1.0393939394,2009,6,1,2.90895,1.65,3938
SPCHB,SPORT CHALET INC,-0.108469539,2009,7,1,5.932495,3.365,3938
SPCHB,SPORT CHALET INC,0.3566666667,2009,8,1,5.289,3,3938
SPCHB,SPORT CHALET INC,-0.090933661,2009,9,1,7.17541,4.07,3938
SPCHB,SPORT CHALET INC,-0.047676964,2009,10,1,6.5229237,3.6999,3938
SPCHB,SPORT CHALET INC,-0.205335604,2009,11,1,6.2119305,3.5235,3938
SPCHB,SPORT CHALET INC,-0.175,2009,12,1,4.9364,2.8,3938
SPCHB,SPORT CHALET INC,-0.061471861,2010,1,1,4.07253,2.31,3938
SPCHB,SPORT CHALET INC,0.1623616236,2010,2,1,3.822184,2.168,3938
SPCHB,SPORT CHALET INC,0.3055555556,2010,3,1,4.44276,2.52,3938
SPCHB,SPORT CHALET INC,0.0273556231,2010,4,1,5.80027,3.29,3938
SPCHB,SPORT CHALET INC,-0.142011834,2010,5,1,5.95894,3.38,3938
SPCHB,SPORT CHALET INC,-0.05862069,2010,6,1,5.1127,2.9,3938
SPCHB,SPORT CHALET INC,-0.06959707,2010,7,1,4.84848,2.73,3938
SPCHB,SPORT CHALET INC,-0.208661417,2010,8,1,4.51104,2.54,3938
SPCHB,SPORT CHALET INC,0.039800995,2010,9,1,3.56976,2.01,3938
SPCHB,SPORT CHALET INC,0.1291866029,2010,10,1,3.71184,2.09,3938
SPCHB,SPORT CHALET INC,0.1228813559,2010,11,1,4.19136,2.36,3938
SPCHB,SPORT CHALET INC,0.4113207547,2010,12,1,4.7064,2.65,3938
SPCHB,SPORT CHALET INC,-0.251336898,2011,1,1,6.64224,3.74,3938
SPCHB,SPORT CHALET INC,-0.142857143,2011,2,1,4.9728,2.8,3938
SPCHB,SPORT CHALET INC,-0.138,2011,3,1,4.2624,2.4,3938
SPCHB,SPORT CHALET INC,0.1121906419,2011,4,1,3.6741888,2.0688,3938
SPCHB,SPORT CHALET INC,0.0039549741,2011,5,1,4.0863984,2.3009,3938
SPCHB,SPORT CHALET INC,-0.004329004,2011,6,1,4.10256,2.31,3938
SPCHB,SPORT CHALET INC,-0.065217391,2011,7,1,4.0848,2.3,3938
SPCHB,SPORT CHALET INC,0.0837209302,2011,8,1,3.8184,2.15,3938
SPCHB,SPORT CHALET INC,0.008583691,2011,9,1,4.13808,2.33,3938
SPCHB,SPORT CHALET INC,0.0553191489,2011,10,1,4.1736,2.35,3938
SPCHB,SPORT CHALET INC,-0.06733871,2011,11,1,4.40448,2.48,3938
SPCHB,SPORT CHALET INC,-0.048854302,2011,12,1,4.107888,2.313,3938
SPCHB,SPORT CHALET INC,0.0136363636,2012,1,1,3.9072,2.2,3938
SPCHB,SPORT CHALET INC,-0.167264574,2012,2,1,3.96048,2.23,3938
SPCHB,SPORT CHALET INC,-0.084544965,2012,3,1,3.298032,1.857,3938
SPCHB,SPORT CHALET INC,0.0412352941,2012,4,1,3.0192,1.7,3938
SPCHB,SPORT CHALET INC,-0.030563245,2012,5,1,3.1436976,1.7701,3938
SPCHB,SPORT CHALET INC,0.048951049,2012,6,1,3.047616,1.716,3938
SPCHB,SPORT CHALET INC,-0.005555556,2012,7,1,3.1968,1.8,3938
SPCHB,SPORT CHALET INC,0.1168715084,2012,8,1,3.17904,1.79,3938
SPCHB,SPORT CHALET INC,-0.014605842,2012,9,1,3.5505792,1.9992,3938
SPCHB,SPORT CHALET INC,-0.182741117,2012,10,1,3.49872,1.97,3938
SPCHB,SPORT CHALET INC,0.1738509317,2012,11,1,2.85936,1.61,3938
SPCHB,SPORT CHALET INC,0.0053441981,2012,12,1,3.3564624,1.8899,3938
SPCHB,SPORT CHALET INC,0,2013,1,1,3.3744,1.9,3938
SPCHB,SPORT CHALET INC,-0.176842105,2013,2,1,3.3744,1.9,3938
SPCHB,SPORT CHALET INC,-0.149616368,2013,3,1,2.777664,1.564,3938
SPCHB,SPORT CHALET INC,0.1278195489,2013,4,1,2.36208,1.33,3938
SPCHB,SPORT CHALET INC,0.14,2013,5,1,2.664,1.5,3938
SPCHB,SPORT CHALET INC,-0.263157895,2013,6,1,3.03696,1.71,3938
SPCHB,SPORT CHALET INC,0.1031746032,2013,7,1,2.23776,1.26,3938
SPCHB,SPORT CHALET INC,-0.057553957,2013,8,1,2.46864,1.39,3938
SPCHB,SPORT CHALET INC,0.0381679389,2013,9,1,2.32656,1.31,3938
SPCHB,SPORT CHALET INC,-0.051470588,2013,10,1,2.41536,1.36,3938
SPCHB,SPORT CHALET INC,-0.054263566,2013,11,1,2.29104,1.29,3938
SPCHB,SPORT CHALET INC,0.0452459016,2013,12,1,2.16672,1.22,3938
SPCHB,SPORT CHALET INC,0.0484629862,2014,1,1,2.2647552,1.2752,3938
SPCHB,SPORT CHALET INC,-0.102468212,2014,2,1,2.374512,1.337,3938
SPCHB,SPORT CHALET INC,0.075,2014,3,1,2.1312,1.2,3938
SPCHB,SPORT CHALET INC,-0.004651163,2014,4,1,2.29104,1.29,3938
SPCHB,SPORT CHALET INC,-0.158878505,2014,5,1,2.280384,1.284,3938
SPCHB,SPORT CHALET INC,-0.03712963,2014,6,1,1.91808,1.08,3938
SPCHB,SPORT CHALET INC,0.0693335898,2014,7,1,1.8468624,1.0399,3938
SPCHB,SPORT CHALET INC,0.0881294964,2014,8,1,1.974912,1.112,3938
