ticker,conm,ret,year,month,EW,VW,PW,n
SQBK,SQUARE 1 FINANCIAL INC,,2014,3,1,,,9161
SQBK,SQUARE 1 FINANCIAL INC,-0.062189055,2014,4,1,546.72,20.1,9161
SQBK,SQUARE 1 FINANCIAL INC,0.0021220159,2014,5,1,512.72,18.85,9161
SQBK,SQUARE 1 FINANCIAL INC,0.0063525675,2014,6,1,533.62361,18.89,9161
SQBK,SQUARE 1 FINANCIAL INC,0.0026301946,2014,7,1,537.01349,19.01,9161
SQBK,SQUARE 1 FINANCIAL INC,0.0068205666,2014,8,1,538.42594,19.06,9161
SQBK,SQUARE 1 FINANCIAL INC,0.002084419,2014,9,1,542.09831,19.19,9161
SQBK,SQUARE 1 FINANCIAL INC,0.0343213729,2014,10,1,543.22827,19.23,9161
SQBK,SQUARE 1 FINANCIAL INC,0.0749120161,2014,11,1,561.87261,19.89,9161
SQBK,SQUARE 1 FINANCIAL INC,0.1552853134,2014,12,1,613.79842,21.38,9161
SQBK,SQUARE 1 FINANCIAL INC,-0.058299595,2015,1,1,709.1123,24.7,9161
SQBK,SQUARE 1 FINANCIAL INC,0.1900257954,2015,2,1,667.77134,23.26,9161
SQBK,SQUARE 1 FINANCIAL INC,-0.032875723,2015,3,1,794.66512,27.68,9161
SQBK,SQUARE 1 FINANCIAL INC,-0.033993276,2015,4,1,682.31376,26.77,9161
SQBK,SQUARE 1 FINANCIAL INC,0.0100541377,2015,5,1,681.74718,25.86,9161
SQBK,SQUARE 1 FINANCIAL INC,0.0470903522,2015,6,1,688.60156,26.12,9161
SQBK,SQUARE 1 FINANCIAL INC,-0.013893967,2015,7,1,723.9545,27.35,9161
SQBK,SQUARE 1 FINANCIAL INC,-0.065257694,2015,8,1,714.32742,26.97,9161
SQBK,SQUARE 1 FINANCIAL INC,0.0184450615,2015,9,1,754.13194,25.21,9161
SQBK,SQUARE 1 FINANCIAL INC,0.0270223953,2015,10,1,768.04195,25.675,9161
