ticker,conm,ret,year,month,EW,VW,PW,n
SRAX,SRAX INC,,2012,10,1,,,2302
SRAX,SRAX INC,0,2012,11,1,3.95112,1.01,2302
SRAX,SRAX INC,-0.00990099,2012,12,1,3.95112,1.01,2302
SRAX,SRAX INC,0,2013,1,1,3.912,1,2302
SRAX,SRAX INC,0,2013,2,1,3.912,1,2302
SRAX,SRAX INC,0,2013,3,1,3.917,1,2302
SRAX,SRAX INC,0,2013,4,1,3.917,1,2302
SRAX,SRAX INC,0,2013,5,1,4.068,1,2302
SRAX,SRAX INC,-0.23,2013,6,1,4.068,1,2302
SRAX,SRAX INC,0,2013,7,1,3.13236,0.77,2302
SRAX,SRAX INC,0.2337662338,2013,8,1,3.13236,0.77,2302
SRAX,SRAX INC,0,2013,9,1,3.93585,0.95,2302
SRAX,SRAX INC,0.5789473684,2013,10,1,3.93585,0.95,2302
SRAX,SRAX INC,0.8333333333,2013,11,1,6.2145,1.5,2302
SRAX,SRAX INC,0.1781818182,2013,12,1,54.703,2.75,2302
SRAX,SRAX INC,-0.166666667,2014,1,1,64.45008,3.24,2302
SRAX,SRAX INC,-0.351851852,2014,2,1,56.376,2.7,2302
SRAX,SRAX INC,-0.228571429,2014,3,1,36.54,1.75,2302
SRAX,SRAX INC,-0.259259259,2014,4,1,28.188,1.35,2302
SRAX,SRAX INC,0,2014,5,1,20.88,1,2302
SRAX,SRAX INC,0.09,2014,6,1,20.88,1,2302
SRAX,SRAX INC,-0.018348624,2014,7,1,22.7592,1.09,2302
SRAX,SRAX INC,-0.252242991,2014,8,1,22.3416,1.07,2302
SRAX,SRAX INC,0.3998250219,2014,9,1,16.8133014,0.8001,2302
SRAX,SRAX INC,-0.017857143,2014,10,1,23.53568,1.12,2302
SRAX,SRAX INC,0.2545454545,2014,11,1,23.1154,1.1,2302
SRAX,SRAX INC,-0.094202899,2014,12,1,35.9904,1.38,2302
SRAX,SRAX INC,-0.04,2015,1,1,32.6,1.25,2302
SRAX,SRAX INC,-0.025,2015,2,1,31.296,1.2,2302
SRAX,SRAX INC,-0.05982906,2015,3,1,30.5136,1.17,2302
SRAX,SRAX INC,0.0272727273,2015,4,1,28.688,1.1,2302
SRAX,SRAX INC,0.2212389381,2015,5,1,30.5439,1.13,2302
SRAX,SRAX INC,0.0869565217,2015,6,1,37.3014,1.38,2302
SRAX,SRAX INC,0.1,2015,7,1,40.545,1.5,2302
SRAX,SRAX INC,0.1818181818,2015,8,1,44.5995,1.65,2302
SRAX,SRAX INC,0.0205128205,2015,9,1,53.1375,1.95,2302
SRAX,SRAX INC,-0.025125628,2015,10,1,54.2275,1.99,2302
SRAX,SRAX INC,-0.25257732,2015,11,1,52.865,1.94,2302
SRAX,SRAX INC,0.2413793103,2015,12,1,39.5125,1.45,2302
SRAX,SRAX INC,-0.166666667,2016,1,1,49.05,1.8,2302
SRAX,SRAX INC,-0.073333333,2016,2,1,40.875,1.5,2302
SRAX,SRAX INC,0.2617985612,2016,3,1,37.8775,1.39,2302
SRAX,SRAX INC,-0.059239409,2016,4,1,52.5784142,1.7539,2302
SRAX,SRAX INC,-0.048484848,2016,5,1,49.4637,1.65,2302
SRAX,SRAX INC,-0.012738854,2016,6,1,47.06546,1.57,2302
SRAX,SRAX INC,-0.161290323,2016,7,1,46.4659,1.55,2302
SRAX,SRAX INC,0.0384615385,2016,8,1,38.9714,1.3,2302
SRAX,SRAX INC,-0.081481481,2016,9,1,40.4703,1.35,2302
SRAX,SRAX INC,0.0193548387,2016,10,1,37.1752,6.2,2302
SRAX,SRAX INC,-0.003164557,2016,11,1,37.89472,6.32,2302
SRAX,SRAX INC,-0.025396825,2016,12,1,43.7283,6.3,2302
SRAX,SRAX INC,-0.533550489,2017,1,1,42.61774,6.14,2302
SRAX,SRAX INC,-0.137569832,2017,2,1,22.359248,2.864,2302
SRAX,SRAX INC,-0.072874494,2017,3,1,19.28329,2.47,2302
SRAX,SRAX INC,-0.192139738,2017,4,1,17.87803,2.29,2302
SRAX,SRAX INC,-0.297297297,2017,5,1,14.83515,1.85,2302
SRAX,SRAX INC,-0.046153846,2017,6,1,10.4325,1.3,2302
SRAX,SRAX INC,0.1612903226,2017,7,1,9.951,1.24,2302
SRAX,SRAX INC,-0.069444444,2017,8,1,11.556,1.44,2302
SRAX,SRAX INC,0.8656716418,2017,9,1,10.7535,1.34,2302
SRAX,SRAX INC,0.428,2017,10,1,20.0625,2.5,2302
SRAX,SRAX INC,0.6050420168,2017,11,1,30.71985,3.57,2302
SRAX,SRAX INC,-0.013961606,2017,12,1,51.65595,5.73,2302
SRAX,SRAX INC,-0.083185841,2018,1,1,52.68625,5.65,2302
SRAX,SRAX INC,-0.173745174,2018,2,1,48.3035,5.18,2302
SRAX,SRAX INC,-0.105140187,2018,3,1,39.911,4.28,2302
SRAX,SRAX INC,0.1749347258,2018,4,1,35.71475,3.83,2302
SRAX,SRAX INC,-0.171111111,2018,5,1,45.9585,4.5,2302
SRAX,SRAX INC,0.2252010724,2018,6,1,38.09449,3.73,2302
SRAX,SRAX INC,-0.048140044,2018,7,1,47.44117,4.57,2302
SRAX,SRAX INC,-0.002298851,2018,8,1,45.15735,4.35,2302
SRAX,SRAX INC,-0.140552995,2018,9,1,45.31394,4.34,2302
SRAX,SRAX INC,-0.300294906,2018,10,1,38.94493,3.73,2302
SRAX,SRAX INC,0.1609640216,2018,11,1,27.2499659,2.6099,2302
SRAX,SRAX INC,-0.326732673,2018,12,1,30.70299,3.03,2302
SRAX,SRAX INC,0.6715686275,2019,1,1,20.67132,2.04,2302
SRAX,SRAX INC,-0.041055718,2019,2,1,34.55353,3.41,2302
