ticker,conm,ret,year,month,EW,VW,PW,n
ST,SENSATA TECHNOLOGES HLDG PLC,,2010,3,1,,,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.1135857461,2010,4,1,3074.01564,17.96,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.1685,2010,5,1,3421.6,20,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.038484666,2010,6,1,2845.0604,16.63,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0131332083,2010,7,1,2735.5692,15.99,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0413580247,2010,8,1,2771.496,16.2,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.1713100178,2010,9,1,2886.1196,16.87,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.1715587045,2010,10,1,3380.5408,19.76,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.2008639309,2010,11,1,3978.07285,23.15,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0830935252,2010,12,1,4807.176,27.8,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0464961807,2011,1,1,5206.6212,30.11,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0504601714,2011,2,1,5448.7092,31.51,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.049244713,2011,3,1,5750.9926,33.1,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0109415491,2011,4,1,6069.27588,34.73,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0333238394,2011,5,1,6123.25422,35.11,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0377618523,2011,6,1,6327.30456,36.28,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.057636122,2011,7,1,6566.2353,37.65,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.085682074,2011,8,1,6241.07392,35.48,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.184340321,2011,9,1,5706.32576,32.44,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.1315192744,2011,10,1,4654.41984,26.46,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.043754175,2011,11,1,5272.37412,29.94,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.15904,2011,12,1,5503.0625,31.25,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0962709285,2012,1,1,4627.85544,26.28,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.1246095106,2012,2,1,5073.38338,28.81,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0333333333,2012,3,1,5717.142,32.4,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.051373955,2012,4,1,5907.7134,33.48,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.033060453,2012,5,1,5631.5244,31.76,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.127971345,2012,6,1,5445.34365,30.71,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.072068708,2012,7,1,4748.4957,26.78,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0459770115,2012,8,1,5099.78601,28.71,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.008658009,2012,9,1,5334.25893,30.03,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.053745381,2012,10,1,5288.07487,29.77,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0954916578,2012,11,1,5013.95013,28.17,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0524951393,2012,12,1,5492.74054,30.86,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0387931034,2013,1,1,5798.06976,32.48,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.037048014,2013,2,1,6022.99488,33.74,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0116959064,2013,3,1,5783.90229,32.49,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0176452692,2013,4,1,5851.55027,32.87,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0493273543,2013,5,1,5850.2712,33.45,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.005698006,2013,6,1,6143.8689,35.1,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0767908309,2013,7,1,6108.8611,34.9,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.00798297,2013,8,1,6600.51362,37.58,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.026555794,2013,9,1,6547.82192,37.28,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.016723282,2013,10,1,6721.70453,38.27,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0358756311,2013,11,1,6642.48523,37.63,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.005387378,2013,12,1,6880.78858,38.98,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.034304875,2014,1,1,7272.24398,38.77,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0854700855,2014,2,1,7022.77056,37.44,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0492125984,2014,3,1,6987.27584,40.64,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.003986867,2014,4,1,7331.13784,42.64,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0098893336,2014,5,1,7316.05208,42.47,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0906971322,2014,6,1,7388.40296,42.89,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.011543395,2014,7,1,8058.50992,46.78,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0633650519,2014,8,1,7785.05888,46.24,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.094366484,2014,9,1,8278.35954,49.17,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0961149787,2014,10,1,7497.15986,44.53,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0155705798,2014,11,1,8236.63869,48.81,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0572927174,2014,12,1,8364.88793,49.57,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.058958214,2015,1,1,8844.13509,52.41,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0896188159,2015,2,1,8322.70068,49.32,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0690360997,2015,3,1,9099.04184,53.74,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.038990426,2015,4,1,9727.2042,57.45,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.002173519,2015,5,1,9375.70699,55.21,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.04265747,2015,6,1,9355.32871,55.09,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.026924535,2015,7,1,8956.25406,52.74,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.076383476,2015,8,1,8730.19916,51.32,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.064556962,2015,9,1,8063.3562,47.4,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0845737483,2015,10,1,7542.81042,44.34,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.047411104,2015,11,1,8184.00429,48.09,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0054573237,2015,12,1,7795.99161,45.81,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.2032132,2016,1,1,7838.53686,46.06,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.070572207,2016,2,1,6245.6427,36.7,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.138669012,2016,3,1,5810.46795,34.11,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.030123584,2016,4,1,6616.1998,38.84,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.018316963,2016,5,1,6425.22122,37.67,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.056517036,2016,6,1,6307.53068,36.98,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.086844368,2016,7,1,5951.04774,34.89,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0042194093,2016,8,1,6477.94944,37.92,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0183823529,2016,9,1,6505.28256,38.08,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.078648788,2016,10,1,6624.86496,38.78,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0458998041,2016,11,1,6104.8278,35.73,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0422799037,2016,12,1,6385.0382,37.37,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0770218228,2017,1,1,6654.997,38.95,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.021454112,2017,2,1,7167.577,41.95,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0638246041,2017,3,1,7014.624,41.05,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.057018548,2017,4,1,7462.3296,43.67,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.018212725,2017,5,1,7045.85682,41.18,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0566411081,2017,6,1,6917.53257,40.43,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0561797753,2017,7,1,7309.34928,42.72,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.010195035,2017,8,1,7725.94272,45.12,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0763546798,2017,9,1,7647.17646,44.66,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0174745163,2017,10,1,8231.07417,48.07,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0212635453,2017,11,1,8378.08736,48.91,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.0232232232,2017,12,1,8556.2352,49.95,10091
ST,SENSATA TECHNOLOGES HLDG PLC,0.1005674036,2018,1,1,8754.93856,51.11,10091
ST,SENSATA TECHNOLOGES HLDG PLC,-0.060266667,2018,2,1,9641.925,56.25,10091
