ticker,conm,ret,year,month,EW,VW,PW,n
STOK,STOKE THERAPEUTICS INC,,2019,6,1,,,5530
STOK,STOKE THERAPEUTICS INC,-0.155296538,2019,7,1,917.71737,29.17,5530
STOK,STOKE THERAPEUTICS INC,0.5194805195,2019,8,1,775.19904,24.64,5530
STOK,STOKE THERAPEUTICS INC,-0.426014957,2019,9,1,1224.96192,37.44,5530
STOK,STOKE THERAPEUTICS INC,0.3187529083,2019,10,1,703.10982,21.49,5530
STOK,STOKE THERAPEUTICS INC,-0.13549753,2019,11,1,927.22812,28.34,5530
STOK,STOKE THERAPEUTICS INC,0.1559183673,2019,12,1,801.885,24.5,5530
STOK,STOKE THERAPEUTICS INC,-0.012711864,2020,1,1,926.9136,28.32,5530
STOK,STOKE THERAPEUTICS INC,-0.114806867,2020,2,1,915.1308,27.96,5530
STOK,STOKE THERAPEUTICS INC,-0.074747475,2020,3,1,810.0675,24.75,5530
STOK,STOKE THERAPEUTICS INC,-0.081659389,2020,4,1,754.4176,22.9,5530
STOK,STOKE THERAPEUTICS INC,0.3152639087,2020,5,1,693.1488,21.03,5530
STOK,STOKE THERAPEUTICS INC,-0.138467101,2020,6,1,912.03318,27.66,5530
STOK,STOKE THERAPEUTICS INC,0.057070919,2020,7,1,785.74659,23.83,5530
STOK,STOKE THERAPEUTICS INC,0.1659388646,2020,8,1,836.73623,25.19,5530
STOK,STOKE THERAPEUTICS INC,0.1402791965,2020,9,1,976.28817,29.37,5530
STOK,STOKE THERAPEUTICS INC,0.146312332,2020,10,1,1113.24109,33.49,5530
STOK,STOKE THERAPEUTICS INC,0.3568637666,2020,11,1,1276.12199,38.39,5530
STOK,STOKE THERAPEUTICS INC,0.1889038203,2020,12,1,1873.6773,52.09,5530
