ticker,conm,ret,year,month,EW,VW,PW,n
SUND.1,SOUND ADVICE INC,-0.244897959,2000,1,1,46.07225,12.25,1801
SUND.1,SOUND ADVICE INC,-0.040540541,2000,2,1,34.78925,9.25,1801
SUND.1,SOUND ADVICE INC,0.2535211268,2000,3,1,33.378875,8.875,1801
SUND.1,SOUND ADVICE INC,-0.146067416,2000,4,1,41.841125,11.125,1801
SUND.1,SOUND ADVICE INC,0.0526315789,2000,5,1,35.7295,9.5,1801
SUND.1,SOUND ADVICE INC,-0.04375,2000,6,1,37.66,10,1801
SUND.1,SOUND ADVICE INC,-0.098039216,2000,7,1,36.088875,9.5625,1801
SUND.1,SOUND ADVICE INC,-0.043478261,2000,8,1,32.55075,8.625,1801
SUND.1,SOUND ADVICE INC,0.0833333333,2000,9,1,31.1355,8.25,1801
SUND.1,SOUND ADVICE INC,-0.132867133,2000,10,1,33.730125,8.9375,1801
SUND.1,SOUND ADVICE INC,-0.080645161,2000,11,1,29.2485,7.75,1801
SUND.1,SOUND ADVICE INC,-0.307017544,2000,12,1,26.88975,7.125,1801
SUND.1,SOUND ADVICE INC,0.6202531646,2001,1,1,19.5574375,4.9375,1801
SUND.1,SOUND ADVICE INC,0.375,2001,2,1,31.688,8,1801
SUND.1,SOUND ADVICE INC,-0.090909091,2001,3,1,43.571,11,1801
SUND.1,SOUND ADVICE INC,0.01,2001,4,1,40.43,10,1801
SUND.1,SOUND ADVICE INC,0.3613861386,2001,5,1,40.8343,10.1,1801
SUND.1,SOUND ADVICE INC,1.0872727273,2001,6,1,56.0175,13.75,1801
SUND.1,SOUND ADVICE INC,-0.012543554,2001,7,1,129.8388,28.7,1801
SUND.1,SOUND ADVICE INC,0.0035285815,2001,8,1,128.21016,28.34,1801
SUND.1,SOUND ADVICE INC,0,2001,9,1,,28.4,1801
