ticker,conm,ret,year,month,EW,VW,PW,n
SXT,SENSIENT TECHNOLOGIES CORP,-0.098159509,2000,1,1,1024.190125,20.375,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.009795918,2000,2,1,991.423125,18.375,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1833910035,2000,3,1,897.7243125,18.0625,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.230994152,2000,4,1,1062.358875,21.375,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0574904943,2000,5,1,816.9601875,16.4375,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0724637681,2000,6,1,856.566,17.25,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0540540541,2000,7,1,918.636,18.5,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0580769231,2000,8,1,968.292,19.5,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.006097561,2000,9,1,999.99,20.5,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.030674847,2000,10,1,993.8925,20.375,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1459493671,2000,11,1,951.792,19.75,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0111111111,2000,12,1,1084.32,22.5,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.018461538,2001,1,1,1096.368,22.75,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.024518585,2001,2,1,1076.12736,22.33,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0521939954,2001,3,1,1043.3568,21.65,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.209833187,2001,4,1,1097.03924,22.78,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0640277778,2001,5,1,866.844,18,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0788643533,2001,6,1,915.96516,19.02,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.000974659,2001,7,1,988.20216,20.52,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0791463415,2001,8,1,987.239,20.5,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.152796726,2001,9,1,1058.99442,21.99,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.127214171,2001,10,1,897.18354,18.63,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1083948339,2001,11,1,783.04908,16.26,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1632196758,2001,12,1,846.69792,17.89,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.064872657,2002,1,1,984.89568,20.81,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1008478931,2002,2,1,921.00288,19.46,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.081258807,2002,3,1,1007.61312,21.29,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0855777585,2002,4,1,1094.4859,23.02,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.039515806,2002,5,1,1188.14955,24.99,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.046501885,2002,6,1,1139.33897,23.87,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.059314587,2002,7,1,1086.35756,22.76,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0510275572,2002,8,1,1021.92071,21.41,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.055431381,2002,9,1,1058.92869,22.37,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1523899669,2002,10,1,1000.23081,21.13,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0147843943,2002,11,1,1152.65595,24.35,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.085470085,2002,12,1,1164.81456,24.57,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.015576324,2003,1,1,1065.25776,22.47,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.086765995,2003,2,1,1081.85056,22.82,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.032850242,2003,3,1,981.3456,20.7,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1038961039,2003,4,1,946.7458,20.02,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0312217195,2003,5,1,1045.109,22.1,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.015459364,2003,6,1,1066.7968,22.64,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.07046542,2003,7,1,1083.2888,22.99,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.019185774,2003,8,1,1006.9544,21.37,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0096153846,2003,9,1,975.6032,20.8,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.085714286,2003,10,1,984.984,21,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.010416667,2003,11,1,900.5568,19.2,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.048806366,2003,12,1,879.86145,18.85,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.033383915,2004,1,1,922.80429,19.77,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.025942242,2004,2,1,953.61111,20.43,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.054683544,2004,3,1,921.87075,19.75,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0958757365,2004,4,1,891.34314,18.67,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.005376344,2004,5,1,976.80132,20.46,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0633663366,2004,6,1,945.0974,20.2,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.039106145,2004,7,1,1004.98476,21.48,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0247093023,2004,8,1,965.68368,20.64,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0304761905,2004,9,1,984.522,21,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0036968577,2004,10,1,1014.52648,21.64,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0681399632,2004,11,1,1018.27704,21.72,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0407809111,2004,12,1,1080.9528,23.05,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.051688203,2005,1,1,1125.03504,23.99,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.033406593,2005,2,1,1066.884,22.75,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.012820513,2005,3,1,1028.29272,21.84,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.071892393,2005,4,1,1015.67004,21.56,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0244877561,2005,5,1,942.65109,20.01,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0127764128,2005,6,1,961.3747,20.35,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.077632217,2005,7,1,973.65762,20.61,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.00473435,2005,8,1,898.07042,19.01,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0095897709,2005,9,1,887.18282,18.77,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.066490765,2005,10,1,895.6907,18.95,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0356133409,2005,11,1,836.13554,17.69,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.014859659,2005,12,1,855.11654,18.17,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0592178771,2006,1,1,842.4098,17.9,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.046940928,2006,2,1,892.29552,18.96,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0072544643,2006,3,1,843.35104,17.92,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1385041551,2006,4,1,833.56705,18.05,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.010705596,2006,5,1,949.01955,20.55,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0361744301,2006,6,1,935.28246,20.18,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.046389287,2006,7,1,969.11577,20.91,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0165496489,2006,8,1,924.15918,19.94,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.027335984,2006,9,1,932.88392,20.12,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1778231988,2006,10,1,907.38262,19.57,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0407809111,2006,11,1,1068.7363,23.05,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0323122115,2006,12,1,1107.30861,23.83,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0032520325,2007,1,1,1143.0882,24.6,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.001215559,2007,2,1,1146.80556,24.68,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.052674561,2007,3,1,1137.97683,24.49,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0155159038,2007,4,1,1207.30318,25.78,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0007639419,2007,5,1,1226.03558,26.18,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.024961598,2007,6,1,1224.08832,26.04,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0003938558,2007,7,1,1193.53312,25.39,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0736220472,2007,8,1,1194.0032,25.4,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0657069029,2007,9,1,1276.37244,27.09,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0353307932,2007,10,1,1360.23892,28.87,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.068250251,2007,11,1,1408.29724,29.89,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0220455367,2007,12,1,1311.75169,27.67,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.062234795,2008,1,1,1340.66996,28.28,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0226244344,2008,2,1,1257.23364,26.52,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0946547884,2008,3,1,1277.14458,26.94,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.009494744,2008,4,1,1411.36191,29.49,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0624790057,2008,5,1,1424.76243,29.77,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.104610493,2008,6,1,1511.39265,31.45,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1051136364,2008,7,1,1353.28512,28.16,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.055269923,2008,8,1,1495.53384,31.12,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.036973639,2008,9,1,1410.78458,29.21,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.103092784,2008,10,1,1358.62274,28.13,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.039635355,2008,11,1,1218.55854,25.23,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.006655574,2008,12,1,1162.23784,24.04,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.099664992,2009,1,1,1154.50248,23.88,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.051627907,2009,2,1,1039.439,21.5,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1633663366,2009,3,1,976.5892,20.2,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.005106383,2009,4,1,1143.4395,23.5,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.011548332,2009,5,1,1137.60066,23.38,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.015270506,2009,6,1,1116.50196,22.92,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.1160832964,2009,7,1,1099.45241,22.57,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0424771735,2009,8,1,1227.08047,25.19,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0652090526,2009,9,1,1271.48604,26.07,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.089305005,2009,10,1,1354.39844,27.77,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.009489917,2009,11,1,1233.44388,25.29,1586
SXT,SENSIENT TECHNOLOGIES CORP,0.0378847672,2009,12,1,1240.03824,25.34,1586
SXT,SENSIENT TECHNOLOGIES CORP,-0.013307985,2010,1,1,1287.0168,26.3,1586
