ticker,conm,ret,year,month,EW,VW,PW,n
TA.3,TUCKER ANTHONY SUTRO,-0.044444444,2000,1,1,243.6525,11.25,7308
TA.3,TUCKER ANTHONY SUTRO,0.2953488372,2000,2,1,232.8235,10.75,7308
TA.3,TUCKER ANTHONY SUTRO,0.1261261261,2000,3,1,300.50475,13.875,7308
TA.3,TUCKER ANTHONY SUTRO,0.072,2000,4,1,348.046875,15.625,7308
TA.3,TUCKER ANTHONY SUTRO,0.0259701493,2000,5,1,373.10625,16.75,7308
TA.3,TUCKER ANTHONY SUTRO,0.0510948905,2000,6,1,385.055625,17.125,7308
TA.3,TUCKER ANTHONY SUTRO,-0.048611111,2000,7,1,404.73,18,7308
TA.3,TUCKER ANTHONY SUTRO,0.3794160584,2000,8,1,385.055625,17.125,7308
TA.3,TUCKER ANTHONY SUTRO,0.0769230769,2000,9,1,529.8028125,23.5625,7308
TA.3,TUCKER ANTHONY SUTRO,-0.088669951,2000,10,1,570.556875,25.375,7308
TA.3,TUCKER ANTHONY SUTRO,-0.256864865,2000,11,1,519.965625,23.125,7308
TA.3,TUCKER ANTHONY SUTRO,0.4343065693,2000,12,1,385.055625,17.125,7308
TA.3,TUCKER ANTHONY SUTRO,-0.079898219,2001,1,1,552.2878125,24.5625,7308
TA.3,TUCKER ANTHONY SUTRO,0.0451327434,2001,2,1,508.161,22.6,7308
TA.3,TUCKER ANTHONY SUTRO,-0.195329087,2001,3,1,529.52175,23.55,7308
TA.3,TUCKER ANTHONY SUTRO,0.0965699208,2001,4,1,426.09075,18.95,7308
TA.3,TUCKER ANTHONY SUTRO,0.0572666025,2001,5,1,499.5512,20.78,7308
TA.3,TUCKER ANTHONY SUTRO,0.00456621,2001,6,1,535.455,21.9,7308
TA.3,TUCKER ANTHONY SUTRO,0.0886363636,2001,7,1,537.9,22,7308
TA.3,TUCKER ANTHONY SUTRO,-0.005845511,2001,8,1,585.5775,23.95,7308
TA.3,TUCKER ANTHONY SUTRO,0.0042122999,2001,9,1,594.90066,23.74,7308
TA.3,TUCKER ANTHONY SUTRO,0.005033557,2001,10,1,585.58192,23.84,7308
TA.3,TUCKER ANTHONY SUTRO,0.0016694491,2001,11,1,588.52948,23.96,7308
