ticker,conm,ret,year,month,EW,VW,PW,n
TAYD,TAYLOR DEVICES INC,0,2000,1,1,7.5035,2.6875,1477
TAYD,TAYLOR DEVICES INC,-0.058139535,2000,2,1,7.455125,2.6875,1477
TAYD,TAYLOR DEVICES INC,0,2000,3,1,7.0216875,2.53125,1477
TAYD,TAYLOR DEVICES INC,0.3333333333,2000,4,1,7.0216875,2.53125,1477
TAYD,TAYLOR DEVICES INC,-0.138888889,2000,5,1,9.358875,3.375,1477
TAYD,TAYLOR DEVICES INC,0.0752688172,2000,6,1,8.05903125,2.90625,1477
TAYD,TAYLOR DEVICES INC,-0.08,2000,7,1,8.665625,3.125,1477
TAYD,TAYLOR DEVICES INC,0.0434782609,2000,8,1,7.972375,2.875,1477
TAYD,TAYLOR DEVICES INC,-0.083333333,2000,9,1,8.319,3,1477
TAYD,TAYLOR DEVICES INC,0.0909090909,2000,10,1,7.6615,2.75,1477
TAYD,TAYLOR DEVICES INC,-0.0625,2000,11,1,8.358,3,1477
TAYD,TAYLOR DEVICES INC,0.0444444444,2000,12,1,7.835625,2.8125,1477
TAYD,TAYLOR DEVICES INC,0.1063829787,2001,1,1,8.183875,2.9375,1477
TAYD,TAYLOR DEVICES INC,0.0576923077,2001,2,1,9.0545,3.25,1477
TAYD,TAYLOR DEVICES INC,-0.090909091,2001,3,1,9.576875,3.4375,1477
TAYD,TAYLOR DEVICES INC,0.0816,2001,4,1,8.70625,3.125,1477
TAYD,TAYLOR DEVICES INC,-0.020710059,2001,5,1,9.40654,3.38,1477
TAYD,TAYLOR DEVICES INC,0.0332326284,2001,6,1,9.21173,3.31,1477
TAYD,TAYLOR DEVICES INC,0.0350877193,2001,7,1,9.51786,3.42,1477
TAYD,TAYLOR DEVICES INC,0.1440677966,2001,8,1,9.85182,3.54,1477
TAYD,TAYLOR DEVICES INC,0.0296296296,2001,9,1,11.36025,4.05,1477
TAYD,TAYLOR DEVICES INC,0.4748201439,2001,10,1,11.69685,4.17,1477
TAYD,TAYLOR DEVICES INC,-0.008130081,2001,11,1,17.25075,6.15,1477
TAYD,TAYLOR DEVICES INC,0.2295081967,2001,12,1,17.1105,6.1,1477
TAYD,TAYLOR DEVICES INC,-0.253333333,2002,1,1,21.2025,7.5,1477
TAYD,TAYLOR DEVICES INC,0.1089285714,2002,2,1,15.8312,5.6,1477
TAYD,TAYLOR DEVICES INC,-0.017713366,2002,3,1,17.55567,6.21,1477
TAYD,TAYLOR DEVICES INC,-0.155737705,2002,4,1,17.2447,6.1,1477
TAYD,TAYLOR DEVICES INC,-0.116504854,2002,5,1,14.67235,5.15,1477
TAYD,TAYLOR DEVICES INC,-0.142857143,2002,6,1,12.96295,4.55,1477
TAYD,TAYLOR DEVICES INC,-0.038461538,2002,7,1,11.1111,3.9,1477
TAYD,TAYLOR DEVICES INC,-0.250666667,2002,8,1,10.68375,3.75,1477
TAYD,TAYLOR DEVICES INC,-0.234875445,2002,9,1,8.07875,2.81,1477
TAYD,TAYLOR DEVICES INC,0.1674418605,2002,10,1,6.18125,2.15,1477
TAYD,TAYLOR DEVICES INC,0.0119521912,2002,11,1,7.21625,2.51,1477
