ticker,conm,ret,year,month,EW,VW,PW,n
TESS,TESSCO TECHNOLOGIES INC,0.1006711409,2000,1,1,83.17925,18.625,4792
TESS,TESSCO TECHNOLOGIES INC,-0.048780488,2000,2,1,91.553,20.5,4792
TESS,TESSCO TECHNOLOGIES INC,0.0576923077,2000,3,1,87.165,19.5,4792
TESS,TESSCO TECHNOLOGIES INC,0.0181818182,2000,4,1,92.19375,20.625,4792
TESS,TESSCO TECHNOLOGIES INC,-0.220238095,2000,5,1,93.87,21,4792
TESS,TESSCO TECHNOLOGIES INC,0.7099236641,2000,6,1,73.19625,16.375,4792
TESS,TESSCO TECHNOLOGIES INC,-0.064732143,2000,7,1,125.412,28,4792
TESS,TESSCO TECHNOLOGIES INC,-0.054892601,2000,8,1,117.2938125,26.1875,4792
TESS,TESSCO TECHNOLOGIES INC,0.0303030303,2000,9,1,110.85525,24.75,4792
TESS,TESSCO TECHNOLOGIES INC,-0.073529412,2000,10,1,114.2145,25.5,4792
TESS,TESSCO TECHNOLOGIES INC,-0.174603175,2000,11,1,105.816375,23.625,4792
TESS,TESSCO TECHNOLOGIES INC,-0.076923077,2000,12,1,87.633,19.5,4792
TESS,TESSCO TECHNOLOGIES INC,0.1111111111,2001,1,1,80.892,18,4792
TESS,TESSCO TECHNOLOGIES INC,-0.08125,2001,2,1,89.88,20,4792
TESS,TESSCO TECHNOLOGIES INC,-0.493197279,2001,3,1,82.57725,18.375,4792
TESS,TESSCO TECHNOLOGIES INC,0.2617449664,2001,4,1,41.850375,9.3125,4792
TESS,TESSCO TECHNOLOGIES INC,0.1412765957,2001,5,1,52.8045,11.75,4792
TESS,TESSCO TECHNOLOGIES INC,0.0492170022,2001,6,1,60.26454,13.41,4792
TESS,TESSCO TECHNOLOGIES INC,-0.004975124,2001,7,1,63.32907,14.07,4792
TESS,TESSCO TECHNOLOGIES INC,-0.139285714,2001,8,1,63.014,14,4792
TESS,TESSCO TECHNOLOGIES INC,0.0746887967,2001,9,1,54.23705,12.05,4792
TESS,TESSCO TECHNOLOGIES INC,0.111969112,2001,10,1,58.28795,12.95,4792
TESS,TESSCO TECHNOLOGIES INC,0.0534722222,2001,11,1,64.8144,14.4,4792
TESS,TESSCO TECHNOLOGIES INC,0.1305207647,2001,12,1,68.37119,15.17,4792
TESS,TESSCO TECHNOLOGIES INC,0.0262390671,2002,1,1,77.29505,17.15,4792
TESS,TESSCO TECHNOLOGIES INC,-0.204545455,2002,2,1,79.3232,17.6,4792
TESS,TESSCO TECHNOLOGIES INC,0.0857142857,2002,3,1,63.098,14,4792
TESS,TESSCO TECHNOLOGIES INC,-0.105921053,2002,4,1,68.5064,15.2,4792
TESS,TESSCO TECHNOLOGIES INC,-0.02133922,2002,5,1,61.25013,13.59,4792
TESS,TESSCO TECHNOLOGIES INC,-0.263157895,2002,6,1,59.9431,13.3,4792
TESS,TESSCO TECHNOLOGIES INC,0.0866326531,2002,7,1,44.2372,9.8,4792
TESS,TESSCO TECHNOLOGIES INC,0.1174758193,2002,8,1,48.069586,10.649,4792
TESS,TESSCO TECHNOLOGIES INC,-0.190756303,2002,9,1,53.7166,11.9,4792
TESS,TESSCO TECHNOLOGIES INC,-0.089304258,2002,10,1,43.46982,9.63,4792
TESS,TESSCO TECHNOLOGIES INC,0.2542759407,2002,11,1,39.58778,8.77,4792
TESS,TESSCO TECHNOLOGIES INC,-0.159090909,2002,12,1,49.72,11,4792
TESS,TESSCO TECHNOLOGIES INC,-0.014054054,2003,1,1,41.81,9.25,4792
TESS,TESSCO TECHNOLOGIES INC,-0.072368421,2003,2,1,41.2224,9.12,4792
TESS,TESSCO TECHNOLOGIES INC,-0.147754137,2003,3,1,38.2815,8.46,4792
TESS,TESSCO TECHNOLOGIES INC,-0.098474341,2003,4,1,32.62525,7.21,4792
TESS,TESSCO TECHNOLOGIES INC,0.1353846154,2003,5,1,29.4125,6.5,4792
TESS,TESSCO TECHNOLOGIES INC,-0.06504065,2003,6,1,33.3945,7.38,4792
TESS,TESSCO TECHNOLOGIES INC,0.1086956522,2003,7,1,31.2501,6.9,4792
TESS,TESSCO TECHNOLOGIES INC,0.2810457516,2003,8,1,34.64685,7.65,4792
TESS,TESSCO TECHNOLOGIES INC,0.006122449,2003,9,1,43.316,9.8,4792
TESS,TESSCO TECHNOLOGIES INC,0.3184584178,2003,10,1,43.5812,9.86,4792
TESS,TESSCO TECHNOLOGIES INC,0.1776923077,2003,11,1,57.46,13,4792
TESS,TESSCO TECHNOLOGIES INC,-0.062704115,2003,12,1,67.79268,15.31,4792
TESS,TESSCO TECHNOLOGIES INC,0.0926829268,2004,1,1,63.5418,14.35,4792
TESS,TESSCO TECHNOLOGIES INC,-0.134566327,2004,2,1,69.43104,15.68,4792
TESS,TESSCO TECHNOLOGIES INC,-0.051584377,2004,3,1,60.08796,13.57,4792
TESS,TESSCO TECHNOLOGIES INC,0.1476301476,2004,4,1,56.98836,12.87,4792
TESS,TESSCO TECHNOLOGIES INC,0.2010832769,2004,5,1,65.40156,14.77,4792
TESS,TESSCO TECHNOLOGIES INC,-0.019729425,2004,6,1,78.55272,17.74,4792
TESS,TESSCO TECHNOLOGIES INC,-0.120759057,2004,7,1,77.22899,17.39,4792
TESS,TESSCO TECHNOLOGIES INC,-0.255068672,2004,8,1,67.90289,15.29,4792
TESS,TESSCO TECHNOLOGIES INC,-0.018437226,2004,9,1,50.66272,11.39,4792
TESS,TESSCO TECHNOLOGIES INC,0.1493738819,2004,10,1,49.72864,11.18,4792
TESS,TESSCO TECHNOLOGIES INC,0.0350194553,2004,11,1,57.1568,12.85,4792
TESS,TESSCO TECHNOLOGIES INC,0.0511278195,2004,12,1,55.8866,13.3,4792
TESS,TESSCO TECHNOLOGIES INC,0.0643776824,2005,1,1,58.74396,13.98,4792
TESS,TESSCO TECHNOLOGIES INC,0.0288978495,2005,2,1,62.52576,14.88,4792
TESS,TESSCO TECHNOLOGIES INC,-0.013716525,2005,3,1,64.39386,15.31,4792
TESS,TESSCO TECHNOLOGIES INC,-0.135099338,2005,4,1,63.5106,15.1,4792
TESS,TESSCO TECHNOLOGIES INC,-0.0237366,2005,5,1,54.93036,13.06,4792
TESS,TESSCO TECHNOLOGIES INC,0.0454901961,2005,6,1,53.6265,12.75,4792
TESS,TESSCO TECHNOLOGIES INC,0.0502625656,2005,7,1,56.59918,13.33,4792
TESS,TESSCO TECHNOLOGIES INC,-0.071428571,2005,8,1,59.444,14,4792
TESS,TESSCO TECHNOLOGIES INC,0.0061538462,2005,9,1,55.146,13,4792
TESS,TESSCO TECHNOLOGIES INC,0.127675841,2005,10,1,55.48536,13.08,4792
TESS,TESSCO TECHNOLOGIES INC,0.113220339,2005,11,1,61.95,14.75,4792
TESS,TESSCO TECHNOLOGIES INC,0.0073081608,2005,12,1,69.25956,16.42,4792
TESS,TESSCO TECHNOLOGIES INC,0.0677146312,2006,1,1,69.76572,16.54,4792
TESS,TESSCO TECHNOLOGIES INC,0.0475651189,2006,2,1,72.406,17.66,4792
TESS,TESSCO TECHNOLOGIES INC,0,2006,3,1,76.553,18.5,4792
TESS,TESSCO TECHNOLOGIES INC,0.0540486486,2006,4,1,76.553,18.5,4792
TESS,TESSCO TECHNOLOGIES INC,-0.004097457,2006,5,1,79.94959,19.4999,4792
TESS,TESSCO TECHNOLOGIES INC,0.0329557158,2006,6,1,79.622,19.42,4792
TESS,TESSCO TECHNOLOGIES INC,0.019441675,2006,7,1,84.31218,20.06,4792
TESS,TESSCO TECHNOLOGIES INC,0.1525672372,2006,8,1,85.89,20.45,4792
TESS,TESSCO TECHNOLOGIES INC,0.249893933,2006,9,1,98.85258,23.57,4792
TESS,TESSCO TECHNOLOGIES INC,0.0862186015,2006,10,1,123.55524,29.46,4792
TESS,TESSCO TECHNOLOGIES INC,0.0125,2006,11,1,115.2,32,4792
TESS,TESSCO TECHNOLOGIES INC,-0.000462963,2006,12,1,118.5624,21.6,4792
TESS,TESSCO TECHNOLOGIES INC,0.0352014822,2007,1,1,118.50751,21.59,4792
TESS,TESSCO TECHNOLOGIES INC,0.2026845638,2007,2,1,122.67915,22.35,4792
TESS,TESSCO TECHNOLOGIES INC,0.0115327381,2007,3,1,142.51776,26.88,4792
TESS,TESSCO TECHNOLOGIES INC,0.0481794777,2007,4,1,144.16138,27.19,4792
TESS,TESSCO TECHNOLOGIES INC,-0.122105263,2007,5,1,151.107,28.5,4792
TESS,TESSCO TECHNOLOGIES INC,-0.223820943,2007,6,1,132.65604,25.02,4792
TESS,TESSCO TECHNOLOGIES INC,0.0298661174,2007,7,1,105.99436,19.42,4792
TESS,TESSCO TECHNOLOGIES INC,-0.237,2007,8,1,109.16,20,4792
TESS,TESSCO TECHNOLOGIES INC,0.0281782438,2007,9,1,83.80792,15.26,4792
TESS,TESSCO TECHNOLOGIES INC,-0.029318037,2007,10,1,86.16948,15.69,4792
TESS,TESSCO TECHNOLOGIES INC,0.0768220617,2007,11,1,83.64316,15.23,4792
TESS,TESSCO TECHNOLOGIES INC,0.1024390244,2007,12,1,84.4928,16.4,4792
TESS,TESSCO TECHNOLOGIES INC,0.0182522124,2008,1,1,93.14816,18.08,4792
TESS,TESSCO TECHNOLOGIES INC,-0.115154807,2008,2,1,94.84832,18.41,4792
TESS,TESSCO TECHNOLOGIES INC,-0.079189687,2008,3,1,83.97495,16.29,4792
TESS,TESSCO TECHNOLOGIES INC,-0.108,2008,4,1,77.325,15,4792
TESS,TESSCO TECHNOLOGIES INC,-0.049327354,2008,5,1,68.9739,13.38,4792
TESS,TESSCO TECHNOLOGIES INC,0.0754716981,2008,6,1,66.144,12.72,4792
TESS,TESSCO TECHNOLOGIES INC,0.0796783626,2008,7,1,72.58608,13.68,4792
TESS,TESSCO TECHNOLOGIES INC,-0.00338524,2008,8,1,71.42772,14.77,4792
TESS,TESSCO TECHNOLOGIES INC,-0.130434783,2008,9,1,71.1712,14.72,4792
TESS,TESSCO TECHNOLOGIES INC,-0.1453125,2008,10,1,61.888,12.8,4792
TESS,TESSCO TECHNOLOGIES INC,-0.042961609,2008,11,1,52.8949,10.94,4792
TESS,TESSCO TECHNOLOGIES INC,-0.168099331,2008,12,1,49.68015,10.47,4792
TESS,TESSCO TECHNOLOGIES INC,-0.160734788,2009,1,1,41.32895,8.71,4792
TESS,TESSCO TECHNOLOGIES INC,-0.042407661,2009,2,1,34.68595,7.31,4792
TESS,TESSCO TECHNOLOGIES INC,0.1085857143,2009,3,1,32.823,7,4792
TESS,TESSCO TECHNOLOGIES INC,0.1466347083,2009,4,1,36.3871089,7.7601,4792
TESS,TESSCO TECHNOLOGIES INC,0.1710496741,2009,5,1,41.722722,8.898,4792
TESS,TESSCO TECHNOLOGIES INC,0.0364683301,2009,6,1,50.0681,10.42,4792
TESS,TESSCO TECHNOLOGIES INC,0.4018518519,2009,7,1,51.894,10.8,4792
TESS,TESSCO TECHNOLOGIES INC,0.1109643329,2009,8,1,72.7477,15.14,4792
TESS,TESSCO TECHNOLOGIES INC,0.0406698565,2009,9,1,80.3396,16.72,4792
TESS,TESSCO TECHNOLOGIES INC,-0.025287356,2009,10,1,83.607,17.4,4792
TESS,TESSCO TECHNOLOGIES INC,-0.071338443,2009,11,1,81.4928,16.96,4792
TESS,TESSCO TECHNOLOGIES INC,0.0313033144,2009,12,1,75.4021818,15.6501,4792
TESS,TESSCO TECHNOLOGIES INC,0.1524163569,2010,1,1,77.76252,16.14,4792
TESS,TESSCO TECHNOLOGIES INC,0.0575268817,2010,2,1,89.6148,18.6,4792
TESS,TESSCO TECHNOLOGIES INC,0.2013285641,2010,3,1,93.97514,19.57,4792
TESS,TESSCO TECHNOLOGIES INC,0.0820927265,2010,4,1,112.89502,23.51,4792
TESS,TESSCO TECHNOLOGIES INC,0.108883648,2010,5,1,122.16288,25.44,4792
TESS,TESSCO TECHNOLOGIES INC,-0.108858058,2010,6,1,134.98422,18.74,4792
TESS,TESSCO TECHNOLOGIES INC,-0.154491018,2010,7,1,123.5967,16.7,4792
TESS,TESSCO TECHNOLOGIES INC,-0.247167139,2010,8,1,104.50212,14.12,4792
TESS,TESSCO TECHNOLOGIES INC,0.4311490978,2010,9,1,77.86935,10.53,4792
TESS,TESSCO TECHNOLOGIES INC,0.00199071,2010,10,1,111.44265,15.07,4792
TESS,TESSCO TECHNOLOGIES INC,0.0139072848,2010,11,1,111.6645,15.1,4792
TESS,TESSCO TECHNOLOGIES INC,0.0486522025,2010,12,1,114.71382,15.21,4792
TESS,TESSCO TECHNOLOGIES INC,-0.277742947,2011,1,1,120.2949,15.95,4792
TESS,TESSCO TECHNOLOGIES INC,0.0625,2011,2,1,86.88384,11.52,4792
TESS,TESSCO TECHNOLOGIES INC,-0.052718287,2011,3,1,91.68128,12.14,4792
TESS,TESSCO TECHNOLOGIES INC,0.0252173913,2011,4,1,86.848,11.5,4792
TESS,TESSCO TECHNOLOGIES INC,-0.022052587,2011,5,1,89.03808,11.79,4792
TESS,TESSCO TECHNOLOGIES INC,-0.02712161,2011,6,1,87.17661,11.43,4792
TESS,TESSCO TECHNOLOGIES INC,0.3354316547,2011,7,1,86.19112,11.12,4792
TESS,TESSCO TECHNOLOGIES INC,-0.008754209,2011,8,1,115.10235,14.85,4792
TESS,TESSCO TECHNOLOGIES INC,-0.08785175,2011,9,1,112.9175,14.57,4792
TESS,TESSCO TECHNOLOGIES INC,0.0586907449,2011,10,1,102.9975,13.29,4792
TESS,TESSCO TECHNOLOGIES INC,0.0028735632,2011,11,1,107.88,13.92,4792
TESS,TESSCO TECHNOLOGIES INC,-0.010028653,2011,12,1,108.4692,13.96,4792
TESS,TESSCO TECHNOLOGIES INC,0.3002894356,2012,1,1,107.3814,13.82,4792
TESS,TESSCO TECHNOLOGIES INC,0.0280583614,2012,2,1,138.4614,17.82,4792
TESS,TESSCO TECHNOLOGIES INC,0.3902838428,2012,3,1,142.51128,18.32,4792
TESS,TESSCO TECHNOLOGIES INC,-0.214762466,2012,4,1,198.13113,25.47,4792
TESS,TESSCO TECHNOLOGIES INC,-0.033,2012,5,1,155.58,20,4792
TESS,TESSCO TECHNOLOGIES INC,0.1508350731,2012,6,1,149.04564,19.16,4792
TESS,TESSCO TECHNOLOGIES INC,-0.149659864,2012,7,1,176.90715,22.05,4792
TESS,TESSCO TECHNOLOGIES INC,0.0202666667,2012,8,1,150.43125,18.75,4792
TESS,TESSCO TECHNOLOGIES INC,0.1171503958,2012,9,1,152.14955,18.95,4792
TESS,TESSCO TECHNOLOGIES INC,-0.017477563,2012,10,1,169.97393,21.17,4792
TESS,TESSCO TECHNOLOGIES INC,0.0552884615,2012,11,1,167.0032,20.8,4792
TESS,TESSCO TECHNOLOGIES INC,0.0514469453,2012,12,1,174.98726,21.77,4792
TESS,TESSCO TECHNOLOGIES INC,0.0176151762,2013,1,1,177.96132,22.14,4792
TESS,TESSCO TECHNOLOGIES INC,0.0187919463,2013,2,1,179.6493,22.35,4792
TESS,TESSCO TECHNOLOGIES INC,-0.049626702,2013,3,1,183.54897,22.77,4792
TESS,TESSCO TECHNOLOGIES INC,-0.055452865,2013,4,1,174.44004,21.64,4792
TESS,TESSCO TECHNOLOGIES INC,0.1272015656,2013,5,1,164.76684,20.44,4792
TESS,TESSCO TECHNOLOGIES INC,0.154855643,2013,6,1,187.70346,22.86,4792
TESS,TESSCO TECHNOLOGIES INC,0.2136363636,2013,7,1,216.7704,26.4,4792
TESS,TESSCO TECHNOLOGIES INC,-0.009363296,2013,8,1,263.08044,32.04,4792
TESS,TESSCO TECHNOLOGIES INC,0.0678073511,2013,9,1,259.51788,31.56,4792
