ticker,conm,ret,year,month,EW,VW,PW,n
TGY,TREMISIS ENERGY ACQ CORP II,,2008,3,1,,,9870
TGY,TREMISIS ENERGY ACQ CORP II,-0.016326531,2008,4,1,89.4201,7.35,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0152143845,2008,5,1,87.96018,7.23,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0204359673,2008,6,1,89.29844,7.34,9870
TGY,TREMISIS ENERGY ACQ CORP II,-0.018691589,2008,7,1,91.12334,7.49,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0272108844,2008,8,1,89.4201,7.35,9870
TGY,TREMISIS ENERGY ACQ CORP II,-0.059589404,2008,9,1,91.8533,7.55,9870
TGY,TREMISIS ENERGY ACQ CORP II,-0.000014084,2008,10,1,86.3798166,7.1001,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0169014085,2008,11,1,86.3786,7.1,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0041551247,2008,12,1,87.83852,7.22,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0317241379,2009,1,1,88.2035,7.25,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0080213904,2009,2,1,91.00168,7.48,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0106100796,2009,3,1,91.73164,7.54,9870
TGY,TREMISIS ENERGY ACQ CORP II,-0.002624672,2009,4,1,92.70492,7.62,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0144736842,2009,5,1,92.4616,7.6,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0038910506,2009,6,1,93.79986,7.71,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.007751938,2009,7,1,94.16484,7.74,9870
TGY,TREMISIS ENERGY ACQ CORP II,0,2009,8,1,94.8948,7.8,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0051282051,2009,9,1,94.8948,7.8,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0051020408,2009,10,1,95.38144,7.84,9870
TGY,TREMISIS ENERGY ACQ CORP II,0.0063451777,2009,11,1,95.86808,7.88,9870
TGY,TREMISIS ENERGY ACQ CORP II,0,2009,12,1,96.47638,7.93,9870
