ticker,conm,ret,year,month,EW,VW,PW,n
TIBR,TIBERIUS ACQU CORP,,2018,4,1,,,5204
TIBR,TIBERIUS ACQU CORP,0,2018,5,1,206.57354,9.58,5204
TIBR,TIBERIUS ACQU CORP,0.003131524,2018,6,1,206.57354,9.58,5204
TIBR,TIBERIUS ACQU CORP,-0.005202914,2018,7,1,207.22043,9.61,5204
TIBR,TIBERIUS ACQU CORP,0.019874477,2018,8,1,206.14228,9.56,5204
TIBR,TIBERIUS ACQU CORP,-0.008205128,2018,9,1,210.23925,9.75,5204
TIBR,TIBERIUS ACQU CORP,-0.001034126,2018,10,1,208.51421,9.67,5204
TIBR,TIBERIUS ACQU CORP,0.0062111801,2018,11,1,208.29858,9.66,5204
TIBR,TIBERIUS ACQU CORP,0.0082304527,2018,12,1,209.59236,9.72,5204
TIBR,TIBERIUS ACQU CORP,0.0153061224,2019,1,1,211.3174,9.8,5204
TIBR,TIBERIUS ACQU CORP,0.0050150754,2019,2,1,214.55185,9.95,5204
TIBR,TIBERIUS ACQU CORP,0.0080100801,2019,3,1,215.6278437,9.9999,5204
TIBR,TIBERIUS ACQU CORP,-0.004960317,2019,4,1,217.35504,10.08,5204
TIBR,TIBERIUS ACQU CORP,0.0069790628,2019,5,1,216.27689,10.03,5204
TIBR,TIBERIUS ACQU CORP,0.0099009901,2019,6,1,217.7863,10.1,5204
TIBR,TIBERIUS ACQU CORP,0,2019,7,1,219.9426,10.2,5204
TIBR,TIBERIUS ACQU CORP,0.007745098,2019,8,1,219.9426,10.2,5204
TIBR,TIBERIUS ACQU CORP,-0.003794143,2019,9,1,221.646077,10.279,5204
TIBR,TIBERIUS ACQU CORP,0.0107421875,2019,10,1,220.80512,10.24,5204
TIBR,TIBERIUS ACQU CORP,0.0077294686,2019,11,1,223.17705,10.35,5204
TIBR,TIBERIUS ACQU CORP,0.0067114094,2019,12,1,224.90209,10.43,5204
TIBR,TIBERIUS ACQU CORP,0,2020,1,1,226.4115,10.5,5204
TIBR,TIBERIUS ACQU CORP,-0.014285714,2020,2,1,226.4115,10.5,5204
TIBR,TIBERIUS ACQU CORP,-0.196135266,2020,3,1,223.17705,10.35,5204
