ticker,conm,ret,year,month,EW,VW,PW,n
TLWT,TELEWEST COMMUNICATIONS PLC,0.1266968326,2000,1,1,118637.49625,55.25,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.140562249,2000,2,1,141998.3505,62.25,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.1901408451,2000,3,1,161957.958,71,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.26035503,2000,4,1,192752.781,84.5,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.351,2000,5,1,142568.625,62.5,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.087827427,2000,6,1,92527.037625,40.5625,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.277027027,2000,7,1,84400.626,37,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.088785047,2000,8,1,61019.3715,26.75,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.2,2000,9,1,55601.76375,24.375,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.128205128,2000,10,1,44481.411,19.5,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.176470588,2000,11,1,38778.666,17,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.125,2000,12,1,31935.372,14,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.4920634921,2001,1,1,35927.2935,15.75,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.180851064,2001,2,1,53605.803,23.5,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.12012987,2001,3,1,43911.1365,19.25,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.1619188192,2001,4,1,38636.097375,16.9375,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.110772358,2001,5,1,44892.00864,19.68,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.277142857,2001,6,1,39919.215,17.5,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.149407115,2001,7,1,28855.8897,12.65,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.289033457,2001,8,1,24544.61448,10.76,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.366013072,2001,9,1,17450.3997,7.65,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.3608247423,2001,10,1,11063.3253,4.85,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.3939393939,2001,11,1,18961.4238,6.6,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.0206521739,2001,12,1,26431.0756,9.2,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.45686901,2002,1,1,26976.93477,9.39,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.470588235,2002,2,1,14652.0093,5.1,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.259259259,2002,3,1,7756.9461,2.7,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.205,2002,4,1,5745.886,2,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.459119497,2002,5,1,4567.97937,1.59,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.337209302,2002,6,1,2470.73098,0.86,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.298245614,2002,7,1,1637.57751,0.57,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.35,2002,8,1,1149.1772,0.4,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.615384615,2002,9,1,746.96518,0.26,4851
TLWT,TELEWEST COMMUNICATIONS PLC,1,2002,10,1,5745.886,2,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.175625,2002,11,1,11491.772,4,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.3482190324,2002,12,1,13510.014458,4.7025,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.1735015773,2003,1,1,18214.45862,6.34,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.122311828,2003,2,1,21378.79536,7.44,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.131736527,2003,3,1,23993.6749,8.35,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.0896551724,2003,4,1,20847.42575,7.25,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.126582278,2003,5,1,22716.5053,7.9,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.072463768,2003,6,1,19827.4674,6.9,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.1934375,2003,7,1,18390.6944,6.4,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.074002325,2003,8,1,14833.244452,5.162,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.3661087866,2003,9,1,13735.54988,4.78,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.1087289433,2003,10,1,18764.82349,6.53,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.060773481,2003,11,1,20805.12464,7.24,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.1029411765,2003,12,1,19540.7248,6.8,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.04,2004,1,1,21552.27,7.5,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.129166667,2004,2,1,20690.3232,7.2,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.003189793,2004,3,1,18017.82312,6.27,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.064,2004,4,1,17960.35,6.25,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.307692308,2004,5,1,16810.9344,5.85,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.140493827,2004,6,1,11638.3392,4.05,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.191462577,2004,7,1,10003.224384,3.481,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.0150176678,2004,8,1,2773.4,11.32,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.0113141862,2004,9,1,2815.05,11.49,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.0585197935,2004,10,1,2846.9,11.62,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.1902439024,2004,11,1,3013.5,12.3,4851
TLWT,TELEWEST COMMUNICATIONS PLC,0.2008196721,2004,12,1,3586.8,14.64,4851
TLWT,TELEWEST COMMUNICATIONS PLC,-0.04152446,2005,1,1,4307.1,17.58,4851
