ticker,conm,ret,year,month,EW,VW,PW,n
TMH,TEAM HEALTH HOLDINGS INC,,2009,12,1,,,10070
TMH,TEAM HEALTH HOLDINGS INC,0.0520684736,2010,1,1,874.86202,14.02,10070
TMH,TEAM HEALTH HOLDINGS INC,-0.016949153,2010,2,1,920.41475,14.75,10070
TMH,TEAM HEALTH HOLDINGS INC,0.1586206897,2010,3,1,904.8145,14.5,10070
TMH,TEAM HEALTH HOLDINGS INC,-0.064285714,2010,4,1,1081.8528,16.8,10070
TMH,TEAM HEALTH HOLDINGS INC,-0.185114504,2010,5,1,1012.30512,15.72,10070
TMH,TEAM HEALTH HOLDINGS INC,0.0085870414,2010,6,1,824.95119,12.81,10070
TMH,TEAM HEALTH HOLDINGS INC,0.0147058824,2010,7,1,832.03508,12.92,10070
TMH,TEAM HEALTH HOLDINGS INC,-0.038138825,2010,8,1,844.27089,13.11,10070
TMH,TEAM HEALTH HOLDINGS INC,0.0237906423,2010,9,1,812.55057,12.61,10070
TMH,TEAM HEALTH HOLDINGS INC,0.0340821069,2010,10,1,831.88167,12.91,10070
TMH,TEAM HEALTH HOLDINGS INC,0.0337078652,2010,11,1,860.23395,13.35,10070
TMH,TEAM HEALTH HOLDINGS INC,0.1260869565,2010,12,1,889.8792,13.8,10070
TMH,TEAM HEALTH HOLDINGS INC,-0.005148005,2011,1,1,1002.08136,15.54,10070
TMH,TEAM HEALTH HOLDINGS INC,0.1959896507,2011,2,1,996.92264,15.46,10070
TMH,TEAM HEALTH HOLDINGS INC,-0.054624121,2011,3,1,1193.30762,18.49,10070
TMH,TEAM HEALTH HOLDINGS INC,0.1372997712,2011,4,1,1128.12424,17.48,10070
TMH,TEAM HEALTH HOLDINGS INC,0.1267605634,2011,5,1,1287.24988,19.88,10070
TMH,TEAM HEALTH HOLDINGS INC,0.0049107143,2011,6,1,1452.9312,22.4,10070
TMH,TEAM HEALTH HOLDINGS INC,-0.02221235,2011,7,1,1460.06613,22.51,10070
TMH,TEAM HEALTH HOLDINGS INC,-0.150840527,2011,8,1,1427.63463,22.01,10070
TMH,TEAM HEALTH HOLDINGS INC,-0.121455324,2011,9,1,1223.12967,18.69,10070
TMH,TEAM HEALTH HOLDINGS INC,0.2375152253,2011,10,1,1074.57406,16.42,10070
TMH,TEAM HEALTH HOLDINGS INC,0.0807086614,2011,11,1,1329.80176,20.32,10070
TMH,TEAM HEALTH HOLDINGS INC,0.0050091075,2011,12,1,1438.66548,21.96,10070
