ticker,conm,ret,year,month,EW,VW,PW,n
TMUS,T-MOBILE US INC,,2013,5,1,,,2608
TMUS,T-MOBILE US INC,0.1577228185,2013,6,1,15536.29997,21.43,2608
TMUS,T-MOBILE US INC,-0.02821443,2013,7,1,17986.72899,24.81,2608
TMUS,T-MOBILE US INC,-0.03152219,2013,8,1,17479.24369,24.11,2608
TMUS,T-MOBILE US INC,0.1122055675,2013,9,1,16968.84195,23.35,2608
TMUS,T-MOBILE US INC,0.0677705044,2013,10,1,18872.84049,25.97,2608
TMUS,T-MOBILE US INC,-0.062026686,2013,11,1,20151.86241,27.73,2608
TMUS,T-MOBILE US INC,0.293348712,2013,12,1,20831.64309,26.01,2608
TMUS,T-MOBILE US INC,-0.091260404,2014,1,1,26942.57876,33.64,2608
TMUS,T-MOBILE US INC,-0.002289827,2014,2,1,24483.78813,30.57,2608
TMUS,T-MOBILE US INC,0.0829508197,2014,3,1,24474.847,30.5,2608
TMUS,T-MOBILE US INC,-0.113230397,2014,4,1,26505.05562,33.03,2608
TMUS,T-MOBILE US INC,0.1720723797,2014,5,1,23517.2339,29.29,2608
TMUS,T-MOBILE US INC,-0.02068162,2014,6,1,27564.55257,34.33,2608
TMUS,T-MOBILE US INC,-0.020226056,2014,7,1,26994.47298,33.62,2608
TMUS,T-MOBILE US INC,-0.086824529,2014,8,1,26588.04804,32.94,2608
TMUS,T-MOBILE US INC,-0.040226064,2014,9,1,24279.55328,30.08,2608
TMUS,T-MOBILE US INC,0.0110841704,2014,10,1,23302.88242,28.87,2608
TMUS,T-MOBILE US INC,0,2014,11,1,23566.5465,29.19,2608
TMUS,T-MOBILE US INC,-0.077081192,2014,12,1,23566.5465,29.19,2608
TMUS,T-MOBILE US INC,0.1202672606,2015,1,1,21752.40666,26.94,2608
TMUS,T-MOBILE US INC,0.0944333996,2015,2,1,24368.50902,30.18,2608
TMUS,T-MOBILE US INC,-0.04056918,2015,3,1,26680.94037,33.03,2608
TMUS,T-MOBILE US INC,0.0741558851,2015,4,1,25598.51651,31.69,2608
TMUS,T-MOBILE US INC,0.1421856639,2015,5,1,27586.5266,34.04,2608
TMUS,T-MOBILE US INC,-0.002829218,2015,6,1,31508.9352,38.88,2608
TMUS,T-MOBILE US INC,0.0487490328,2015,7,1,31419.78955,38.77,2608
TMUS,T-MOBILE US INC,-0.025823906,2015,8,1,33132.8175,40.66,2608
TMUS,T-MOBILE US INC,0.00504923,2015,9,1,32277.19875,39.61,2608
TMUS,T-MOBILE US INC,-0.048229088,2015,10,1,32440.17375,39.81,2608
TMUS,T-MOBILE US INC,-0.063077329,2015,11,1,30919.64193,37.89,2608
TMUS,T-MOBILE US INC,0.101971831,2015,12,1,28969.3135,35.5,2608
TMUS,T-MOBILE US INC,0.0263292434,2016,1,1,31923.36744,39.12,2608
TMUS,T-MOBILE US INC,-0.075965131,2016,2,1,32763.88555,40.15,2608
TMUS,T-MOBILE US INC,0.0323450135,2016,3,1,30363.4191,37.1,2608
TMUS,T-MOBILE US INC,0.0255874674,2016,4,1,31345.5243,38.3,2608
TMUS,T-MOBILE US INC,0.0885947047,2016,5,1,32295.46608,39.28,2608
