ticker,conm,ret,year,month,EW,VW,PW,n
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,,2008,6,1,,,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0.0582010582,2008,7,1,66.0366,1.89,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0,2008,8,1,69.88,2,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0,2008,9,1,61.416,2,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,1,2008,10,1,61.416,2,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,1.25,2008,11,1,122.832,4,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.222222222,2008,12,1,292.275,9,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0.1428571429,2009,1,1,227.325,7,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0.06125,2009,2,1,259.8,8,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0,2009,3,1,275.71275,8.49,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.528857479,2009,4,1,275.71275,8.49,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.0025,2009,5,1,138.04,4,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.248120301,2009,6,1,139.0914,3.99,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,1.9166666667,2009,7,1,104.58,3,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.542857143,2009,8,1,305.025,8.75,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0.25,2009,9,1,139.576,4,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.144,2009,10,1,174.47,5,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.357476636,2009,11,1,149.34632,4.28,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.145454545,2009,12,1,96.76975,2.75,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.70212766,2010,1,1,82.69415,2.35,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.4,2010,2,1,24.6323,0.7,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0.4285714286,2010,3,1,14.77938,0.42,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.266666667,2010,4,1,21.1134,0.6,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.227272727,2010,5,1,15.52188,0.44,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.617647059,2010,6,1,11.99418,0.34,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.538461538,2010,7,1,4.58601,0.13,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.041666667,2010,8,1,2.11662,0.06,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0.5652173913,2010,9,1,2.0155475,0.0575,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.115555556,2010,10,1,3.15477,0.09,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.466080402,2010,11,1,2.7902188,0.0796,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0.6470588235,2010,12,1,1.7722075,0.0425,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.178571429,2011,1,1,2.91893,0.07,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.130434783,2011,2,1,2.3976925,0.0575,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.2,2011,3,1,2.08495,0.05,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0,2011,4,1,1.66796,0.04,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.0125,2011,5,1,2.54728,0.04,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0.0126582278,2011,6,1,2.545854,0.0395,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,0.25,2011,7,1,2.57808,0.04,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.298,2011,8,1,3.2226,0.05,9969
TOMZ,TOMI ENVIRONMENTAL SOLUTINS,-0.43019943,2011,9,1,2.2622652,0.0351,9969
