ticker,conm,ret,year,month,EW,VW,PW,n
TRP,TC ENERGY CORP,-0.064285714,2000,1,1,4127.62875,8.75,1535
TRP,TC ENERGY CORP,-0.160305344,2000,2,1,3887.13025,8.1875,1535
TRP,TC ENERGY CORP,0.1199534545,2000,3,1,3264.1125,6.875,1535
TRP,TC ENERGY CORP,-0.05785124,2000,4,1,3590.52375,7.5625,1535
TRP,TC ENERGY CORP,0.0964912281,2000,5,1,3382.8075,7.125,1535
TRP,TC ENERGY CORP,-0.00668928,2000,6,1,3709.21875,7.8125,1535
TRP,TC ENERGY CORP,0.0081967213,2000,7,1,3504.579625,7.625,1535
TRP,TC ENERGY CORP,0.2764227642,2000,8,1,3533.3056875,7.6875,1535
TRP,TC ENERGY CORP,-0.037338089,2000,9,1,4509.9918125,9.8125,1535
TRP,TC ENERGY CORP,0.0201342282,2000,10,1,4280.1833125,9.3125,1535
TRP,TC ENERGY CORP,0.0592105263,2000,11,1,4366.3615,9.5,1535
TRP,TC ENERGY CORP,0.1560109317,2000,12,1,4624.8960625,10.0625,1535
TRP,TC ENERGY CORP,-0.067826087,2001,1,1,5285.5955,11.5,1535
TRP,TC ENERGY CORP,0.1361940299,2001,2,1,4927.09424,10.72,1535
TRP,TC ENERGY CORP,0.0159037356,2001,3,1,5598.13506,12.18,1535
TRP,TC ENERGY CORP,-0.03270646,2001,4,1,5809.22554,12.23,1535
TRP,TC ENERGY CORP,0.0126796281,2001,5,1,5619.22634,11.83,1535
TRP,TC ENERGY CORP,0.0415997496,2001,6,1,5690.47604,11.98,1535
TRP,TC ENERGY CORP,0.0089213301,2001,7,1,5859.04338,12.33,1535
TRP,TC ENERGY CORP,0.0176848875,2001,8,1,5911.31384,12.44,1535
TRP,TC ENERGY CORP,0.0255195498,2001,9,1,6015.85476,12.66,1535
TRP,TC ENERGY CORP,0.0163551402,2001,10,1,6101.38824,12.84,1535
TRP,TC ENERGY CORP,-0.029885057,2001,11,1,6201.1773,13.05,1535
TRP,TC ENERGY CORP,-0.000717417,2001,12,1,6015.85476,12.66,1535
TRP,TC ENERGY CORP,0.032773781,2002,1,1,5944.57686,12.51,1535
TRP,TC ENERGY CORP,0.072755418,2002,2,1,6157.63324,12.92,1535
TRP,TC ENERGY CORP,-0.007436869,2002,3,1,6605.63442,13.86,1535
TRP,TC ENERGY CORP,0.0647058824,2002,4,1,6487.4584,13.6,1535
TRP,TC ENERGY CORP,0.0421270718,2002,5,1,6907.23512,14.48,1535
TRP,TC ENERGY CORP,0.0261597084,2002,6,1,7205.475,15.09,1535
TRP,TC ENERGY CORP,-0.068537859,2002,7,1,7315.3,15.32,1535
TRP,TC ENERGY CORP,0.0399439383,2002,8,1,6825.02706,14.27,1535
TRP,TC ENERGY CORP,-0.031762129,2002,9,1,7097.64552,14.84,1535
TRP,TC ENERGY CORP,0.0168895144,2002,10,1,6796.33038,14.21,1535
TRP,TC ENERGY CORP,0.0027681661,2002,11,1,6911.1171,14.45,1535
TRP,TC ENERGY CORP,0.0123809524,2002,12,1,6930.24822,14.49,1535
TRP,TC ENERGY CORP,0.0337698139,2003,1,1,6953.83044,14.51,1535
TRP,TC ENERGY CORP,-0.002666667,2003,2,1,7192.5,15,1535
TRP,TC ENERGY CORP,-0.002391644,2003,3,1,7173.32,14.96,1535
TRP,TC ENERGY CORP,0.0814111262,2003,4,1,7078.05956,14.74,1535
TRP,TC ENERGY CORP,0.1091593476,2003,5,1,7654.29236,15.94,1535
TRP,TC ENERGY CORP,0.0050669683,2003,6,1,8495.24,17.68,1535
TRP,TC ENERGY CORP,0.0216277746,2003,7,1,8442.385,17.57,1535
TRP,TC ENERGY CORP,0.0038997214,2003,8,1,8647.86125,17.95,1535
TRP,TC ENERGY CORP,0.0421402886,2003,9,1,8681.5855,18.02,1535
TRP,TC ENERGY CORP,0.097416577,2003,10,1,8951.3795,18.58,1535
TRP,TC ENERGY CORP,0.0608141246,2003,11,1,9823.39225,20.39,1535
TRP,TC ENERGY CORP,0.0039274156,2003,12,1,10420.79325,21.63,1535
TRP,TC ENERGY CORP,-0.048349605,2004,1,1,10362.98025,21.51,1535
TRP,TC ENERGY CORP,0.0112359551,2004,2,1,9891.104,20.47,1535
TRP,TC ENERGY CORP,0.0490971014,2004,3,1,10002.24,20.7,1535
TRP,TC ENERGY CORP,-0.084186047,2004,4,1,10391.6165,21.5,1535
TRP,TC ENERGY CORP,0.0157440325,2004,5,1,9528.46356,19.69,1535
TRP,TC ENERGY CORP,-0.0001525,2004,6,1,9678.48,20,1535
TRP,TC ENERGY CORP,0.0161779575,2004,7,1,9572.01672,19.78,1535
TRP,TC ENERGY CORP,0.039800995,2004,8,1,9731.7969,20.1,1535
TRP,TC ENERGY CORP,0.056359378,2004,9,1,10119.1321,20.9,1535
