ticker,conm,ret,year,month,EW,VW,PW,n
TRQ,TURQUOISE HILL RESOURCES LTD,,2003,11,1,,,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.116537181,2003,12,1,2245.52626,9.01,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.076633166,2004,1,1,1983.83896,7.96,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.217414966,2004,2,1,1831.8111,7.35,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.019471488,2004,3,1,1433.547952,5.752,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0638297872,2004,4,1,1405.63464,5.64,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.1066666667,2004,5,1,1624.92,6,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.179216867,2004,6,1,1798.2448,6.64,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.190825688,2004,7,1,1475.969,5.45,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.006802721,2004,8,1,1194.3162,4.41,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.301369863,2004,9,1,1278.81984,4.38,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0385964912,2004,10,1,1664.2176,5.7,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.2043918919,2004,11,1,1728.45056,5.92,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0084151473,2004,12,1,2084.34142,7.13,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.086230876,2005,1,1,2101.88146,7.19,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.200913242,2005,2,1,1920.63438,6.57,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.053231939,2005,3,1,2310.57861,7.89,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.085676037,2005,4,1,2187.95553,7.47,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0849194729,2005,5,1,2006.46959,6.83,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.048582996,2005,6,1,2177.01354,7.41,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.046332046,2005,7,1,2437.07604,7.77,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.016194332,2005,8,1,2326.05087,7.41,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.146776406,2005,9,1,2289.11832,7.29,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.104066986,2005,10,1,2625.27408,8.36,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.025367156,2005,11,1,2352.25697,7.49,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.015068493,2005,12,1,2292.6526,7.3,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.1515994437,2006,1,1,2259.16271,7.19,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.033816425,2006,2,1,2615.66028,8.28,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.20375,2006,3,1,2527.952,8,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0124610592,2006,4,1,3048.60762,9.63,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.295384615,2006,5,1,3266.484,9.75,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.00727802,2006,6,1,2303.00262,6.87,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.137829912,2006,7,1,2286.30952,6.82,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0663265306,2006,8,1,1971.18768,5.88,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.001594896,2006,9,1,2101.96107,6.27,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.6853035144,2006,10,1,2098.7902,6.26,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.124170616,2006,11,1,3541.213,10.55,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0638528139,2006,12,1,3447.65652,9.24,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.008138352,2007,1,1,3669.26376,9.83,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0307692308,2007,2,1,3641.274,9.75,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.1422885572,2007,3,1,3753.86595,10.05,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0827526132,2007,4,1,4291.0518,11.48,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.1423974256,2007,5,1,4647.78831,12.43,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0028169014,2007,6,1,5315.8978,14.2,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0042134831,2007,7,1,5332.56672,14.24,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.218881119,2007,8,1,5358.9107,14.3,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.1683079678,2007,9,1,4187.8564,11.17,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.0528735632,2007,10,1,4892.706,13.05,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.180494905,2007,11,1,5151.44202,13.74,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.047069272,2007,12,1,4221.63298,11.26,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.09972041,2008,1,1,4024.38307,10.73,6570
TRQ,TURQUOISE HILL RESOURCES LTD,0.3498964803,2008,2,1,3623.20518,9.66,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.208588957,2008,3,1,4891.1084,13.04,6570
TRQ,TURQUOISE HILL RESOURCES LTD,-0.06879845,2008,4,1,3871.22808,10.32,6570
