ticker,conm,ret,year,month,EW,VW,PW,n
TRV,TRAVELERS COS INC,,2002,8,1,,,6482
TRV,TRAVELERS COS INC,-0.169429098,2002,9,1,15476.3145,16.29,6482
TRV,TRAVELERS COS INC,-0.005173688,2002,10,1,6765,13.53,6482
TRV,TRAVELERS COS INC,0.1887072808,2002,11,1,6730,13.46,6482
TRV,TRAVELERS COS INC,-0.084375,2002,12,1,7999.984,16,6482
TRV,TRAVELERS COS INC,0.1098976109,2003,1,1,7324.98535,14.65,6482
TRV,TRAVELERS COS INC,-0.018450185,2003,2,1,8129.98374,16.26,6482
TRV,TRAVELERS COS INC,-0.112578616,2003,3,1,7948.8552,15.9,6482
TRV,TRAVELERS COS INC,0.1516654855,2003,4,1,7053.98408,14.11,6482
TRV,TRAVELERS COS INC,-0.001230769,2003,5,1,8123.83,16.25,6482
TRV,TRAVELERS COS INC,-0.024737168,2003,6,1,8083.81959,16.17,6482
TRV,TRAVELERS COS INC,0.0234622701,2003,7,1,7883.84879,15.77,6482
TRV,TRAVELERS COS INC,-0.035315985,2003,8,1,8070,16.14,6482
TRV,TRAVELERS COS INC,0.0251775339,2003,9,1,7743.46649,15.49,6482
TRV,TRAVELERS COS INC,0.0308564232,2003,10,1,7938.42788,15.88,6482
TRV,TRAVELERS COS INC,-0.042150275,2003,11,1,8182.69183,16.37,6482
TRV,TRAVELERS COS INC,0.0878205128,2003,12,1,7797.8004,15.6,6482
TRV,TRAVELERS COS INC,0.0665880966,2004,1,1,8482.60723,16.97,6482
TRV,TRAVELERS COS INC,0.0121546961,2004,2,1,9047.4479,18.1,6482
TRV,TRAVELERS COS INC,-0.053179825,2004,3,1,9117.42816,18.24,6482
TRV,TRAVELERS COS INC,0.0259057325,2004,4,1,8630.92428,17.27,6482
TRV,TRAVELERS COS INC,-0.024342267,2004,5,1,,40.67,6482
TRV,TRAVELERS COS INC,0.0272177419,2004,6,1,26470.60736,39.68,6482
TRV,TRAVELERS COS INC,-0.085594475,2004,7,1,27092.92254,40.54,6482
TRV,TRAVELERS COS INC,-0.064202859,2004,8,1,24773.91807,37.07,6482
TRV,TRAVELERS COS INC,-0.040645719,2004,9,1,23183.36169,34.69,6482
TRV,TRAVELERS COS INC,0.0272232305,2004,10,1,22109.60232,33.06,6482
TRV,TRAVELERS COS INC,0.074204947,2004,11,1,22726.032,33.96,6482
TRV,TRAVELERS COS INC,0.0222039474,2004,12,1,24421.97376,36.48,6482
TRV,TRAVELERS COS INC,0.0126787159,2005,1,1,24816.95634,37.07,6482
TRV,TRAVELERS COS INC,0.020777837,2005,2,1,25131.60348,37.54,6482
TRV,TRAVELERS COS INC,-0.035751566,2005,3,1,25653.78384,38.32,6482
TRV,TRAVELERS COS INC,-0.025319902,2005,4,1,24737.80192,36.73,6482
TRV,TRAVELERS COS INC,0.0581005587,2005,5,1,24111.4432,35.8,6482
TRV,TRAVELERS COS INC,0.0496304118,2005,6,1,25522.63488,37.88,6482
TRV,TRAVELERS COS INC,0.1135846193,2005,7,1,26634.36528,39.53,6482
TRV,TRAVELERS COS INC,-0.022944116,2005,8,1,29659.61952,44.02,6482
TRV,TRAVELERS COS INC,0.0485933504,2005,9,1,29052.17975,43.01,6482
TRV,TRAVELERS COS INC,0.0035658569,2005,10,1,30308.56325,44.87,6482
TRV,TRAVELERS COS INC,0.0333111259,2005,11,1,30416.63925,45.03,6482
TRV,TRAVELERS COS INC,-0.035031163,2005,12,1,32219.6985,46.53,6482
TRV,TRAVELERS COS INC,0.0158943362,2006,1,1,30931.7415,44.67,6482
TRV,TRAVELERS COS INC,-0.052886734,2006,2,1,31423.381,45.38,6482
TRV,TRAVELERS COS INC,-0.02233597,2006,3,1,29910.38372,42.98,6482
TRV,TRAVELERS COS INC,0.05360134,2006,4,1,29085.33852,41.79,6482
TRV,TRAVELERS COS INC,-0.000227118,2006,5,1,30644.35164,44.03,6482
TRV,TRAVELERS COS INC,0.0186278964,2006,6,1,30649.10108,44.02,6482
TRV,TRAVELERS COS INC,0.0273665321,2006,7,1,31039.00332,44.58,6482
TRV,TRAVELERS COS INC,-0.041484716,2006,8,1,31666.12,45.8,6482
TRV,TRAVELERS COS INC,0.0740318907,2006,9,1,30331.7831,43.9,6482
TRV,TRAVELERS COS INC,0.0904243975,2006,10,1,32397.66081,46.89,6482
TRV,TRAVELERS COS INC,0.0132994328,2006,11,1,35254.135,51.13,6482
TRV,TRAVELERS COS INC,0.0413047674,2006,12,1,35749.83258,51.81,6482
TRV,TRAVELERS COS INC,-0.052896256,2007,1,1,37047.06642,53.69,6482
TRV,TRAVELERS COS INC,-0.001966568,2007,2,1,35087.4153,50.85,6482
TRV,TRAVELERS COS INC,0.0252216749,2007,3,1,34286.54775,50.75,6482
TRV,TRAVELERS COS INC,0.0450067607,2007,4,1,34746.83329,51.77,6482
TRV,TRAVELERS COS INC,0.0012939002,2007,5,1,35992.73,54.1,6482
TRV,TRAVELERS COS INC,-0.007014953,2007,6,1,35968.82583,54.17,6482
TRV,TRAVELERS COS INC,-0.050841121,2007,7,1,35523.9465,53.5,6482
