ticker,conm,ret,year,month,EW,VW,PW,n
TYPE,MONOTYPE IMAGING HOLDINGS,,2007,7,1,,,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0175,2007,8,1,408.708,12,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0303030303,2007,9,1,415.86039,12.21,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.2178060413,2007,10,1,429.40572,12.58,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0437336815,2007,11,1,522.93288,15.32,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.051282051,2007,12,1,546.34632,15.99,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.025708635,2008,1,1,518.32856,15.17,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.077807848,2008,2,1,505.00304,14.78,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.1085840059,2008,3,1,465.70984,13.63,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.030443415,2008,4,1,518.31833,15.11,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.064163823,2008,5,1,502.53895,14.65,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.111597374,2008,6,1,470.44494,13.71,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0640394089,2008,7,1,417.94452,12.18,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.032407407,2008,8,1,444.70944,12.96,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.112440191,2008,9,1,431.36346,12.54,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.388140162,2008,10,1,382.86087,11.13,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.207048458,2008,11,1,234.25719,6.81,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0740740741,2008,12,1,186.3216,5.4,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0172413793,2009,1,1,200.1232,5.8,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.581355932,2009,2,1,203.5736,5.9,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.5141700405,2009,3,1,85.22488,2.47,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.00802139,2009,4,1,129.15716,3.74,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.5229110512,2009,5,1,128.18421,3.71,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.2053097345,2009,6,1,195.2301,5.65,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0690161527,2009,7,1,235.31274,6.81,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.125,2009,8,1,251.55312,7.28,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0268620269,2009,9,1,283.374,8.19,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.105826397,2009,10,1,290.986,8.41,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0292553191,2009,11,1,260.192,7.52,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.1666666667,2009,12,1,268.23744,7.74,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0,2010,1,1,312.94368,9.03,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0531561462,2010,2,1,312.94368,9.03,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0231335436,2010,3,1,329.57856,9.51,9688
TYPE,MONOTYPE IMAGING HOLDINGS,0.0709146968,2010,4,1,337.89371,9.73,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.052783109,2010,5,1,363.7622,10.42,9688
TYPE,MONOTYPE IMAGING HOLDINGS,-0.087132725,2010,6,1,345.02559,9.87,9688
