ticker,conm,ret,year,month,EW,VW,PW,n
UNBO,UNB CORP/OH,-0.014354067,2000,1,1,140.683125,13.0625,2895
UNBO,UNB CORP/OH,-0.014563107,2000,2,1,138.66375,12.875,2895
UNBO,UNB CORP/OH,0.2606896552,2000,3,1,136.416,12.6875,2895
UNBO,UNB CORP/OH,-0.173228346,2000,4,1,170.688,15.875,2895
UNBO,UNB CORP/OH,-0.038095238,2000,5,1,140.266875,13.125,2895
UNBO,UNB CORP/OH,0.0194059406,2000,6,1,133.19375,12.625,2895
UNBO,UNB CORP/OH,-0.019607843,2000,7,1,134.5125,12.75,2895
UNBO,UNB CORP/OH,0.02,2000,8,1,131.875,12.5,2895
UNBO,UNB CORP/OH,-0.000392157,2000,9,1,133.3395,12.75,2895
UNBO,UNB CORP/OH,0.0297029703,2000,10,1,132.03225,12.625,2895
UNBO,UNB CORP/OH,-0.038461538,2000,11,1,135.954,13,2895
UNBO,UNB CORP/OH,-0.0204,2000,12,1,130.4625,12.5,2895
UNBO,UNB CORP/OH,0.2371134021,2001,1,1,126.548625,12.125,2895
UNBO,UNB CORP/OH,-0.016666667,2001,2,1,156.555,15,2895
UNBO,UNB CORP/OH,0.0084745763,2001,3,1,153.94575,14.75,2895
UNBO,UNB CORP/OH,0.0162711864,2001,4,1,153.9015,14.75,2895
UNBO,UNB CORP/OH,0.1087391594,2001,5,1,156.40566,14.99,2895
UNBO,UNB CORP/OH,0.1206377858,2001,6,1,173.87844,16.62,2895
UNBO,UNB CORP/OH,0.0681081081,2001,7,1,193.547,18.5,2895
UNBO,UNB CORP/OH,-0.062246964,2001,8,1,206.72912,19.76,2895
UNBO,UNB CORP/OH,-0.074743659,2001,9,1,194.13881,18.53,2895
UNBO,UNB CORP/OH,-0.001175088,2001,10,1,178.31854,17.02,2895
UNBO,UNB CORP/OH,0.0141176471,2001,11,1,178.279,17,2895
UNBO,UNB CORP/OH,0.0832366589,2001,12,1,180.31316,17.24,2895
UNBO,UNB CORP/OH,-0.052291105,2002,1,1,193.662,18.55,2895
UNBO,UNB CORP/OH,0.066552901,2002,2,1,183.5352,17.58,2895
UNBO,UNB CORP/OH,-0.002133333,2002,3,1,195.75,18.75,2895
UNBO,UNB CORP/OH,0,2002,4,1,195.3324,18.71,2895
