ticker,conm,ret,year,month,EW,VW,PW,n
UNIZ,UNIZAN FINANCIAL CORP,-0.160326087,2000,1,1,176.088,23,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0550161812,2000,2,1,147.8565,19.3125,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0623312883,2000,3,1,155.991,20.375,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.098837209,2000,4,1,162.368,21.5,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.193548387,2000,5,1,146.32,19.375,4241
UNIZ,UNIZAN FINANCIAL CORP,0.05728,2000,6,1,116.484375,15.625,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.13740458,2000,7,1,137.337125,16.375,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0722123894,2000,8,1,118.466375,14.125,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0333333333,2000,9,1,125.805,15,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0838709677,2000,10,1,129.9985,15.5,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.046875,2000,11,1,140.896,16,4241
UNIZ,UNIZAN FINANCIAL CORP,0.017704918,2000,12,1,134.2915,15.25,4241
UNIZ,UNIZAN FINANCIAL CORP,0.2032520325,2001,1,1,135.39225,15.375,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.040540541,2001,2,1,162.911,18.5,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.002394366,2001,3,1,156.3065,17.75,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.069039146,2001,4,1,154.4621875,17.5625,4241
UNIZ,UNIZAN FINANCIAL CORP,0.3290519878,2001,5,1,143.79825,16.35,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0490105844,2001,6,1,190.55037,21.73,4241
UNIZ,UNIZAN FINANCIAL CORP,0.1033112583,2001,7,1,198.61785,22.65,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.094237695,2001,8,1,219.13731,24.99,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.028457092,2001,9,1,196.60758,22.49,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0068649886,2001,10,1,191.0127,21.85,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0159090909,2001,11,1,192.324,22,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0878378378,2001,12,1,194.028,22.2,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.033126294,2002,1,1,211.071,24.15,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0620985011,2002,2,1,204.079,23.35,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0199294355,2002,3,1,216.752,24.8,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0996835443,2002,4,1,197.9424,18.96,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.021582734,2002,5,1,217.77825,20.85,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0558823529,2002,6,1,449.6976,20.4,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.117702008,2002,7,1,471.96204,21.41,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0587612493,2002,8,1,416.41116,18.89,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.0346,2002,9,1,440.84,20,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0016685786,2002,10,1,422.721476,19.178,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0166579906,2002,11,1,423.42682,19.21,4241
UNIZ,UNIZAN FINANCIAL CORP,0.017921147,2002,12,1,431.24193,19.53,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0202531646,2003,1,1,436.09975,19.75,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.029280397,2003,2,1,444.93215,20.15,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.056492843,2003,3,1,431.90436,19.56,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.049126638,2003,4,1,397.21424,18.32,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0063145809,2003,5,1,377.70044,17.42,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0099828865,2003,6,1,378.92848,17.53,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0887877063,2003,7,1,379.79312,17.57,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.004181913,2003,8,1,413.51408,19.13,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0543307087,2003,9,1,412.0134,19.05,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0210526316,2003,10,1,431.4786,19.95,4241
UNIZ,UNIZAN FINANCIAL CORP,0.05940108,2003,11,1,440.56236,20.37,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.055375348,2003,12,1,467.14226,21.58,4241
UNIZ,UNIZAN FINANCIAL CORP,0.237037037,2004,1,1,438.35175,20.25,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0427145709,2004,2,1,542.25735,25.05,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.041156202,2004,3,1,565.41964,26.12,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.028101164,2004,4,1,541.69286,24.91,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0648492359,2004,5,1,526.47066,24.21,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0176493406,2004,6,1,560.94702,25.78,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0498084291,2004,7,1,567.9099,26.1,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0091240876,2004,8,1,596.1966,27.4,4241
UNIZ,UNIZAN FINANCIAL CORP,0.0034358047,2004,9,1,602.6594,27.65,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.037305324,2004,10,1,601.78756,27.61,4241
UNIZ,UNIZAN FINANCIAL CORP,-0.030097818,2004,11,1,579.33768,26.58,4241
