ticker,conm,ret,year,month,EW,VW,PW,n
URZ,URANERZ ENERGY CORP,,2004,5,1,,,8911
URZ,URANERZ ENERGY CORP,0,2004,6,1,,0.1,8911
URZ,URANERZ ENERGY CORP,0,2004,7,1,0.5641,0.1,8911
URZ,URANERZ ENERGY CORP,0,2004,8,1,0.5641,0.1,8911
URZ,URANERZ ENERGY CORP,0.5,2004,9,1,0.5641,0.1,8911
URZ,URANERZ ENERGY CORP,0,2004,10,1,0.84615,0.15,8911
URZ,URANERZ ENERGY CORP,0,2004,11,1,0.84615,0.15,8911
URZ,URANERZ ENERGY CORP,0.3333333333,2004,12,1,0.84615,0.15,8911
URZ,URANERZ ENERGY CORP,4.25,2005,1,1,1.1282,0.2,8911
URZ,URANERZ ENERGY CORP,0,2005,2,1,5.92305,1.05,8911
URZ,URANERZ ENERGY CORP,-0.514285714,2005,3,1,5.92305,1.05,8911
URZ,URANERZ ENERGY CORP,0,2005,4,1,2.87691,0.51,8911
URZ,URANERZ ENERGY CORP,-0.117647059,2005,5,1,2.87691,0.51,8911
URZ,URANERZ ENERGY CORP,1.3333333333,2005,6,1,5.67,0.45,8911
URZ,URANERZ ENERGY CORP,-0.323809524,2005,7,1,13.23,1.05,8911
URZ,URANERZ ENERGY CORP,0.4225352113,2005,8,1,8.946,0.71,8911
URZ,URANERZ ENERGY CORP,0.3465346535,2005,9,1,12.726,1.01,8911
URZ,URANERZ ENERGY CORP,-0.279411765,2005,10,1,17.136,1.36,8911
URZ,URANERZ ENERGY CORP,0.0408163265,2005,11,1,12.348,0.98,8911
URZ,URANERZ ENERGY CORP,0.0784313725,2005,12,1,22.0524,1.02,8911
URZ,URANERZ ENERGY CORP,1.1636363636,2006,1,1,23.782,1.1,8911
URZ,URANERZ ENERGY CORP,-0.113445378,2006,2,1,51.4556,2.38,8911
URZ,URANERZ ENERGY CORP,0.1327014218,2006,3,1,45.6182,2.11,8911
URZ,URANERZ ENERGY CORP,0.0083682008,2006,4,1,51.6718,2.39,8911
URZ,URANERZ ENERGY CORP,0.0290456432,2006,5,1,70.91666,2.41,8911
URZ,URANERZ ENERGY CORP,-0.112903226,2006,6,1,73.28896,2.48,8911
URZ,URANERZ ENERGY CORP,0.1045454545,2006,7,1,65.0144,2.2,8911
URZ,URANERZ ENERGY CORP,-0.053497942,2006,8,1,71.81136,2.43,8911
URZ,URANERZ ENERGY CORP,-0.117391304,2006,9,1,73.0733,2.3,8911
URZ,URANERZ ENERGY CORP,-0.03453202,2006,10,1,64.49513,2.03,8911
URZ,URANERZ ENERGY CORP,1.1276595745,2006,11,1,62.2679829,1.9599,8911
URZ,URANERZ ENERGY CORP,-0.019184652,2006,12,1,143.00181,4.17,8911
URZ,URANERZ ENERGY CORP,-0.129584352,2007,1,1,140.25837,4.09,8911
URZ,URANERZ ENERGY CORP,0.4466292135,2007,2,1,122.8556,3.56,8911
URZ,URANERZ ENERGY CORP,0.040776699,2007,3,1,177.7265,5.15,8911
URZ,URANERZ ENERGY CORP,0.3246268657,2007,4,1,184.9736,5.36,8911
URZ,URANERZ ENERGY CORP,-0.205633803,2007,5,1,277.2692,7.1,8911
URZ,URANERZ ENERGY CORP,-0.093971631,2007,6,1,220.25328,5.64,8911
URZ,URANERZ ENERGY CORP,-0.238767123,2007,7,1,199.55572,5.11,8911
URZ,URANERZ ENERGY CORP,-0.215918147,2007,8,1,152.3245941,3.8899,8911
URZ,URANERZ ENERGY CORP,0.3114754098,2007,9,1,119.43495,3.05,8911
URZ,URANERZ ENERGY CORP,0.0275,2007,10,1,156.636,4,8911
URZ,URANERZ ENERGY CORP,-0.216545012,2007,11,1,160.94349,4.11,8911
URZ,URANERZ ENERGY CORP,-0.186335404,2007,12,1,126.30128,3.22,8911
URZ,URANERZ ENERGY CORP,0.0038167939,2008,1,1,102.76688,2.62,8911
URZ,URANERZ ENERGY CORP,0.0570342205,2008,2,1,103.15912,2.63,8911
URZ,URANERZ ENERGY CORP,-0.197841727,2008,3,1,109.04272,2.78,8911
URZ,URANERZ ENERGY CORP,0.1838565022,2008,4,1,101.1082,2.23,8911
URZ,URANERZ ENERGY CORP,0.2727272727,2008,5,1,119.73984,2.64,8911
URZ,URANERZ ENERGY CORP,-0.020833333,2008,6,1,152.39616,3.36,8911
URZ,URANERZ ENERGY CORP,-0.331306991,2008,7,1,149.22124,3.29,8911
URZ,URANERZ ENERGY CORP,-0.163636364,2008,8,1,121.9504,2.2,8911
URZ,URANERZ ENERGY CORP,-0.320652174,2008,9,1,101.99488,1.84,8911
URZ,URANERZ ENERGY CORP,-0.52,2008,10,1,69.29,1.25,8911
URZ,URANERZ ENERGY CORP,-0.083333333,2008,11,1,33.2592,0.6,8911
URZ,URANERZ ENERGY CORP,0.1272727273,2008,12,1,30.4986,0.55,8911
URZ,URANERZ ENERGY CORP,0.3225806452,2009,1,1,34.38024,0.62,8911
URZ,URANERZ ENERGY CORP,-0.304878049,2009,2,1,45.47064,0.82,8911
URZ,URANERZ ENERGY CORP,0.0526315789,2009,3,1,31.60764,0.57,8911
URZ,URANERZ ENERGY CORP,1.3166666667,2009,4,1,33.2712,0.6,8911
URZ,URANERZ ENERGY CORP,0.071942446,2009,5,1,77.07828,1.39,8911
URZ,URANERZ ENERGY CORP,0.2617449664,2009,6,1,82.62348,1.49,8911
URZ,URANERZ ENERGY CORP,0.0372340426,2009,7,1,104.24976,1.88,8911
URZ,URANERZ ENERGY CORP,-0.046153846,2009,8,1,108.1314,1.95,8911
URZ,URANERZ ENERGY CORP,0.2311827957,2009,9,1,103.3044,1.86,8911
URZ,URANERZ ENERGY CORP,-0.331877729,2009,10,1,127.1866,2.29,8911
URZ,URANERZ ENERGY CORP,-0.098039216,2009,11,1,100.51335,1.53,8911
URZ,URANERZ ENERGY CORP,-0.057971014,2009,12,1,88.5891,1.38,8911
URZ,URANERZ ENERGY CORP,-0.061538462,2010,1,1,83.4535,1.3,8911
URZ,URANERZ ENERGY CORP,0.5245901639,2010,2,1,78.3179,1.22,8911
URZ,URANERZ ENERGY CORP,0,2010,3,1,119.4027,1.86,8911
URZ,URANERZ ENERGY CORP,-0.112903226,2010,4,1,119.4027,1.86,8911
URZ,URANERZ ENERGY CORP,-0.054545455,2010,5,1,105.92175,1.65,8911
URZ,URANERZ ENERGY CORP,-0.333333333,2010,6,1,100.1442,1.56,8911
URZ,URANERZ ENERGY CORP,0.1826923077,2010,7,1,66.7628,1.04,8911
URZ,URANERZ ENERGY CORP,0.0243902439,2010,8,1,78.95985,1.23,8911
URZ,URANERZ ENERGY CORP,0.2763492063,2010,9,1,80.8857,1.26,8911
URZ,URANERZ ENERGY CORP,0.3928615844,2010,10,1,103.238399,1.6082,8911
URZ,URANERZ ENERGY CORP,0.78125,2010,11,1,143.7968,2.24,8911
URZ,URANERZ ENERGY CORP,0,2010,12,1,256.2777,3.99,8911
URZ,URANERZ ENERGY CORP,0.2581453634,2011,1,1,282.41619,3.99,8911
URZ,URANERZ ENERGY CORP,-0.017928287,2011,2,1,355.32062,5.02,8911
URZ,URANERZ ENERGY CORP,-0.352941176,2011,3,1,348.95033,4.93,8911
URZ,URANERZ ENERGY CORP,-0.128526646,2011,4,1,241.47981,3.19,8911
URZ,URANERZ ENERGY CORP,0.1510791367,2011,5,1,212.40312,2.78,8911
URZ,URANERZ ENERGY CORP,-0.05625,2011,6,1,244.4928,3.2,8911
URZ,URANERZ ENERGY CORP,-0.003311258,2011,7,1,230.74008,3.02,8911
URZ,URANERZ ENERGY CORP,-0.209302326,2011,8,1,229.97604,3.01,8911
URZ,URANERZ ENERGY CORP,-0.424369748,2011,9,1,183.14814,2.38,8911
URZ,URANERZ ENERGY CORP,0.6642335766,2011,10,1,105.42561,1.37,8911
URZ,URANERZ ENERGY CORP,-0.153508772,2011,11,1,175.54404,2.28,8911
URZ,URANERZ ENERGY CORP,-0.056994819,2011,12,1,148.66211,1.93,8911
URZ,URANERZ ENERGY CORP,0.6593406593,2012,1,1,140.18914,1.82,8911
URZ,URANERZ ENERGY CORP,-0.17218543,2012,2,1,232.62154,3.02,8911
URZ,URANERZ ENERGY CORP,0.008,2012,3,1,192.5675,2.5,8911
URZ,URANERZ ENERGY CORP,-0.305555556,2012,4,1,194.41548,2.52,8911
URZ,URANERZ ENERGY CORP,-0.228571429,2012,5,1,135.02825,1.75,8911
URZ,URANERZ ENERGY CORP,0.0740740741,2012,6,1,104.16465,1.35,8911
URZ,URANERZ ENERGY CORP,0.0620689655,2012,7,1,111.88055,1.45,8911
URZ,URANERZ ENERGY CORP,-0.058441558,2012,8,1,118.82486,1.54,8911
URZ,URANERZ ENERGY CORP,0.124137931,2012,9,1,111.88635,1.45,8911
URZ,URANERZ ENERGY CORP,0.018404908,2012,10,1,125.77569,1.63,8911
URZ,URANERZ ENERGY CORP,-0.198795181,2012,11,1,128.09058,1.66,8911
URZ,URANERZ ENERGY CORP,0.045112782,2012,12,1,102.62679,1.33,8911
URZ,URANERZ ENERGY CORP,0.0575539568,2013,1,1,107.31912,1.39,8911
URZ,URANERZ ENERGY CORP,-0.102040816,2013,2,1,113.49576,1.47,8911
URZ,URANERZ ENERGY CORP,-0.037878788,2013,3,1,101.91456,1.32,8911
URZ,URANERZ ENERGY CORP,-0.196850394,2013,4,1,98.05416,1.27,8911
URZ,URANERZ ENERGY CORP,0.2745098039,2013,5,1,78.75216,1.02,8911
URZ,URANERZ ENERGY CORP,-0.153846154,2013,6,1,100.3704,1.3,8911
URZ,URANERZ ENERGY CORP,0.3545454545,2013,7,1,84.9288,1.1,8911
URZ,URANERZ ENERGY CORP,-0.295302013,2013,8,1,115.03992,1.49,8911
URZ,URANERZ ENERGY CORP,-0.095238095,2013,9,1,90.06375,1.05,8911
URZ,URANERZ ENERGY CORP,-0.031578947,2013,10,1,81.48625,0.95,8911
URZ,URANERZ ENERGY CORP,0.1956521739,2013,11,1,78.913,0.92,8911
URZ,URANERZ ENERGY CORP,0.1636363636,2013,12,1,94.3965,1.1,8911
URZ,URANERZ ENERGY CORP,0.2265625,2014,1,1,109.8432,1.28,8911
