ticker,conm,ret,year,month,EW,VW,PW,n
USDP,USD PARTNERS LP,,2014,10,1,,,3209
USDP,USD PARTNERS LP,-0.101684717,2014,11,1,169.75668,16.62,3209
USDP,USD PARTNERS LP,-0.05090422,2014,12,1,152.49502,14.93,3209
USDP,USD PARTNERS LP,-0.07833451,2015,1,1,144.73238,14.17,3209
USDP,USD PARTNERS LP,0.0301493109,2015,2,1,133.39484,13.06,3209
USDP,USD PARTNERS LP,0.0582891749,2015,3,1,134.92694,13.21,3209
USDP,USD PARTNERS LP,0.030758226,2015,4,1,142.596,13.98,3209
USDP,USD PARTNERS LP,-0.043199167,2015,5,1,147.18374,14.41,3209
USDP,USD PARTNERS LP,-0.126666667,2015,6,1,137.889,13.5,3209
USDP,USD PARTNERS LP,-0.098388465,2015,7,1,120.42306,11.79,3209
USDP,USD PARTNERS LP,0.0818438382,2015,8,1,108.57482,10.63,3209
USDP,USD PARTNERS LP,-0.285459411,2015,9,1,114.49894,11.21,3209
USDP,USD PARTNERS LP,0.102372035,2015,10,1,81.81414,8.01,3209
USDP,USD PARTNERS LP,0.1724235561,2015,11,1,90.18962,8.83,3209
USDP,USD PARTNERS LP,-0.280318091,2015,12,1,102.75284,10.06,3209
USDP,USD PARTNERS LP,0.0635359116,2016,1,1,73.94936,7.24,3209
USDP,USD PARTNERS LP,-0.051948052,2016,2,1,78.6478,7.7,3209
USDP,USD PARTNERS LP,0.1857142857,2016,3,1,71.498,7,3209
USDP,USD PARTNERS LP,0.2361445783,2016,4,1,117.7106,8.3,3209
USDP,USD PARTNERS LP,0.0455653021,2016,5,1,145.50732,10.26,3209
USDP,USD PARTNERS LP,-0.074856046,2016,6,1,147.77644,10.42,3209
USDP,USD PARTNERS LP,0.0881742739,2016,7,1,136.71448,9.64,3209
USDP,USD PARTNERS LP,0.2092469018,2016,8,1,148.76918,10.49,3209
USDP,USD PARTNERS LP,0.0008084074,2016,9,1,175.43134,12.37,3209
USDP,USD PARTNERS LP,0.0581583199,2016,10,1,175.57316,12.38,3209
