ticker,conm,ret,year,month,EW,VW,PW,n
VAPO,VAPOTHERM INC,,2018,11,1,,,5396
VAPO,VAPOTHERM INC,0.0848287113,2018,12,1,318.75387,18.39,5396
VAPO,VAPOTHERM INC,-0.156390977,2019,1,1,345.79335,19.95,5396
VAPO,VAPOTHERM INC,0.1550802139,2019,2,1,291.71439,16.83,5396
VAPO,VAPOTHERM INC,0.0108024691,2019,3,1,336.95352,19.44,5396
VAPO,VAPOTHERM INC,-0.138422392,2019,4,1,340.8489,19.65,5396
VAPO,VAPOTHERM INC,-0.006497342,2019,5,1,293.0583,16.93,5396
VAPO,VAPOTHERM INC,0.3674197384,2019,6,1,292.44934,16.82,5396
VAPO,VAPOTHERM INC,-0.300434783,2019,7,1,399.901,23,5396
VAPO,VAPOTHERM INC,-0.279055314,2019,8,1,281.55891,16.09,5396
VAPO,VAPOTHERM INC,-0.18362069,2019,9,1,239.0064,11.6,5396
VAPO,VAPOTHERM INC,0.0876451954,2019,10,1,195.11988,9.47,5396
VAPO,VAPOTHERM INC,0.0737864078,2019,11,1,212.2212,10.3,5396
VAPO,VAPOTHERM INC,0.0994575045,2019,12,1,233.18904,11.06,5396
VAPO,VAPOTHERM INC,-0.140625,2020,1,1,256.38144,12.16,5396
VAPO,VAPOTHERM INC,-0.171291866,2020,2,1,220.3278,10.45,5396
VAPO,VAPOTHERM INC,1.1743648961,2020,3,1,182.58744,8.66,5396
VAPO,VAPOTHERM INC,0.0770047796,2020,4,1,393.09508,18.83,5396
VAPO,VAPOTHERM INC,0.3131163708,2020,5,1,433.992,20.28,5396
VAPO,VAPOTHERM INC,0.539241457,2020,6,1,665.53696,26.63,5396
VAPO,VAPOTHERM INC,0.2744571847,2020,7,1,1024.42208,40.99,5396
VAPO,VAPOTHERM INC,-0.404479326,2020,8,1,1305.58208,52.24,5396
VAPO,VAPOTHERM INC,-0.067823851,2020,9,1,795.4827,31.11,5396
VAPO,VAPOTHERM INC,0.0327586207,2020,10,1,741.53,29,5396
VAPO,VAPOTHERM INC,-0.159933222,2020,11,1,765.8215,29.95,5396
VAPO,VAPOTHERM INC,0.0675675676,2020,12,1,645.63076,25.16,5396
