ticker,conm,ret,year,month,EW,VW,PW,n
VIAV,VIAVI SOLUTIONS INC,0.2642386672,2000,1,1,56046.092375,161.3125,4441
VIAV,VIAVI SOLUTIONS INC,0.292675452,2000,2,1,70855.637125,203.9375,4441
VIAV,VIAVI SOLUTIONS INC,-0.085348506,2000,3,1,82749.25125,263.625,4441
VIAV,VIAVI SOLUTIONS INC,-0.139968896,2000,4,1,66544.471875,120.5625,4441
VIAV,VIAVI SOLUTIONS INC,-0.151295961,2000,5,1,57230.315625,103.6875,4441
VIAV,VIAVI SOLUTIONS INC,0.3622159091,2000,6,1,52692.288,88,4441
VIAV,VIAVI SOLUTIONS INC,-0.01459854,2000,7,1,71778.273,119.875,4441
VIAV,VIAVI SOLUTIONS INC,0.0538359788,2000,8,1,88127.038125,118.125,4441
VIAV,VIAVI SOLUTIONS INC,-0.23936237,2000,9,1,92871.443484,124.484375,4441
VIAV,VIAVI SOLUTIONS INC,-0.139933993,2000,10,1,88620.777188,94.6875,4441
VIAV,VIAVI SOLUTIONS INC,-0.385264774,2000,11,1,76219.717938,81.4375,4441
VIAV,VIAVI SOLUTIONS INC,-0.167290886,2000,12,1,46854.945563,50.0625,4441
VIAV,VIAVI SOLUTIONS INC,0.3148425787,2001,1,1,40084.073688,41.6875,4441
VIAV,VIAVI SOLUTIONS INC,-0.511972634,2001,2,1,52704.246813,54.8125,4441
VIAV,VIAVI SOLUTIONS INC,-0.310747664,2001,3,1,34891.202,26.75,4441
VIAV,VIAVI SOLUTIONS INC,0.1601355932,2001,4,1,24048.8425,18.4375,4441
VIAV,VIAVI SOLUTIONS INC,-0.218793829,2001,5,1,27899.91816,21.39,4441
VIAV,VIAVI SOLUTIONS INC,-0.251944943,2001,6,1,21994.08633,16.71,4441
VIAV,VIAVI SOLUTIONS INC,-0.2608,2001,7,1,16452.7875,12.5,4441
VIAV,VIAVI SOLUTIONS INC,-0.237012987,2001,8,1,12161.90052,9.24,4441
VIAV,VIAVI SOLUTIONS INC,-0.103546099,2001,9,1,9279.37215,7.05,4441
VIAV,VIAVI SOLUTIONS INC,0.2642405063,2001,10,1,8369.01984,6.32,4441
VIAV,VIAVI SOLUTIONS INC,0.2615769712,2001,11,1,10580.45388,7.99,4441
VIAV,VIAVI SOLUTIONS INC,-0.138888889,2001,12,1,11835.39168,10.08,4441
VIAV,VIAVI SOLUTIONS INC,-0.193548387,2002,1,1,10191.61332,8.68,4441
VIAV,VIAVI SOLUTIONS INC,-0.307142857,2002,2,1,8219.043,7,4441
VIAV,VIAVI SOLUTIONS INC,0.2144329897,2002,3,1,5838.26025,4.85,4441
VIAV,VIAVI SOLUTIONS INC,-0.263157895,2002,4,1,7090.17585,5.89,4441
VIAV,VIAVI SOLUTIONS INC,-0.19124424,2002,5,1,5224.3401,4.34,4441
VIAV,VIAVI SOLUTIONS INC,-0.239316239,2002,6,1,4779.14931,3.51,4441
VIAV,VIAVI SOLUTIONS INC,-0.052434457,2002,7,1,3635.42127,2.67,4441
VIAV,VIAVI SOLUTIONS INC,0.0632411067,2002,8,1,3444.79993,2.53,4441
VIAV,VIAVI SOLUTIONS INC,-0.275836431,2002,9,1,3662.65289,2.69,4441
VIAV,VIAVI SOLUTIONS INC,0.1555441478,2002,10,1,2754.660956,1.948,4441
VIAV,VIAVI SOLUTIONS INC,0.5148822745,2002,11,1,2837.957254,2.251,4441
VIAV,VIAVI SOLUTIONS INC,-0.275659824,2002,12,1,4300.39192,3.41,4441
VIAV,VIAVI SOLUTIONS INC,0.0931174089,2003,1,1,3114.94664,2.47,4441
VIAV,VIAVI SOLUTIONS INC,0.062962963,2003,2,1,3405.0024,2.7,4441
VIAV,VIAVI SOLUTIONS INC,-0.006968641,2003,3,1,3621.40331,2.87,4441
VIAV,VIAVI SOLUTIONS INC,0.1333333333,2003,4,1,3596.16705,2.85,4441
VIAV,VIAVI SOLUTIONS INC,0.1702786378,2003,5,1,4075.65599,3.23,4441
VIAV,VIAVI SOLUTIONS INC,-0.074867725,2003,6,1,5109.56586,3.78,4441
VIAV,VIAVI SOLUTIONS INC,-0.139262225,2003,7,1,4727.024289,3.497,4441
VIAV,VIAVI SOLUTIONS INC,0.146179402,2003,8,1,4068.72837,3.01,4441
VIAV,VIAVI SOLUTIONS INC,0.0434782609,2003,9,1,4663.49265,3.45,4441
VIAV,VIAVI SOLUTIONS INC,-0.019444444,2003,10,1,4925.394,3.6,4441
VIAV,VIAVI SOLUTIONS INC,-0.025495751,2003,11,1,4831.06269,3.53,4441
VIAV,VIAVI SOLUTIONS INC,0.0581395349,2003,12,1,4708.81648,3.44,4441
VIAV,VIAVI SOLUTIONS INC,0.4010989011,2004,1,1,4982.58488,3.64,4441
VIAV,VIAVI SOLUTIONS INC,-0.052941176,2004,2,1,6981.0942,5.1,4441
VIAV,VIAVI SOLUTIONS INC,-0.157349896,2004,3,1,6935.86551,4.83,4441
VIAV,VIAVI SOLUTIONS INC,-0.255528256,2004,4,1,5844.50779,4.07,4441
VIAV,VIAVI SOLUTIONS INC,0.1122112211,2004,5,1,4351.07091,3.03,4441
VIAV,VIAVI SOLUTIONS INC,0.1246290801,2004,6,1,4853.3392,3.37,4441
VIAV,VIAVI SOLUTIONS INC,-0.089709763,2004,7,1,5458.2064,3.79,4441
VIAV,VIAVI SOLUTIONS INC,-0.098550725,2004,8,1,4968.552,3.45,4441
VIAV,VIAVI SOLUTIONS INC,0.0836012862,2004,9,1,4478.8976,3.11,4441
VIAV,VIAVI SOLUTIONS INC,-0.059347181,2004,10,1,4654.15872,3.37,4441
VIAV,VIAVI SOLUTIONS INC,0,2004,11,1,4378.77806,3.17,4441
VIAV,VIAVI SOLUTIONS INC,0,2004,12,1,4378.77806,3.17,4441
VIAV,VIAVI SOLUTIONS INC,-0.321766562,2005,1,1,4378.77806,3.17,4441
VIAV,VIAVI SOLUTIONS INC,-0.111627907,2005,2,1,2969.8337,2.15,4441
VIAV,VIAVI SOLUTIONS INC,-0.12565445,2005,3,1,2646.62015,1.91,4441
VIAV,VIAVI SOLUTIONS INC,-0.113772455,2005,4,1,2314.06055,1.67,4441
VIAV,VIAVI SOLUTIONS INC,0.0337837838,2005,5,1,2050.7842,1.48,4441
VIAV,VIAVI SOLUTIONS INC,-0.006535948,2005,6,1,2126.61279,1.53,4441
VIAV,VIAVI SOLUTIONS INC,-0.006578947,2005,7,1,2112.71336,1.52,4441
VIAV,VIAVI SOLUTIONS INC,0.0463576159,2005,8,1,2098.81393,1.51,4441
VIAV,VIAVI SOLUTIONS INC,0.4050632911,2005,9,1,2196.10994,1.58,4441
VIAV,VIAVI SOLUTIONS INC,-0.054054054,2005,10,1,3538.5912,2.22,4441
VIAV,VIAVI SOLUTIONS INC,0.2238095238,2005,11,1,3347.8767,2.1,4441
VIAV,VIAVI SOLUTIONS INC,-0.081712062,2005,12,1,4097.16339,2.57,4441
VIAV,VIAVI SOLUTIONS INC,0.3220338983,2006,1,1,3762.37572,2.36,4441
VIAV,VIAVI SOLUTIONS INC,-0.025641026,2006,2,1,4973.98824,3.12,4441
VIAV,VIAVI SOLUTIONS INC,0.3717105263,2006,3,1,5095.70576,3.04,4441
VIAV,VIAVI SOLUTIONS INC,-0.163069544,2006,4,1,6989.83323,4.17,4441
VIAV,VIAVI SOLUTIONS INC,-0.131805158,2006,5,1,5850.00431,3.49,4441
VIAV,VIAVI SOLUTIONS INC,-0.165016502,2006,6,1,5105.15307,3.03,4441
VIAV,VIAVI SOLUTIONS INC,-0.154150198,2006,7,1,4262.71857,2.53,4441
VIAV,VIAVI SOLUTIONS INC,0.0607476636,2006,8,1,3605.61966,2.14,4441
VIAV,VIAVI SOLUTIONS INC,-0.035242291,2006,9,1,3824.65263,2.27,4441
VIAV,VIAVI SOLUTIONS INC,-0.1706621,2006,10,1,3697.05945,2.19,4441
VIAV,VIAVI SOLUTIONS INC,0.2718513421,2006,11,1,2973.54997,14.53,4441
VIAV,VIAVI SOLUTIONS INC,-0.098484848,2006,12,1,3782.15376,18.48,4441
VIAV,VIAVI SOLUTIONS INC,0.0672268908,2007,1,1,3414.90016,16.66,4441
VIAV,VIAVI SOLUTIONS INC,-0.088301462,2007,2,1,3644.73998,17.78,4441
VIAV,VIAVI SOLUTIONS INC,-0.060456508,2007,3,1,3331.18742,16.21,4441
VIAV,VIAVI SOLUTIONS INC,0.0820748523,2007,4,1,3130.8311,15.23,4441
VIAV,VIAVI SOLUTIONS INC,-0.205400485,2007,5,1,3387.7936,16.48,4441
VIAV,VIAVI SOLUTIONS INC,0.0255822833,2007,6,1,2695.828365,13.095,4441
VIAV,VIAVI SOLUTIONS INC,0.0670141474,2007,7,1,2861.59725,13.43,4441
VIAV,VIAVI SOLUTIONS INC,0.0160502442,2007,8,1,3053.36475,14.33,4441
VIAV,VIAVI SOLUTIONS INC,0.0274725275,2007,9,1,3103.3184,14.56,4441
VIAV,VIAVI SOLUTIONS INC,0.0200534759,2007,10,1,3188.5744,14.96,4441
VIAV,VIAVI SOLUTIONS INC,-0.117955439,2007,11,1,3258.773,15.26,4441
VIAV,VIAVI SOLUTIONS INC,-0.011887073,2007,12,1,2877.42496,13.46,4441
VIAV,VIAVI SOLUTIONS INC,-0.217293233,2008,1,1,2843.2208,13.3,4441
VIAV,VIAVI SOLUTIONS INC,0.2632084534,2008,2,1,2285.22402,10.41,4441
VIAV,VIAVI SOLUTIONS INC,0.0182509506,2008,3,1,2936.14515,13.15,4441
VIAV,VIAVI SOLUTIONS INC,0.068707991,2008,4,1,3006.16212,13.39,4441
VIAV,VIAVI SOLUTIONS INC,-0.135569532,2008,5,1,3212.70948,14.31,4441
VIAV,VIAVI SOLUTIONS INC,-0.081649151,2008,6,1,2778.80917,12.37,4441
VIAV,VIAVI SOLUTIONS INC,-0.037852113,2008,7,1,2551.92176,11.36,4441
VIAV,VIAVI SOLUTIONS INC,-0.070448307,2008,8,1,2343.0641,10.93,4441
VIAV,VIAVI SOLUTIONS INC,-0.166338583,2008,9,1,2126.12224,10.16,4441
VIAV,VIAVI SOLUTIONS INC,-0.355371901,2008,10,1,1777.14999,8.47,4441
VIAV,VIAVI SOLUTIONS INC,-0.501831502,2008,11,1,1145.60082,5.46,4441
VIAV,VIAVI SOLUTIONS INC,0.3419117647,2008,12,1,584.50896,2.72,4441
VIAV,VIAVI SOLUTIONS INC,-0.005479452,2009,1,1,784.35945,3.65,4441
VIAV,VIAVI SOLUTIONS INC,-0.239669421,2009,2,1,780.06159,3.63,4441
VIAV,VIAVI SOLUTIONS INC,0.1775362319,2009,3,1,593.56836,2.76,4441
VIAV,VIAVI SOLUTIONS INC,0.4184615385,2009,4,1,698.94825,3.25,4441
VIAV,VIAVI SOLUTIONS INC,0.169197397,2009,5,1,991.43121,4.61,4441
VIAV,VIAVI SOLUTIONS INC,0.0612244898,2009,6,1,1138.12545,5.39,4441
VIAV,VIAVI SOLUTIONS INC,0.0244755245,2009,7,1,1207.8066,5.72,4441
VIAV,VIAVI SOLUTIONS INC,0.1723549488,2009,8,1,1237.3683,5.86,4441
VIAV,VIAVI SOLUTIONS INC,0.0349344978,2009,9,1,1459.84752,6.87,4441
VIAV,VIAVI SOLUTIONS INC,-0.213783404,2009,10,1,1549.64583,7.11,4441
VIAV,VIAVI SOLUTIONS INC,0.3220035778,2009,11,1,1218.35727,5.59,4441
VIAV,VIAVI SOLUTIONS INC,0.1163734777,2009,12,1,1612.01026,7.39,4441
VIAV,VIAVI SOLUTIONS INC,-0.047272727,2010,1,1,1799.6055,8.25,4441
VIAV,VIAVI SOLUTIONS INC,0.3651399491,2010,2,1,1714.53324,7.86,4441
VIAV,VIAVI SOLUTIONS INC,0.1668219944,2010,3,1,2351.77994,10.73,4441
VIAV,VIAVI SOLUTIONS INC,0.0391373802,2010,4,1,2744.10856,12.52,4441
VIAV,VIAVI SOLUTIONS INC,-0.116064566,2010,5,1,2851.50578,13.01,4441
VIAV,VIAVI SOLUTIONS INC,-0.144347826,2010,6,1,2532.4035,11.5,4441
VIAV,VIAVI SOLUTIONS INC,0.1026422764,2010,7,1,2166.85656,9.84,4441
