ticker,conm,ret,year,month,EW,VW,PW,n
VITC,VITACOST.COM INC,,2009,9,1,,,9946
VITC,VITACOST.COM INC,-0.091575092,2009,10,1,300.16896,10.92,9946
VITC,VITACOST.COM INC,-0.193548387,2009,11,1,272.68096,9.92,9946
VITC,VITACOST.COM INC,0.3025,2009,12,1,219.904,8,9946
VITC,VITACOST.COM INC,-0.049904031,2010,1,1,286.42496,10.42,9946
VITC,VITACOST.COM INC,0.1323232323,2010,2,1,272.1312,9.9,9946
VITC,VITACOST.COM INC,0.0749330955,2010,3,1,308.14048,11.21,9946
VITC,VITACOST.COM INC,-0.277178423,2010,4,1,333.4958,12.05,9946
VITC,VITACOST.COM INC,0.1791044776,2010,5,1,241.05796,8.71,9946
VITC,VITACOST.COM INC,-0.124634859,2010,6,1,282.31203,10.27,9946
VITC,VITACOST.COM INC,-0.044493882,2010,7,1,249.53543,8.99,9946
VITC,VITACOST.COM INC,-0.348079162,2010,8,1,238.43263,8.59,9946
VITC,VITACOST.COM INC,0.0732142857,2010,9,1,155.4392,5.6,9946
VITC,VITACOST.COM INC,0.0183028286,2010,10,1,166.81957,6.01,9946
VITC,VITACOST.COM INC,0.0130718954,2010,11,1,169.87284,6.12,9946
VITC,VITACOST.COM INC,-0.080645161,2010,12,1,172.2484,6.2,9946
VITC,VITACOST.COM INC,0,2011,1,1,,5.7,9946
VITC,VITACOST.COM INC,,2011,2,1,,,9946
VITC,VITACOST.COM INC,,2011,3,1,,,9946
VITC,VITACOST.COM INC,,2011,4,1,,,9946
VITC,VITACOST.COM INC,,2011,5,1,,,9946
VITC,VITACOST.COM INC,,2011,6,1,,,9946
VITC,VITACOST.COM INC,0.0950413223,2011,7,1,134.5036,4.84,9946
VITC,VITACOST.COM INC,-0.1,2011,8,1,147.287,5.3,9946
VITC,VITACOST.COM INC,-0.002096436,2011,9,1,132.56307,4.77,9946
VITC,VITACOST.COM INC,0.2899159664,2011,10,1,132.28516,4.76,9946
VITC,VITACOST.COM INC,0.0700325733,2011,11,1,170.63674,6.14,9946
VITC,VITACOST.COM INC,-0.053272451,2011,12,1,183.01392,6.57,9946
VITC,VITACOST.COM INC,0.0610932476,2012,1,1,173.26432,6.22,9946
VITC,VITACOST.COM INC,0.2318181818,2012,2,1,183.8496,6.6,9946
VITC,VITACOST.COM INC,-0.020910209,2012,3,1,229.90014,8.13,9946
VITC,VITACOST.COM INC,0.0527638191,2012,4,1,264.49488,7.96,9946
VITC,VITACOST.COM INC,-0.082338902,2012,5,1,278.45064,8.38,9946
VITC,VITACOST.COM INC,-0.232769831,2012,6,1,255.70788,7.69,9946
VITC,VITACOST.COM INC,0.1186440678,2012,7,1,196.1868,5.9,9946
VITC,VITACOST.COM INC,-0.045454545,2012,8,1,219.4632,6.6,9946
VITC,VITACOST.COM INC,0.0793650794,2012,9,1,209.8026,6.3,9946
VITC,VITACOST.COM INC,-0.058823529,2012,10,1,226.4536,6.8,9946
VITC,VITACOST.COM INC,0.1328125,2012,11,1,213.1328,6.4,9946
VITC,VITACOST.COM INC,-0.064827586,2012,12,1,242.2225,7.25,9946
VITC,VITACOST.COM INC,0.0663716814,2013,1,1,226.5198,6.78,9946
VITC,VITACOST.COM INC,0.0221300138,2013,2,1,241.5543,7.23,9946
VITC,VITACOST.COM INC,-0.02165088,2013,3,1,246.8999,7.39,9946
VITC,VITACOST.COM INC,0.0760719225,2013,4,1,242.24838,7.23,9946
VITC,VITACOST.COM INC,0.0514138817,2013,5,1,261.15126,7.78,9946
VITC,VITACOST.COM INC,0.033007335,2013,6,1,274.88072,8.18,9946
VITC,VITACOST.COM INC,0.0556213018,2013,7,1,283.9538,8.45,9946
VITC,VITACOST.COM INC,-0.076233184,2013,8,1,299.74768,8.92,9946
VITC,VITACOST.COM INC,0.0315533981,2013,9,1,277.07,8.24,9946
VITC,VITACOST.COM INC,-0.069411765,2013,10,1,285.8125,8.5,9946
VITC,VITACOST.COM INC,-0.274336283,2013,11,1,265.97375,7.91,9946
VITC,VITACOST.COM INC,0.0087108014,2013,12,1,193.11656,5.74,9946
VITC,VITACOST.COM INC,-0.046632124,2014,1,1,194.79876,5.79,9946
VITC,VITACOST.COM INC,0.3496376812,2014,2,1,185.71488,5.52,9946
VITC,VITACOST.COM INC,-0.048322148,2014,3,1,253.6725,7.45,9946
VITC,VITACOST.COM INC,-0.059238364,2014,4,1,241.4145,7.09,9946
VITC,VITACOST.COM INC,-0.007496252,2014,5,1,227.14018,6.67,9946
VITC,VITACOST.COM INC,-0.054380665,2014,6,1,225.43748,6.62,9946
VITC,VITACOST.COM INC,0.2747603834,2014,7,1,213.17804,6.26,9946
VITC,VITACOST.COM INC,0.0025062657,2014,8,1,271.75092,7.98,9946
