ticker,conm,ret,year,month,EW,VW,PW,n
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.010050251,2000,1,1,335.912,24.875,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,1.2893401015,2000,2,1,334.6045,24.625,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.233924612,2000,3,1,766.0235,56.375,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.347322721,2000,4,1,587.090875,43.1875,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.332594235,2000,5,1,388.5365,28.1875,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.37437604,2000,6,1,517.7615,37.5625,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.125,2000,7,1,354.521,23.5,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.358662614,2000,8,1,310.205875,20.5625,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.091722595,2000,9,1,421.465125,27.9375,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0344827586,2000,10,1,386.309,25.375,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0785714286,2000,11,1,399.63,26.25,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.346578366,2000,12,1,431.0295,28.3125,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0912162162,2001,1,1,281.644,18.5,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.1176470588,2001,2,1,307.3345,20.1875,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0304709141,2001,3,1,343.4915,22.5625,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0387096774,2001,4,1,366.9315,23.25,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0542443064,2001,5,1,381.1353,24.15,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.2372348782,2001,6,1,406.11246,25.46,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0634920635,2001,7,1,502.4565,31.5,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.277014925,2001,8,1,534.3585,33.5,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.156069364,2001,9,1,388.6099,24.22,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0366927593,2001,10,1,327.9598,20.44,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.050023596,2001,11,1,339.99355,21.19,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0166292135,2001,12,1,357.71325,22.25,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0552608311,2002,1,1,363.66174,22.62,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.162128194,2002,2,1,383.75799,23.87,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0125,2002,3,1,321.54,20,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.1219753086,2002,4,1,325.55925,20.25,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.00528169,2002,5,1,368.99552,22.72,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.028761062,2002,6,1,367.0466,22.6,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.067881549,2002,7,1,356.48995,21.95,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.048634812,2002,8,1,380.68904,23.44,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.160089686,2002,9,1,364.3374,22.3,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.071009076,2002,10,1,306.01074,18.73,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.224137931,2002,11,1,284.2812,17.4,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0821596244,2002,12,1,348.1059,21.3,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.06637744,2003,1,1,376.70615,23.05,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.097630112,2003,2,1,351.70136,21.52,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0304341109,2003,3,1,317.364717,19.419,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.1449275362,2003,4,1,328.14399,20.01,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0912265386,2003,5,1,375.9531,22.91,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0828,2003,6,1,410.975,25,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.3852973772,2003,7,1,445.00373,27.07,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0784,2003,8,1,616.4625,37.5,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.004451039,2003,9,1,670.73784,40.44,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0389965226,2003,10,1,667.75236,40.26,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.099211093,2003,11,1,693.79238,41.83,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0456475584,2003,12,1,632.53416,37.68,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.1203045685,2004,1,1,661.4078,39.4,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.0602628,2004,2,1,740.97818,44.14,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.012536162,2004,3,1,696.32476,41.48,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.2062988281,2004,4,1,698.49088,40.96,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0453349524,2004,5,1,842.58873,49.41,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.079767667,2004,6,1,888.38,51.65,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0504944246,2004,7,1,817.516,47.53,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.024834769,2004,8,1,865.98592,49.93,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0359416718,2004,9,1,844.47936,48.69,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0729579699,2004,10,1,874.83136,50.44,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.1040280857,2004,11,1,940.49736,54.12,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0709623431,2004,12,1,1038.39525,59.75,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0514142835,2005,1,1,1112.08221,63.99,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.000743163,2005,2,1,1169.25912,67.28,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.1143834598,2005,3,1,1179.8865,67.23,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0630005339,2005,4,1,1332.52712,37.46,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0610246107,2005,5,1,1420.89706,39.82,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.047810651,2005,6,1,1507.60675,42.25,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0678598061,2005,7,1,1435.52709,40.23,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.057495345,2005,8,1,1548.14952,42.96,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.059767844,2005,9,1,1459.13813,40.49,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0068295246,2005,10,1,1371.92859,38.07,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0046960605,2005,11,1,1383.67467,38.33,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0997143599,2005,12,1,1391.01971,38.51,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.047461629,2006,1,1,1529.72435,42.35,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.100892414,2006,2,1,1457.12114,40.34,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.1516404742,2006,3,1,1316.78235,36.27,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.1659085468,2006,4,1,1518.00534,41.77,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.025462012,2006,5,1,1769.8554,48.7,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.005899705,2006,6,1,1729.82208,47.46,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.01208139,2006,7,1,1719.61664,47.18,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0006436387,2006,8,1,1722.28611,46.61,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.124571184,2006,9,1,1723.39464,46.64,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.01077639,2006,10,1,1508.70933,40.83,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0420896261,2006,11,1,1495.56092,40.39,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0223330957,2006,12,1,1558.50852,42.09,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.021612828,2007,1,1,1593.31484,43.03,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,-0.043942993,2007,2,1,1558.8788,42.1,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.0409937888,2007,3,1,1511.42775,40.25,6606
VMSI.1,VENTANA MEDICAL SYSTEM INC,0.1596658711,2007,4,1,1413.7479,41.9,6606
