ticker,conm,ret,year,month,EW,VW,PW,n
VNRX,VOLITIONRX LTD,,2011,10,1,,,1545
VNRX,VOLITIONRX LTD,-0.083333333,2011,11,1,24.363,3,1545
VNRX,VOLITIONRX LTD,-0.054545455,2011,12,1,22.33275,2.75,1545
VNRX,VOLITIONRX LTD,0.1461538462,2012,1,1,21.1146,2.6,1545
VNRX,VOLITIONRX LTD,0.0067114094,2012,2,1,25.76508,2.98,1545
VNRX,VOLITIONRX LTD,0,2012,3,1,25.938,3,1545
VNRX,VOLITIONRX LTD,0.1514,2012,4,1,25.938,3,1545
VNRX,VOLITIONRX LTD,0.0132592207,2012,5,1,29.8650132,3.4542,1545
VNRX,VOLITIONRX LTD,-0.002857143,2012,6,1,32.669,3.5,1545
VNRX,VOLITIONRX LTD,0.0028653295,2012,7,1,32.57566,3.49,1545
VNRX,VOLITIONRX LTD,0.2308571429,2012,8,1,32.669,3.5,1545
VNRX,VOLITIONRX LTD,0,2012,9,1,42.558732,4.308,1545
VNRX,VOLITIONRX LTD,-0.025069638,2012,10,1,42.558732,4.308,1545
VNRX,VOLITIONRX LTD,-0.285714286,2012,11,1,41.4918,4.2,1545
VNRX,VOLITIONRX LTD,-0.08,2012,12,1,30.375,3,1545
VNRX,VOLITIONRX LTD,-0.094202899,2013,1,1,27.945,2.76,1545
VNRX,VOLITIONRX LTD,0,2013,2,1,25.3125,2.5,1545
VNRX,VOLITIONRX LTD,-0.08,2013,3,1,25.3125,2.5,1545
VNRX,VOLITIONRX LTD,0.152173913,2013,4,1,23.2875,2.3,1545
VNRX,VOLITIONRX LTD,-0.203773585,2013,5,1,27.6554,2.65,1545
VNRX,VOLITIONRX LTD,0.0426540284,2013,6,1,22.45884,2.11,1545
VNRX,VOLITIONRX LTD,-0.090909091,2013,7,1,23.4168,2.2,1545
VNRX,VOLITIONRX LTD,0.015,2013,8,1,21.884,2,1545
VNRX,VOLITIONRX LTD,0.0295566502,2013,9,1,22.21226,2.03,1545
VNRX,VOLITIONRX LTD,-0.090909091,2013,10,1,22.86878,2.09,1545
VNRX,VOLITIONRX LTD,0,2013,11,1,20.7898,1.9,1545
VNRX,VOLITIONRX LTD,0.3052631579,2013,12,1,21.2686,1.9,1545
VNRX,VOLITIONRX LTD,0.0080645161,2014,1,1,27.76112,2.48,1545
VNRX,VOLITIONRX LTD,0.1,2014,2,1,27.985,2.5,1545
VNRX,VOLITIONRX LTD,0,2014,3,1,30.7835,2.75,1545
VNRX,VOLITIONRX LTD,-0.163636364,2014,4,1,36.597,2.75,1545
VNRX,VOLITIONRX LTD,-0.343478261,2014,5,1,30.6084,2.3,1545
VNRX,VOLITIONRX LTD,0.0132450331,2014,6,1,20.09508,1.51,1545
VNRX,VOLITIONRX LTD,0.2418300654,2014,7,1,20.60604,1.53,1545
VNRX,VOLITIONRX LTD,0.0684210526,2014,8,1,25.5892,1.9,1545
VNRX,VOLITIONRX LTD,1.0935960591,2014,9,1,27.34004,2.03,1545
VNRX,VOLITIONRX LTD,-0.167058824,2014,10,1,57.239,4.25,1545
VNRX,VOLITIONRX LTD,0.0169491525,2014,11,1,47.67672,3.54,1545
VNRX,VOLITIONRX LTD,0.0833333333,2014,12,1,52.0236,3.6,1545
VNRX,VOLITIONRX LTD,0.2820512821,2015,1,1,56.3589,3.9,1545
VNRX,VOLITIONRX LTD,-0.1774,2015,2,1,73.455,5,1545
VNRX,VOLITIONRX LTD,-0.000729395,2015,3,1,70.603758,4.113,1545
VNRX,VOLITIONRX LTD,-0.187347932,2015,4,1,73.71285,4.11,1545
VNRX,VOLITIONRX LTD,0.1317365269,2015,5,1,59.9029,3.34,1545
VNRX,VOLITIONRX LTD,0.044973545,2015,6,1,67.7943,3.78,1545
VNRX,VOLITIONRX LTD,-0.063291139,2015,7,1,70.84325,3.95,1545
VNRX,VOLITIONRX LTD,-0.097297297,2015,8,1,66.3595,3.7,1545
VNRX,VOLITIONRX LTD,0.3413173653,2015,9,1,60.3204,3.34,1545
VNRX,VOLITIONRX LTD,-0.064732143,2015,10,1,80.9088,4.48,1545
VNRX,VOLITIONRX LTD,0,2015,11,1,75.6714,4.19,1545
VNRX,VOLITIONRX LTD,0.0739856802,2015,12,1,77.39768,4.19,1545
VNRX,VOLITIONRX LTD,-0.162222222,2016,1,1,83.124,4.5,1545
VNRX,VOLITIONRX LTD,-0.029177719,2016,2,1,69.63944,3.77,1545
VNRX,VOLITIONRX LTD,-0.030054645,2016,3,1,67.60752,3.66,1545
VNRX,VOLITIONRX LTD,-0.045070423,2016,4,1,79.99215,3.55,1545
VNRX,VOLITIONRX LTD,0.0707964602,2016,5,1,76.38687,3.39,1545
VNRX,VOLITIONRX LTD,-0.132231405,2016,6,1,84.942,3.63,1545
VNRX,VOLITIONRX LTD,0.0920634921,2016,7,1,73.71,3.15,1545
VNRX,VOLITIONRX LTD,0.0494186047,2016,8,1,80.496,3.44,1545
VNRX,VOLITIONRX LTD,0.4681440443,2016,9,1,84.91081,3.61,1545
VNRX,VOLITIONRX LTD,-0.164150943,2016,10,1,125.1277,5.3,1545
VNRX,VOLITIONRX LTD,-0.063205418,2016,11,1,114.16553,4.43,1545
VNRX,VOLITIONRX LTD,0.1012048193,2016,12,1,108.28595,4.15,1545
VNRX,VOLITIONRX LTD,0.0393873085,2017,1,1,119.24501,4.57,1545
VNRX,VOLITIONRX LTD,-0.069473684,2017,2,1,123.94175,4.75,1545
VNRX,VOLITIONRX LTD,-0.090497738,2017,3,1,115.33106,4.42,1545
VNRX,VOLITIONRX LTD,-0.042288557,2017,4,1,105.03456,4.02,1545
VNRX,VOLITIONRX LTD,-0.124675325,2017,5,1,100.5928,3.85,1545
VNRX,VOLITIONRX LTD,0.0504451039,2017,6,1,88.8332,3.37,1545
VNRX,VOLITIONRX LTD,-0.146892655,2017,7,1,93.3144,3.54,1545
VNRX,VOLITIONRX LTD,-0.01986755,2017,8,1,80.04208,3.02,1545
VNRX,VOLITIONRX LTD,-0.111486486,2017,9,1,78.49624,2.96,1545
VNRX,VOLITIONRX LTD,0.1102661597,2017,10,1,69.74497,2.63,1545
VNRX,VOLITIONRX LTD,0.0719178082,2017,11,1,77.43548,2.92,1545
VNRX,VOLITIONRX LTD,-0.060702875,2017,12,1,83.00447,3.13,1545
VNRX,VOLITIONRX LTD,0.2346938776,2018,1,1,77.96586,2.94,1545
VNRX,VOLITIONRX LTD,-0.157024793,2018,2,1,96.26397,3.63,1545
VNRX,VOLITIONRX LTD,-0.215686275,2018,3,1,81.14814,3.06,1545
VNRX,VOLITIONRX LTD,-0.1625,2018,4,1,72.0456,2.4,1545
VNRX,VOLITIONRX LTD,0.1791044776,2018,5,1,60.33819,2.01,1545
VNRX,VOLITIONRX LTD,-0.156118143,2018,6,1,71.17347,2.37,1545
VNRX,VOLITIONRX LTD,-0.14,2018,7,1,60.062,2,1545
VNRX,VOLITIONRX LTD,0.3546511628,2018,8,1,51.65332,1.72,1545
VNRX,VOLITIONRX LTD,0.1115879828,2018,9,1,69.97223,2.33,1545
VNRX,VOLITIONRX LTD,-0.111969112,2018,10,1,90.73029,2.59,1545
VNRX,VOLITIONRX LTD,-0.026086957,2018,11,1,80.5713,2.3,1545
VNRX,VOLITIONRX LTD,-0.191964286,2018,12,1,79.1504,2.24,1545
VNRX,VOLITIONRX LTD,0.4972375691,2019,1,1,63.95635,1.81,1545
VNRX,VOLITIONRX LTD,0.0885608856,2019,2,1,95.75785,2.71,1545
VNRX,VOLITIONRX LTD,0.1016949153,2019,3,1,104.23825,2.95,1545
VNRX,VOLITIONRX LTD,0.0953846154,2019,4,1,122.8955,3.25,1545
VNRX,VOLITIONRX LTD,-0.176966292,2019,5,1,134.61784,3.56,1545
VNRX,VOLITIONRX LTD,0.0716723549,2019,6,1,115.67933,2.93,1545
VNRX,VOLITIONRX LTD,0.3757961783,2019,7,1,123.97034,3.14,1545
VNRX,VOLITIONRX LTD,-0.164351852,2019,8,1,170.55792,4.32,1545
VNRX,VOLITIONRX LTD,0.5567867036,2019,9,1,148.3349,3.61,1545
VNRX,VOLITIONRX LTD,-0.007117438,2019,10,1,230.9258,5.62,1545
VNRX,VOLITIONRX LTD,-0.035842294,2019,11,1,229.2822,5.58,1545
VNRX,VOLITIONRX LTD,-0.118959108,2019,12,1,221.07496,5.38,1545
VNRX,VOLITIONRX LTD,0.0105485232,2020,1,1,194.77608,4.74,1545
VNRX,VOLITIONRX LTD,-0.281837161,2020,2,1,196.83068,4.79,1545
VNRX,VOLITIONRX LTD,-0.095930233,2020,3,1,141.7452,3.44,1545
VNRX,VOLITIONRX LTD,0.3118971061,2020,4,1,128.14755,3.11,1545
VNRX,VOLITIONRX LTD,-0.245098039,2020,5,1,168.12456,4.08,1545
