ticker,conm,ret,year,month,EW,VW,PW,n
VREX,VAREX IMAGING CORP,,2017,1,1,,,4393
VREX,VAREX IMAGING CORP,0.2111304348,2017,2,1,1092.5,28.75,4393
VREX,VAREX IMAGING CORP,-0.035037335,2017,3,1,1323.16,34.82,4393
VREX,VAREX IMAGING CORP,-0.001190476,2017,4,1,1256.2032,33.6,4393
VREX,VAREX IMAGING CORP,0.0235399285,2017,5,1,1254.70772,33.56,4393
VREX,VAREX IMAGING CORP,-0.016011645,2017,6,1,1290.22035,34.35,4393
VREX,VAREX IMAGING CORP,-0.087278107,2017,7,1,1269.5618,33.8,4393
VREX,VAREX IMAGING CORP,-0.010372771,2017,8,1,1158.75685,30.85,4393
VREX,VAREX IMAGING CORP,0.1084179496,2017,9,1,1148.87443,30.53,4393
VREX,VAREX IMAGING CORP,0.0156619385,2017,10,1,1273.43304,33.84,4393
VREX,VAREX IMAGING CORP,0.078556881,2017,11,1,1293.37747,34.37,4393
VREX,VAREX IMAGING CORP,0.0836255732,2017,12,1,1394.98117,37.07,4393
VREX,VAREX IMAGING CORP,0.0572566592,2018,1,1,1515.97563,40.17,4393
VREX,VAREX IMAGING CORP,-0.178478926,2018,2,1,1603.36991,42.47,4393
VREX,VAREX IMAGING CORP,0.0255087418,2018,3,1,1317.37662,34.89,4393
VREX,VAREX IMAGING CORP,0.0058692007,2018,4,1,1350.98124,35.78,4393
VREX,VAREX IMAGING CORP,0.0269519311,2018,5,1,1358.91042,35.99,4393
VREX,VAREX IMAGING CORP,0.003517316,2018,6,1,1402.77984,36.96,4393
VREX,VAREX IMAGING CORP,0.0310056619,2018,7,1,1407.71386,37.09,4393
VREX,VAREX IMAGING CORP,-0.178870293,2018,8,1,1451.36096,38.24,4393
VREX,VAREX IMAGING CORP,-0.087261146,2018,9,1,1193.5768,31.4,4393
VREX,VAREX IMAGING CORP,-0.094207955,2018,10,1,1089.42392,28.66,4393
VREX,VAREX IMAGING CORP,0.0150231125,2018,11,1,986.79152,25.96,4393
VREX,VAREX IMAGING CORP,-0.101328273,2018,12,1,1004.43565,26.35,4393
VREX,VAREX IMAGING CORP,0.203125,2019,1,1,902.65792,23.68,4393
VREX,VAREX IMAGING CORP,0.1035451035,2019,2,1,1086.01031,28.49,4393
VREX,VAREX IMAGING CORP,0.0776081425,2019,3,1,1198.46136,31.44,4393
VREX,VAREX IMAGING CORP,-0.030696576,2019,4,1,1291.47172,33.88,4393
VREX,VAREX IMAGING CORP,-0.187576127,2019,5,1,1251.82796,32.84,4393
VREX,VAREX IMAGING CORP,0.1488005997,2019,6,1,1021.844,26.68,4393
VREX,VAREX IMAGING CORP,0.0371941272,2019,7,1,1173.895,30.65,4393
VREX,VAREX IMAGING CORP,-0.171122995,2019,8,1,1217.557,31.79,4393
VREX,VAREX IMAGING CORP,0.0831119545,2019,9,1,1011.84,26.35,4393
VREX,VAREX IMAGING CORP,0.0515066573,2019,10,1,1095.936,28.54,4393
VREX,VAREX IMAGING CORP,-0.002332556,2019,11,1,1152.384,30.01,4393
VREX,VAREX IMAGING CORP,-0.004342017,2019,12,1,1148.82774,29.94,4393
VREX,VAREX IMAGING CORP,-0.072458906,2020,1,1,1147.50614,29.81,4393
VREX,VAREX IMAGING CORP,-0.160216998,2020,2,1,1064.3591,27.65,4393
VREX,VAREX IMAGING CORP,-0.021963824,2020,3,1,893.97,23.22,4393
VREX,VAREX IMAGING CORP,0.1505944518,2020,4,1,874.335,22.71,4393
VREX,VAREX IMAGING CORP,-0.282051282,2020,5,1,1014.18369,26.13,4393
VREX,VAREX IMAGING CORP,-0.192430704,2020,6,1,733.516,18.76,4393
VREX,VAREX IMAGING CORP,0.0349834983,2020,7,1,592.365,15.15,4393
VREX,VAREX IMAGING CORP,-0.292729592,2020,8,1,613.088,15.68,4393
VREX,VAREX IMAGING CORP,0.1469792606,2020,9,1,433.14213,11.09,4393
VREX,VAREX IMAGING CORP,0.0534591195,2020,10,1,496.80504,12.72,4393
VREX,VAREX IMAGING CORP,0.2447761194,2020,11,1,523.3638,13.4,4393
VREX,VAREX IMAGING CORP,0,2020,12,1,651.50412,16.68,4393
