ticker,conm,ret,year,month,EW,VW,PW,n
VTR,VENTAS INC,-0.134328358,2000,1,1,284.5825,4.1875,7439
VTR,VENTAS INC,-0.068965517,2000,2,1,246.351375,3.625,7439
VTR,VENTAS INC,-0.018518519,2000,3,1,229.361625,3.375,7439
VTR,VENTAS INC,0.1886792453,2000,4,1,225.1141875,3.3125,7439
VTR,VENTAS INC,-0.031746032,2000,5,1,267.568875,3.9375,7439
VTR,VENTAS INC,-0.163934426,2000,6,1,260.8474375,3.8125,7439
VTR,VENTAS INC,0.431372549,2000,7,1,218.0855625,3.1875,7439
VTR,VENTAS INC,0.0821917808,2000,8,1,312.1616875,4.5625,7439
VTR,VENTAS INC,0.1382278481,2000,9,1,337.7990625,4.9375,7439
VTR,VENTAS INC,0,2000,10,1,342.075,5,7439
VTR,VENTAS INC,-0.1,2000,11,1,342.075,5,7439
VTR,VENTAS INC,0.3144444444,2000,12,1,307.881,4.5,7439
VTR,VENTAS INC,0.2622222222,2001,1,1,384.85125,5.625,7439
VTR,VENTAS INC,0.1873239437,2001,2,1,485.7678,7.1,7439
VTR,VENTAS INC,0.0083036773,2001,3,1,576.76374,8.43,7439
VTR,VENTAS INC,0.0647058824,2001,4,1,581.553,8.5,7439
VTR,VENTAS INC,0.0475651189,2001,5,1,606.61217,8.83,7439
VTR,VENTAS INC,0.1837837838,2001,6,1,635.65075,9.25,7439
VTR,VENTAS INC,0.0219178082,2001,7,1,752.47305,10.95,7439
VTR,VENTAS INC,0.0692798541,2001,8,1,753.84743,10.97,7439
VTR,VENTAS INC,-0.056265985,2001,9,1,807.41109,11.73,7439
VTR,VENTAS INC,0.1474654378,2001,10,1,746.83805,10.85,7439
VTR,VENTAS INC,-0.020080321,2001,11,1,856.97085,12.45,7439
VTR,VENTAS INC,-0.036065574,2001,12,1,840.3848,12.2,7439
VTR,VENTAS INC,0.0547826087,2002,1,1,792.1775,11.5,7439
VTR,VENTAS INC,0.0657460841,2002,2,1,835.57505,12.13,7439
VTR,VENTAS INC,-0.003152088,2002,3,1,874.15065,12.69,7439
VTR,VENTAS INC,0.0671936759,2002,4,1,873.6343,12.65,7439
VTR,VENTAS INC,-0.008333333,2002,5,1,932.337,13.5,7439
VTR,VENTAS INC,-0.030418251,2002,6,1,908.2179,13.15,7439
VTR,VENTAS INC,0.0196078431,2002,7,1,880.5915,12.75,7439
VTR,VENTAS INC,0.0182692308,2002,8,1,898.053,13,7439
VTR,VENTAS INC,0.0315384615,2002,9,1,898.053,13,7439
VTR,VENTAS INC,-0.149888143,2002,10,1,926.37621,13.41,7439
VTR,VENTAS INC,0.0964912281,2002,11,1,787.5234,11.4,7439
VTR,VENTAS INC,-0.065,2002,12,1,863.5125,12.5,7439
VTR,VENTAS INC,-0.008733624,2003,1,1,799.77105,11.45,7439
VTR,VENTAS INC,0.0808370044,2003,2,1,792.78615,11.35,7439
VTR,VENTAS INC,-0.033333333,2003,3,1,948.384,12,7439
VTR,VENTAS INC,0.1206896552,2003,4,1,916.9336,11.6,7439
VTR,VENTAS INC,0.1090384615,2003,5,1,1027.598,13,7439
VTR,VENTAS INC,0.0706713781,2003,6,1,1118.6424,14.15,7439
VTR,VENTAS INC,0.0924092409,2003,7,1,1197.6984,15.15,7439
VTR,VENTAS INC,0.0379154079,2003,8,1,1313.88795,16.55,7439
VTR,VENTAS INC,0.0124186872,2003,9,1,1342.46799,16.91,7439
VTR,VENTAS INC,0.0922897196,2003,10,1,1359.13968,17.12,7439
VTR,VENTAS INC,0.0705882353,2003,11,1,1497.9822,18.7,7439
VTR,VENTAS INC,0.1122627373,2003,12,1,1603.72212,20.02,7439
VTR,VENTAS INC,0.1363636364,2004,1,1,1762.332,22,7439
VTR,VENTAS INC,0.058,2004,2,1,2002.65,25,7439
VTR,VENTAS INC,0.0512287335,2004,3,1,2118.8037,26.45,7439
VTR,VENTAS INC,-0.196142649,2004,4,1,2296.44864,27.48,7439
VTR,VENTAS INC,0.0556813038,2004,5,1,1851.8047,22.09,7439
VTR,VENTAS INC,0.0152229846,2004,6,1,1956.33812,23.32,7439
VTR,VENTAS INC,0.0929336188,2004,7,1,1958.85485,23.35,7439
VTR,VENTAS INC,0.0717084639,2004,8,1,2147.45696,25.52,7439
VTR,VENTAS INC,-0.040402194,2004,9,1,2301.4478,27.35,7439
VTR,VENTAS INC,0.037808642,2004,10,1,2181.11616,25.92,7439
VTR,VENTAS INC,0.0074349442,2004,11,1,2271.167,26.9,7439
VTR,VENTAS INC,0.0234317343,2004,12,1,2288.053,27.1,7439
VTR,VENTAS INC,-0.066034294,2005,1,1,2314.2263,27.41,7439
VTR,VENTAS INC,0.00859375,2005,2,1,2161.408,25.6,7439
VTR,VENTAS INC,-0.019364833,2005,3,1,2179.9826,25.82,7439
VTR,VENTAS INC,0.0809294872,2005,4,1,2116.3584,24.96,7439
VTR,VENTAS INC,0.0578206079,2005,5,1,2288.11984,26.98,7439
VTR,VENTAS INC,0.0707778556,2005,6,1,2421.73316,28.54,7439
VTR,VENTAS INC,0.069205298,2005,7,1,2562.9532,30.2,7439
VTR,VENTAS INC,-0.035305048,2005,8,1,3324.80443,32.29,7439
VTR,VENTAS INC,0.0452648475,2005,9,1,3207.42205,31.15,7439
VTR,VENTAS INC,-0.048757764,2005,10,1,3315.5374,32.2,7439
VTR,VENTAS INC,0.0293829579,2005,11,1,3162.17994,30.63,7439
VTR,VENTAS INC,0.0269584523,2005,12,1,3255.12567,31.53,7439
VTR,VENTAS INC,-0.044347283,2006,1,1,3305.71278,32.02,7439
VTR,VENTAS INC,0.0130718954,2006,2,1,3159.1134,30.6,7439
VTR,VENTAS INC,0.0830645161,2006,3,1,3200.409,31,7439
VTR,VENTAS INC,-0.015370705,2006,4,1,3444.44898,33.18,7439
VTR,VENTAS INC,-0.007040098,2006,5,1,3392.68149,32.67,7439
VTR,VENTAS INC,0.0565659679,2006,6,1,3373.76,32.44,7439
VTR,VENTAS INC,0.0546044864,2006,7,1,3523.52,33.88,7439
VTR,VENTAS INC,0.120906801,2006,8,1,3716.42022,35.73,7439
VTR,VENTAS INC,-0.0278402,2006,9,1,4165.7607,40.05,7439
VTR,VENTAS INC,0.0114167099,2006,10,1,4008.69956,38.54,7439
VTR,VENTAS INC,-0.000769625,2006,11,1,4059.10434,38.98,7439
VTR,VENTAS INC,0.0966623877,2006,12,1,4055.98035,38.95,7439
VTR,VENTAS INC,0.0928638941,2007,1,1,4406.90856,42.32,7439
VTR,VENTAS INC,-0.009081081,2007,2,1,4816.15125,46.25,7439
VTR,VENTAS INC,-0.070368754,2007,3,1,4870.30827,45.83,7439
VTR,VENTAS INC,0.0007120817,2007,4,1,4477.11297,42.13,7439
VTR,VENTAS INC,0.004743833,2007,5,1,4482.0296,42.16,7439
VTR,VENTAS INC,-0.13302644,2007,6,1,5633.88,42.36,7439
VTR,VENTAS INC,-0.100137931,2007,7,1,4821.25,36.25,7439
VTR,VENTAS INC,0.1673819742,2007,8,1,4338.46,32.62,7439
VTR,VENTAS INC,0.0996586134,2007,9,1,5079.56736,38.08,7439
VTR,VENTAS INC,0.0359903382,2007,10,1,5522.4288,41.4,7439
VTR,VENTAS INC,0.0165539753,2007,11,1,5723.71339,42.89,7439
VTR,VENTAS INC,0.0487385321,2007,12,1,5820.164,43.6,7439
VTR,VENTAS INC,-0.02320442,2008,1,1,6040.4225,45.25,7439
VTR,VENTAS INC,-0.053846154,2008,2,1,6079.7542,44.2,7439
VTR,VENTAS INC,0.0861429938,2008,3,1,5752.38282,41.82,7439
VTR,VENTAS INC,0.0812736584,2008,4,1,6211.59192,44.91,7439
VTR,VENTAS INC,-0.018533773,2008,5,1,6719.0044,48.56,7439
VTR,VENTAS INC,-0.096044901,2008,6,1,6599.62318,47.66,7439
VTR,VENTAS INC,0.0537937515,2008,7,1,5894.79561,42.57,7439
VTR,VENTAS INC,0.0124832813,2008,8,1,6211.89878,44.86,7439
VTR,VENTAS INC,0.0993505064,2008,9,1,6489.51876,45.42,7439
VTR,VENTAS INC,-0.270335896,2008,10,1,7061.03076,49.42,7439
VTR,VENTAS INC,-0.362728785,2008,11,1,5167.14558,36.06,7439
VTR,VENTAS INC,0.4831375109,2008,12,1,3292.87314,22.98,7439
VTR,VENTAS INC,-0.169794459,2009,1,1,4810.34601,33.57,7439
VTR,VENTAS INC,-0.226049516,2009,2,1,3993.57591,27.87,7439
VTR,VENTAS INC,0.0719749652,2009,3,1,3090.83001,21.57,7439
VTR,VENTAS INC,0.2666961521,2009,4,1,3243.26884,22.61,7439
VTR,VENTAS INC,0.0600558659,2009,5,1,4473.568,28.64,7439
VTR,VENTAS INC,0.000411726,2009,6,1,4751.6436,30.36,7439
VTR,VENTAS INC,0.1821835231,2009,7,1,4673.3886,29.86,7439
VTR,VENTAS INC,0.1107648725,2009,8,1,5524.803,35.3,7439
VTR,VENTAS INC,-0.00503698,2009,9,1,6137.89419,39.21,7439
VTR,VENTAS INC,0.0423376623,2009,10,1,6026.7515,38.5,7439
VTR,VENTAS INC,0.069773237,2009,11,1,6281.91007,40.13,7439
VTR,VENTAS INC,0.0308059632,2009,12,1,6723.09558,42.93,7439
VTR,VENTAS INC,-0.035208048,2010,1,1,6849.94644,43.74,7439
VTR,VENTAS INC,0.0471563981,2010,2,1,6608.7732,42.2,7439
VTR,VENTAS INC,0.0865580448,2010,3,1,6924.83814,44.19,7439
VTR,VENTAS INC,-0.005265375,2010,4,1,7441.25552,47.48,7439
VTR,VENTAS INC,-0.005928435,2010,5,1,7402.07452,47.23,7439
VTR,VENTAS INC,0.0113951012,2010,6,1,7364.24835,46.95,7439
VTR,VENTAS INC,0.0802981896,2010,7,1,7364.24835,46.95,7439
VTR,VENTAS INC,-0.004140379,2010,8,1,7955.58416,50.72,7439
VTR,VENTAS INC,0.0315779054,2010,9,1,7934.16131,50.51,7439
VTR,VENTAS INC,0.0385883265,2010,10,1,8100.66717,51.57,7439
VTR,VENTAS INC,-0.042755788,2010,11,1,8414.06176,53.56,7439
VTR,VENTAS INC,0.0340354983,2010,12,1,8054.31192,51.27,7439
VTR,VENTAS INC,0.0567835366,2011,1,1,8244.39808,52.48,7439
VTR,VENTAS INC,-0.000721241,2011,2,1,8712.54416,55.46,7439
VTR,VENTAS INC,-0.009834536,2011,3,1,9029.08182,55.42,7439
VTR,VENTAS INC,0.0300184162,2011,4,1,8848.8909,54.3,7439
VTR,VENTAS INC,0.0084033613,2011,5,1,9114.52059,55.93,7439
VTR,VENTAS INC,-0.055231028,2011,6,1,10607.712,56.4,7439
VTR,VENTAS INC,0.0293384557,2011,7,1,9913.6968,52.71,7439
VTR,VENTAS INC,-0.012008129,2011,8,1,15574.22947,54.13,7439
VTR,VENTAS INC,-0.067901085,2011,9,1,15397.9616,53.48,7439
VTR,VENTAS INC,0.125708502,2011,10,1,14223.248,49.4,7439
VTR,VENTAS INC,-0.051249775,2011,11,1,16011.50925,55.61,7439
VTR,VENTAS INC,0.0558182335,2011,12,1,15190.71196,52.76,7439
VTR,VENTAS INC,0.0576818429,2012,1,1,15873.08473,55.13,7439
VTR,VENTAS INC,-0.040987824,2012,2,1,16841.21082,58.31,7439
VTR,VENTAS INC,0.0321886624,2012,3,1,16156.1268,55.92,7439
VTR,VENTAS INC,0.0295971979,2012,4,1,16497.0465,57.1,7439
VTR,VENTAS INC,0.0005102909,2012,5,1,16992.01491,58.79,7439
VTR,VENTAS INC,0.0836448487,2012,6,1,17000.68578,58.82,7439
VTR,VENTAS INC,0.0654309252,2012,7,1,18571.73448,63.12,7439
VTR,VENTAS INC,-0.026171004,2012,8,1,19863.96875,67.25,7439
