ticker,conm,ret,year,month,EW,VW,PW,n
WARR,WARRIOR ENERGY SERVICE CORP,-0.0496,2000,1,1,3.0075,0.625,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.2626262626,2000,2,1,2.858328,0.594,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.084,2000,3,1,3.609,0.75,3310
WARR,WARRIOR ENERGY SERVICE CORP,0,2000,4,1,3.912156,0.813,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.38499385,2000,5,1,6.080427,0.813,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.126,2000,6,1,3.7395,0.5,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.278863233,2000,7,1,4.210677,0.563,3310
WARR,WARRIOR ENERGY SERVICE CORP,1.078817734,2000,8,1,3.036474,0.406,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.332938389,2000,9,1,6.312276,0.844,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.111900533,2000,10,1,4.210677,0.563,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.124,2000,11,1,3.7395,0.5,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.143835616,2000,12,1,3.275802,0.438,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.12,2001,1,1,2.804625,0.375,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.4242424242,2001,2,1,2.46807,0.33,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.2127659574,2001,3,1,3.51513,0.47,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.6666666667,2001,4,1,4.26303,0.57,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.368421053,2001,5,1,7.10505,0.95,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.033333333,2001,6,1,7.4976,0.6,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.137931034,2001,7,1,7.24768,0.58,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.14,2001,8,1,6.248,0.5,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.087719298,2001,9,1,7.12272,0.57,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.0576923077,2001,10,1,6.49792,0.52,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.4,2001,11,1,6.8728,0.55,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.2121212121,2001,12,1,4.12368,0.33,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.175,2002,1,1,4.9984,0.4,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.0606060606,2002,2,1,4.12368,0.33,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.3142857143,2002,3,1,4.3736,0.35,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.130434783,2002,4,1,5.74816,0.46,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.025,2002,5,1,4.9984,0.4,3310
WARR,WARRIOR ENERGY SERVICE CORP,0,2002,6,1,5.12336,0.41,3310
WARR,WARRIOR ENERGY SERVICE CORP,,2002,8,1,,,3310
WARR,WARRIOR ENERGY SERVICE CORP,0,2002,9,1,1.2497,0.1,3310
WARR,WARRIOR ENERGY SERVICE CORP,1,2002,10,1,1.2497,0.1,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.45,2002,11,1,2.4994,0.2,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.090909091,2002,12,1,1.375,0.11,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.3,2003,1,1,1.25,0.1,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.9230769231,2003,2,1,1.625,0.13,3310
WARR,WARRIOR ENERGY SERVICE CORP,0,2003,3,1,3.125,0.25,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.08,2003,4,1,3.125,0.25,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.6666666667,2003,5,1,3.375,0.27,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.222222222,2003,6,1,5.625,0.45,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.4285714286,2003,7,1,4.375,0.35,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.36,2003,8,1,6.25,0.5,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.0625,2003,9,1,4,0.32,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.033333333,2003,10,1,3.75,0.3,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.5172413793,2003,11,1,3.625,0.29,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.431818182,2003,12,1,5.5,0.44,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.2,2004,1,1,3.125,0.25,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.2333333333,2004,2,1,3.75,0.3,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.189189189,2004,3,1,4.625,0.37,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.0333333333,2004,4,1,3.75,0.3,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.2903225806,2004,5,1,3.875,0.31,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.375,2004,6,1,5,0.4,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.6,2004,7,1,3.125,0.25,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.5,2004,8,1,1.25,0.1,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.066666667,2004,9,1,1.875,0.15,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.0714285714,2004,10,1,1.75,0.14,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.066666667,2004,11,1,1.875,0.15,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.2142857143,2004,12,1,1.75,0.14,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.4117647059,2005,1,1,2.125,0.17,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.083333333,2005,2,1,3,0.24,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.318181818,2005,3,1,2.75,0.22,3310
WARR,WARRIOR ENERGY SERVICE CORP,2.4,2005,4,1,1.875,0.15,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.019607843,2005,5,1,6.375,0.51,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.08,2005,6,1,6.25,0.5,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.3043478261,2005,7,1,5.75,0.46,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.4166666667,2005,8,1,7.5,0.6,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.035294118,2005,9,1,10.625,0.85,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.0975609756,2005,10,1,10.25,0.82,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.0555555556,2005,11,1,11.25,0.9,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.2610526316,2005,12,1,22.24425,0.95,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.0934891486,2006,1,1,28.04518,11.98,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.08778626,2006,2,1,30.6671,13.1,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.7573221757,2006,3,1,27.97495,11.95,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.4285714286,2006,4,1,49.161,21,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.126,2006,5,1,315.9,30,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.07208238,2006,6,1,287.5023,26.22,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.110563091,2006,7,1,266.77845,24.33,3310
WARR,WARRIOR ENERGY SERVICE CORP,-0.117375231,2006,8,1,237.2826,21.64,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.3481675393,2006,9,1,211.4752,19.1,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.1025242718,2006,10,1,285.207,25.75,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.0232476224,2006,11,1,314.44764,28.39,3310
WARR,WARRIOR ENERGY SERVICE CORP,0.0542512909,2006,12,1,326.4639,29.05,3310
WARR,WARRIOR ENERGY SERVICE CORP,0,2007,1,1,337.81428,30.06,3310
