ticker,conm,ret,year,month,EW,VW,PW,n
WP,WORLDPAY INC,,2012,3,1,,,10422
WP,WORLDPAY INC,0.1472236373,2012,4,1,2500.72459,19.63,10422
WP,WORLDPAY INC,-0.015097691,2012,5,1,2716.83532,22.52,10422
WP,WORLDPAY INC,0.0500450857,2012,6,1,2867.16424,22.18,10422
WP,WORLDPAY INC,-0.031343924,2012,7,1,3010.65172,23.29,10422
WP,WORLDPAY INC,0,2012,8,1,2913.01488,22.56,10422
WP,WORLDPAY INC,-0.044769504,2012,9,1,2913.01488,22.56,10422
WP,WORLDPAY INC,-0.063573086,2012,10,1,2782.60065,21.55,10422
WP,WORLDPAY INC,0.0738354807,2012,11,1,2605.70214,20.18,10422
WP,WORLDPAY INC,-0.057683433,2012,12,1,2788.66896,21.67,10422
WP,WORLDPAY INC,0.0195886386,2013,1,1,2879.9347,20.42,10422
WP,WORLDPAY INC,0.0451488953,2013,2,1,2936.3487,20.82,10422
WP,WORLDPAY INC,0.0909926471,2013,3,1,3095.22944,21.76,10422
WP,WORLDPAY INC,-0.050968829,2013,4,1,3378.41566,23.74,10422
WP,WORLDPAY INC,0.1810918775,2013,5,1,3206.22177,22.53,10422
WP,WORLDPAY INC,0.0372040586,2013,6,1,3715.39464,26.61,10422
WP,WORLDPAY INC,-0.054710145,2013,7,1,3853.6224,27.6,10422
WP,WORLDPAY INC,0.0122652357,2013,8,1,3661.7315,26.09,10422
WP,WORLDPAY INC,0.0579326013,2013,9,1,3838.27094,26.41,10422
WP,WORLDPAY INC,-0.015748031,2013,10,1,4060.63196,27.94,10422
WP,WORLDPAY INC,0.1018181818,2013,11,1,3995.035,27.5,10422
WP,WORLDPAY INC,0.0762376238,2013,12,1,4401.2265,30.3,10422
WP,WORLDPAY INC,-0.069610549,2014,1,1,4736.76555,32.61,10422
WP,WORLDPAY INC,0.0491100857,2014,2,1,4407.0367,30.34,10422
WP,WORLDPAY INC,-0.050581213,2014,3,1,4512.18897,31.83,10422
WP,WORLDPAY INC,0.0175380543,2014,4,1,4251.25894,30.22,10422
WP,WORLDPAY INC,0.007804878,2014,5,1,4325.81775,30.75,10422
WP,WORLDPAY INC,0.0848660858,2014,6,1,4347.12225,30.99,10422
WP,WORLDPAY INC,-0.024985128,2014,7,1,4910.3691,33.62,10422
WP,WORLDPAY INC,-0.04575961,2014,8,1,4787.6829,32.78,10422
WP,WORLDPAY INC,-0.012148338,2014,9,1,4566.94256,31.28,10422
WP,WORLDPAY INC,0.0006472492,2014,10,1,4511.4618,30.9,10422
WP,WORLDPAY INC,0.0912031048,2014,11,1,4518.3396,30.92,10422
WP,WORLDPAY INC,0.005334914,2014,12,1,4930.4262,33.74,10422
WP,WORLDPAY INC,0.0138561321,2015,1,1,4956.7296,33.92,10422
WP,WORLDPAY INC,0.0756033731,2015,2,1,5025.4107,34.39,10422
WP,WORLDPAY INC,0.0191943769,2015,3,1,5380.38045,36.99,10422
WP,WORLDPAY INC,0.0371352785,2015,4,1,5512.3432,37.7,10422
WP,WORLDPAY INC,0.0230179028,2015,5,1,5717.0456,39.1,10422
WP,WORLDPAY INC,-0.04525,2015,6,1,5838.2,40,10422
WP,WORLDPAY INC,0.1521340665,2015,7,1,5574.02145,38.19,10422
WP,WORLDPAY INC,0.0009090909,2015,8,1,6431.876,44,10422
WP,WORLDPAY INC,0.0199818347,2015,9,1,6437.72316,44.04,10422
WP,WORLDPAY INC,0.1164292075,2015,10,1,6566.36068,44.92,10422
WP,WORLDPAY INC,0.0510468594,2015,11,1,7162.423,50.15,10422
WP,WORLDPAY INC,-0.100360463,2015,12,1,7528.0422,52.71,10422
WP,WORLDPAY INC,-0.007802615,2016,1,1,7406.71948,47.42,10422
WP,WORLDPAY INC,0.1060573858,2016,2,1,7348.9277,47.05,10422
WP,WORLDPAY INC,0.0353574174,2016,3,1,8091.59552,52.04,10422
WP,WORLDPAY INC,0.0122494432,2016,4,1,8423.11428,53.88,10422
WP,WORLDPAY INC,-0.014118078,2016,5,1,8526.56544,54.54,10422
WP,WORLDPAY INC,0.0526315789,2016,6,1,8406.18672,53.77,10422
WP,WORLDPAY INC,-0.032332155,2016,7,1,8848.6176,56.6,10422
WP,WORLDPAY INC,-0.018805916,2016,8,1,8570.46437,54.77,10422
WP,WORLDPAY INC,0.0470785262,2016,9,1,8409.28894,53.74,10422
WP,WORLDPAY INC,0.0371423494,2016,10,1,8805.18587,56.27,10422
WP,WORLDPAY INC,-0.033070596,2016,11,1,9120.96768,58.36,10422
WP,WORLDPAY INC,0.0565302144,2016,12,1,9090.25227,56.43,10422
WP,WORLDPAY INC,0.0439449849,2017,1,1,9604.12618,59.62,10422
WP,WORLDPAY INC,0.0504498715,2017,2,1,10026.17936,62.24,10422
WP,WORLDPAY INC,-0.019271949,2017,3,1,10535.0063,65.38,10422
WP,WORLDPAY INC,-0.032439177,2017,4,1,10386.73468,64.12,10422
WP,WORLDPAY INC,0.0109606705,2017,5,1,10052.40324,62.04,10422
WP,WORLDPAY INC,0.0098852041,2017,6,1,10162.58432,62.72,10422
WP,WORLDPAY INC,0.0033154405,2017,7,1,10263.04354,63.34,10422
WP,WORLDPAY INC,0.1123524784,2017,8,1,10327.1292,63.55,10422
WP,WORLDPAY INC,-0.00311218,2017,9,1,11487.40776,70.69,10422
WP,WORLDPAY INC,-0.006669505,2017,10,1,11457.92871,70.47,10422
WP,WORLDPAY INC,0.0714285714,2017,11,1,11375.49,70,10422
WP,WORLDPAY INC,-0.019333333,2017,12,1,12190.425,75,10422
WP,WORLDPAY INC,0.0919102651,2018,1,1,11954.74345,73.55,10422
WP,WORLDPAY INC,0.012078197,2018,2,1,13053.50709,80.31,10422
WP,WORLDPAY INC,0.0118110236,2018,3,1,13211.16992,81.28,10422
WP,WORLDPAY INC,-0.012402724,2018,4,1,24660.32192,82.24,10422
WP,WORLDPAY INC,-0.021546417,2018,5,1,24156.0463,81.22,10422
WP,WORLDPAY INC,0.0290675727,2018,6,1,23635.01376,79.47,10422
WP,WORLDPAY INC,0.0050134507,2018,7,1,24322.02624,81.78,10422
WP,WORLDPAY INC,0.1849373403,2018,8,1,24443.96352,82.19,10422
WP,WORLDPAY INC,0.0398398193,2018,9,1,29388.89335,97.39,10422
WP,WORLDPAY INC,-0.093117409,2018,10,1,30559.74155,101.27,10422
WP,WORLDPAY INC,-0.065657666,2018,11,1,27714.0976,91.84,10422
WP,WORLDPAY INC,-0.109311269,2018,12,1,25902.17755,85.81,10422
WP,WORLDPAY INC,0.0922412665,2019,1,1,23070.77765,76.43,10422
WP,WORLDPAY INC,0.1475802587,2019,2,1,25198.8554,83.48,10422
WP,WORLDPAY INC,0.1847599165,2019,3,1,28783.589,95.8,10422
WP,WORLDPAY INC,0.0326872247,2019,4,1,34142.162,113.5,10422
WP,WORLDPAY INC,0.0377954099,2019,5,1,36477.62736,117.21,10422
WP,WORLDPAY INC,0.0074810917,2019,6,1,37856.55752,121.64,10422
