ticker,conm,ret,year,month,EW,VW,PW,n
WSR,WHITESTONE REIT,,2010,8,1,,,10211
WSR,WHITESTONE REIT,0.037371134,2010,9,1,25.608,11.64,10211
WSR,WHITESTONE REIT,0.1206176962,2010,10,1,26.356,11.98,10211
WSR,WHITESTONE REIT,0.0461365341,2010,11,1,29.326,13.33,10211
WSR,WHITESTONE REIT,0.0754512635,2010,12,1,30.47,13.85,10211
WSR,WHITESTONE REIT,-0.019932432,2011,1,1,32.56,14.8,10211
WSR,WHITESTONE REIT,-0.001040944,2011,2,1,31.702,14.41,10211
WSR,WHITESTONE REIT,0.0073286713,2011,3,1,31.46,14.3,10211
WSR,WHITESTONE REIT,-0.024095375,2011,4,1,31.48156,14.3098,10211
WSR,WHITESTONE REIT,-0.076070656,2011,5,1,30.514,13.87,10211
WSR,WHITESTONE REIT,0.0074764739,2011,6,1,95.526449,12.7199,10211
WSR,WHITESTONE REIT,-0.001965409,2011,7,1,95.5272,12.72,10211
WSR,WHITESTONE REIT,-0.078174603,2011,8,1,94.626,12.6,10211
WSR,WHITESTONE REIT,-0.024739583,2011,9,1,86.5152,11.52,10211
WSR,WHITESTONE REIT,0.0587971275,2011,10,1,83.67254,11.14,10211
WSR,WHITESTONE REIT,0.0294871795,2011,11,1,87.8787,11.7,10211
WSR,WHITESTONE REIT,0.0037656904,2011,12,1,105.55435,11.95,10211
WSR,WHITESTONE REIT,0.0777310924,2012,1,1,105.1246,11.9,10211
WSR,WHITESTONE REIT,0.0239591516,2012,2,1,112.45682,12.73,10211
WSR,WHITESTONE REIT,0.0150695518,2012,3,1,114.3249,12.94,10211
WSR,WHITESTONE REIT,0.067101227,2012,4,1,132.44728,13.04,10211
WSR,WHITESTONE REIT,-0.066931983,2012,5,1,140.38356,13.82,10211
WSR,WHITESTONE REIT,0.086328125,2012,6,1,130.0224,12.8,10211
WSR,WHITESTONE REIT,-0.004706734,2012,7,1,140.28198,13.81,10211
WSR,WHITESTONE REIT,-0.03040293,2012,8,1,138.6567,13.65,10211
WSR,WHITESTONE REIT,0.0117960426,2012,9,1,212.98626,13.14,10211
WSR,WHITESTONE REIT,0.0276515152,2012,10,1,222.2748,13.2,10211
WSR,WHITESTONE REIT,0.0501113586,2012,11,1,226.82133,13.47,10211
WSR,WHITESTONE REIT,0.0067615658,2012,12,1,236.67225,14.05,10211
WSR,WHITESTONE REIT,0.0174377224,2013,1,1,236.67225,14.05,10211
WSR,WHITESTONE REIT,0.0454225352,2013,2,1,239.199,14.2,10211
WSR,WHITESTONE REIT,0.0328813559,2013,3,1,248.46375,14.75,10211
WSR,WHITESTONE REIT,0.0961030383,2013,4,1,257.25888,15.14,10211
WSR,WHITESTONE REIT,0.0003030303,2013,5,1,280.896,16.5,10211
WSR,WHITESTONE REIT,-0.033820841,2013,6,1,279.74127,16.41,10211
WSR,WHITESTONE REIT,0.032677665,2013,7,1,268.66072,15.76,10211
WSR,WHITESTONE REIT,-0.117737948,2013,8,1,275.82046,16.18,10211
WSR,WHITESTONE REIT,0.0454866008,2013,9,1,243.8251,14.18,10211
WSR,WHITESTONE REIT,-0.05736592,2013,10,1,253.28235,14.73,10211
WSR,WHITESTONE REIT,-0.022117476,2013,11,1,294.31997,13.79,10211
WSR,WHITESTONE REIT,-0.001493652,2013,12,1,293.81677,13.39,10211
WSR,WHITESTONE REIT,0.0351533283,2014,1,1,293.37791,13.37,10211
WSR,WHITESTONE REIT,0.0604395604,2014,2,1,299.52195,13.65,10211
WSR,WHITESTONE REIT,0.0107788595,2014,3,1,315.55472,14.38,10211
WSR,WHITESTONE REIT,-0.028393352,2014,4,1,317.04464,14.44,10211
WSR,WHITESTONE REIT,0.0313613685,2014,5,1,308.12686,14.03,10211
WSR,WHITESTONE REIT,0.0507703081,2014,6,1,320.02908,14.28,10211
WSR,WHITESTONE REIT,0.0097250168,2014,7,1,334.14801,14.91,10211
WSR,WHITESTONE REIT,0.0223930481,2014,8,1,335.26856,14.96,10211
WSR,WHITESTONE REIT,-0.076644737,2014,9,1,345.2376,15.2,10211
WSR,WHITESTONE REIT,0.0828550933,2014,10,1,316.61922,13.94,10211
WSR,WHITESTONE REIT,-0.003,2014,11,1,340.695,15,10211
WSR,WHITESTONE REIT,0.0168236878,2014,12,1,339.26866,14.86,10211
WSR,WHITESTONE REIT,0.0509596294,2015,1,1,344.97641,15.11,10211
WSR,WHITESTONE REIT,0.0117909496,2015,2,1,358.21839,15.69,10211
WSR,WHITESTONE REIT,0.0123574144,2015,3,1,360.35208,15.78,10211
WSR,WHITESTONE REIT,-0.074307305,2015,4,1,362.65156,15.88,10211
WSR,WHITESTONE REIT,-0.032653061,2015,5,1,335.7333,14.7,10211
WSR,WHITESTONE REIT,-0.065217391,2015,6,1,325.95899,14.03,10211
WSR,WHITESTONE REIT,0.0003840246,2015,7,1,351.26658,13.02,10211
WSR,WHITESTONE REIT,-0.109435422,2015,8,1,348.83847,12.93,10211
WSR,WHITESTONE REIT,0.0096322242,2015,9,1,308.08876,11.42,10211
WSR,WHITESTONE REIT,0.0884648742,2015,10,1,311.05634,11.53,10211
WSR,WHITESTONE REIT,-0.010113269,2015,11,1,333.44808,12.36,10211
WSR,WHITESTONE REIT,-0.010708402,2015,12,1,327.61004,12.14,10211
WSR,WHITESTONE REIT,-0.074521232,2016,1,1,324.10186,12.01,10211
WSR,WHITESTONE REIT,0.02676951,2016,2,1,297.38572,11.02,10211
WSR,WHITESTONE REIT,0.137254902,2016,3,1,302.83902,11.22,10211
WSR,WHITESTONE REIT,0.0759745426,2016,4,1,345.08421,12.57,10211
WSR,WHITESTONE REIT,0.0256887565,2016,5,1,368.33118,13.43,10211
WSR,WHITESTONE REIT,0.1092836257,2016,6,1,374.9004,13.68,10211
WSR,WHITESTONE REIT,0.0785809019,2016,7,1,413.2674,15.08,10211
WSR,WHITESTONE REIT,-0.098021027,2016,8,1,454.99146,16.17,10211
WSR,WHITESTONE REIT,-0.035541753,2016,9,1,414.24012,14.49,10211
WSR,WHITESTONE REIT,-0.034942363,2016,10,1,396.80144,13.88,10211
WSR,WHITESTONE REIT,0.0154135338,2016,11,1,380.2204,13.3,10211
WSR,WHITESTONE REIT,0.0794183445,2016,12,1,392.28273,13.41,10211
WSR,WHITESTONE REIT,-0.032684284,2017,1,1,420.65814,14.38,10211
WSR,WHITESTONE REIT,0.0248023005,2017,2,1,406.90923,13.91,10211
