ticker,conm,ret,year,month,EW,VW,PW,n
WTBK,WESTERBEKE CORP,0.1282051282,2000,1,1,4.675125,2.4375,1835
WTBK,WESTERBEKE CORP,0,2000,2,1,5.2745,2.75,1835
WTBK,WESTERBEKE CORP,0.3522727273,2000,3,1,5.2745,2.75,1835
WTBK,WESTERBEKE CORP,-0.193277311,2000,4,1,7.1325625,3.71875,1835
WTBK,WESTERBEKE CORP,0,2000,5,1,5.754,3,1835
WTBK,WESTERBEKE CORP,-0.041666667,2000,6,1,5.754,3,1835
WTBK,WESTERBEKE CORP,-0.02173913,2000,7,1,5.51425,2.875,1835
WTBK,WESTERBEKE CORP,-0.066666667,2000,8,1,5.394375,2.8125,1835
WTBK,WESTERBEKE CORP,0.1428571429,2000,9,1,5.03475,2.625,1835
WTBK,WESTERBEKE CORP,0,2000,10,1,5.754,3,1835
WTBK,WESTERBEKE CORP,0.0416666667,2000,11,1,5.754,3,1835
WTBK,WESTERBEKE CORP,-0.04,2000,12,1,5.99375,3.125,1835
WTBK,WESTERBEKE CORP,-0.125,2001,1,1,5.754,3,1835
WTBK,WESTERBEKE CORP,0.0476190476,2001,2,1,5.061,2.625,1835
WTBK,WESTERBEKE CORP,-0.272727273,2001,3,1,5.35425,2.75,1835
WTBK,WESTERBEKE CORP,0.06,2001,4,1,3.894,2,1835
WTBK,WESTERBEKE CORP,0.0613207547,2001,5,1,4.12764,2.12,1835
WTBK,WESTERBEKE CORP,-0.088888889,2001,6,1,4.38075,2.25,1835
WTBK,WESTERBEKE CORP,0,2001,7,1,3.99135,2.05,1835
WTBK,WESTERBEKE CORP,0.0243902439,2001,8,1,3.99135,2.05,1835
WTBK,WESTERBEKE CORP,0.119047619,2001,9,1,4.0887,2.1,1835
WTBK,WESTERBEKE CORP,-0.25106383,2001,10,1,4.57545,2.35,1835
WTBK,WESTERBEKE CORP,-0.176136364,2001,11,1,3.42672,1.76,1835
WTBK,WESTERBEKE CORP,0.0689655172,2001,12,1,2.82315,1.45,1835
WTBK,WESTERBEKE CORP,0.0322580645,2002,1,1,3.01785,1.55,1835
WTBK,WESTERBEKE CORP,-0.09375,2002,2,1,3.096,1.6,1835
WTBK,WESTERBEKE CORP,0.1724137931,2002,3,1,2.80575,1.45,1835
WTBK,WESTERBEKE CORP,-0.117647059,2002,4,1,3.3235,1.7,1835
WTBK,WESTERBEKE CORP,-0.18,2002,5,1,2.9325,1.5,1835
WTBK,WESTERBEKE CORP,-0.130081301,2002,6,1,2.40465,1.23,1835
WTBK,WESTERBEKE CORP,-0.018691589,2002,7,1,2.09185,1.07,1835
WTBK,WESTERBEKE CORP,0.5523809524,2002,8,1,2.05275,1.05,1835
WTBK,WESTERBEKE CORP,-0.171779141,2002,9,1,3.18665,1.63,1835
WTBK,WESTERBEKE CORP,0.5111111111,2002,10,1,2.63925,1.35,1835
WTBK,WESTERBEKE CORP,-0.029411765,2002,11,1,3.9882,2.04,1835
WTBK,WESTERBEKE CORP,0.0101010101,2002,12,1,3.8709,1.98,1835
WTBK,WESTERBEKE CORP,0.15,2003,1,1,3.91,2,1835
WTBK,WESTERBEKE CORP,-0.260869565,2003,2,1,4.4965,2.3,1835
WTBK,WESTERBEKE CORP,0.0588235294,2003,3,1,3.3235,1.7,1835
WTBK,WESTERBEKE CORP,-0.022222222,2003,4,1,3.519,1.8,1835
WTBK,WESTERBEKE CORP,0.6761363636,2003,5,1,3.4408,1.76,1835
WTBK,WESTERBEKE CORP,0.0847457627,2003,6,1,5.76725,2.95,1835
WTBK,WESTERBEKE CORP,0.0253125,2003,7,1,6.256,3.2,1835
WTBK,WESTERBEKE CORP,-0.042974703,2003,8,1,6.414355,3.281,1835
WTBK,WESTERBEKE CORP,-0.041401274,2003,9,1,6.1387,3.14,1835
WTBK,WESTERBEKE CORP,-0.009966777,2003,10,1,5.88455,3.01,1835
WTBK,WESTERBEKE CORP,-0.003355705,2003,11,1,5.8259,2.98,1835
WTBK,WESTERBEKE CORP,0.0942760943,2003,12,1,5.80635,2.97,1835
WTBK,WESTERBEKE CORP,-0.003076923,2004,1,1,6.35375,3.25,1835
WTBK,WESTERBEKE CORP,-0.027777778,2004,2,1,6.3342,3.24,1835
WTBK,WESTERBEKE CORP,0.0349206349,2004,3,1,6.15825,3.15,1835
WTBK,WESTERBEKE CORP,0,2004,4,1,,3.15,1835
