ticker,conm,ret,year,month,EW,VW,PW,n
XICO,XICOR INC,0.3698630137,2000,1,1,279.27975,13.6875,1684
XICO,XICOR INC,0.3066666667,2000,2,1,382.575,18.75,1684
XICO,XICOR INC,-0.423469388,2000,3,1,499.898,24.5,1684
XICO,XICOR INC,0.2654867257,2000,4,1,298.1505,14.125,1684
XICO,XICOR INC,-0.618881119,2000,5,1,377.3055,17.875,1684
XICO,XICOR INC,-0.018348624,2000,6,1,143.79825,6.8125,1684
XICO,XICOR INC,0.2897196262,2000,7,1,141.21325,6.6875,1684
XICO,XICOR INC,0.384057971,2000,8,1,182.1255,8.625,1684
XICO,XICOR INC,-0.308900524,2000,9,1,252.07225,11.9375,1684
XICO,XICOR INC,-0.162878788,2000,10,1,175.0155,8.25,1684
XICO,XICOR INC,-0.389140271,2000,11,1,146.5091875,6.90625,1684
XICO,XICOR INC,-0.2,2000,12,1,89.4965625,4.21875,1684
XICO,XICOR INC,0.6481481481,2001,1,1,71.59725,3.375,1684
XICO,XICOR INC,-0.314606742,2001,2,1,118.002875,5.5625,1684
XICO,XICOR INC,-0.06557377,2001,3,1,80.878375,3.8125,1684
XICO,XICOR INC,0.4007017544,2001,4,1,75.574875,3.5625,1684
XICO,XICOR INC,0.3987975952,2001,5,1,107.31494,4.99,1684
XICO,XICOR INC,0.5859598854,2001,6,1,150.11188,6.98,1684
XICO,XICOR INC,-0.182475158,2001,7,1,238.07142,11.07,1684
XICO,XICOR INC,0.173480663,2001,8,1,194.6293,9.05,1684
XICO,XICOR INC,-0.251412429,2001,9,1,231.2505,10.62,1684
XICO,XICOR INC,0.2314465409,2001,10,1,173.11125,7.95,1684
XICO,XICOR INC,0.1307456588,2001,11,1,213.17725,9.79,1684
XICO,XICOR INC,0.0027100271,2001,12,1,243.36288,11.07,1684
XICO,XICOR INC,-0.216216216,2002,1,1,244.0224,11.1,1684
XICO,XICOR INC,-0.045977011,2002,2,1,191.2608,8.7,1684
XICO,XICOR INC,0.2807228916,2002,3,1,182.4672,8.3,1684
XICO,XICOR INC,-0.059266228,2002,4,1,233.68992,10.63,1684
XICO,XICOR INC,-0.255,2002,5,1,224.47,10,1684
XICO,XICOR INC,-0.457718121,2002,6,1,167.23015,7.45,1684
XICO,XICOR INC,0.051980198,2002,7,1,95.33996,4.04,1684
XICO,XICOR INC,0.0729411765,2002,8,1,100.29575,4.25,1684
XICO,XICOR INC,-0.208333333,2002,9,1,107.66616,4.56,1684
XICO,XICOR INC,-0.182825485,2002,10,1,85.23571,3.61,1684
XICO,XICOR INC,0.4644067797,2002,11,1,69.65245,2.95,1684
XICO,XICOR INC,-0.136574074,2002,12,1,102.0816,4.32,1684
XICO,XICOR INC,0.0616621984,2003,1,1,88.1399,3.73,1684
XICO,XICOR INC,-0.090909091,2003,2,1,93.5748,3.96,1684
XICO,XICOR INC,0.1277777778,2003,3,1,85.068,3.6,1684
XICO,XICOR INC,0.4655172414,2003,4,1,95.9378,4.06,1684
XICO,XICOR INC,0.0890756303,2003,5,1,143.038,5.95,1684
XICO,XICOR INC,-0.038580247,2003,6,1,173.73528,6.48,1684
XICO,XICOR INC,0.4109149278,2003,7,1,167.03253,6.23,1684
XICO,XICOR INC,0.1774744027,2003,8,1,237.47943,8.79,1684
XICO,XICOR INC,-0.102415459,2003,9,1,280.9611,10.35,1684
XICO,XICOR INC,0.2185145318,2003,10,1,252.18634,9.29,1684
XICO,XICOR INC,0.1510600707,2003,11,1,309.02468,11.32,1684
XICO,XICOR INC,-0.122793553,2003,12,1,370.42987,13.03,1684
XICO,XICOR INC,0.2449693788,2004,1,1,324.94347,11.43,1684
XICO,XICOR INC,-0.02037948,2004,2,1,409.95207,14.23,1684
XICO,XICOR INC,0.0918220947,2004,3,1,405.91886,13.94,1684
XICO,XICOR INC,-0.037450723,2004,4,1,444.30224,15.22,1684
XICO,XICOR INC,0.0273037543,2004,5,1,427.6628,14.65,1684
XICO,XICOR INC,0.0053156146,2004,6,1,442.75595,15.05,1684
XICO,XICOR INC,-0.101123596,2004,7,1,445.10947,15.13,1684
XICO,XICOR INC,0,2004,8,1,400.0984,13.6,1684
