ticker,conm,ret,year,month,EW,VW,PW,n
XLG.1,EXCEL LEGACY CORP,0.1320754717,2000,1,1,122.01925,3.3125,7350
XLG.1,EXCEL LEGACY CORP,0,2000,2,1,138.135,3.75,7350
XLG.1,EXCEL LEGACY CORP,-0.1,2000,3,1,138.135,3.75,7350
XLG.1,EXCEL LEGACY CORP,-0.148148148,2000,4,1,124.3215,3.375,7350
XLG.1,EXCEL LEGACY CORP,0,2000,5,1,105.9035,2.875,7350
XLG.1,EXCEL LEGACY CORP,-0.065217391,2000,6,1,120.643625,2.875,7350
XLG.1,EXCEL LEGACY CORP,-0.023255814,2000,7,1,112.7755625,2.6875,7350
XLG.1,EXCEL LEGACY CORP,0.0476190476,2000,8,1,110.152875,2.625,7350
XLG.1,EXCEL LEGACY CORP,-0.136363636,2000,9,1,115.39825,2.75,7350
XLG.1,EXCEL LEGACY CORP,0.0263157895,2000,10,1,99.662125,2.375,7350
XLG.1,EXCEL LEGACY CORP,-0.205128205,2000,11,1,102.2848125,2.4375,7350
XLG.1,EXCEL LEGACY CORP,0.2258064516,2000,12,1,81.3033125,1.9375,7350
XLG.1,EXCEL LEGACY CORP,0.0905263158,2001,1,1,99.662125,2.375,7350
XLG.1,EXCEL LEGACY CORP,-0.092664093,2001,2,1,108.68417,2.59,7350
XLG.1,EXCEL LEGACY CORP,0.0127659574,2001,3,1,98.61305,2.35,7350
XLG.1,EXCEL LEGACY CORP,-0.075630252,2001,4,1,146.46996,2.38,7350
XLG.1,EXCEL LEGACY CORP,-0.059090909,2001,5,1,135.3902,2.2,7350
XLG.1,EXCEL LEGACY CORP,0,2001,6,1,127.38987,2.07,7350
XLG.1,EXCEL LEGACY CORP,-0.019323671,2001,7,1,127.38987,2.07,7350
XLG.1,EXCEL LEGACY CORP,0.0098522167,2001,8,1,124.92823,2.03,7350
XLG.1,EXCEL LEGACY CORP,0.2195121951,2001,9,1,126.15905,2.05,7350
XLG.1,EXCEL LEGACY CORP,0,2001,10,1,153.8525,2.5,7350
