ticker,conm,ret,year,month,EW,VW,PW,n
ADRA,INVESCO BLDRS ASIA 50 ADR,,2002,11,1,,,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.052163783,2002,12,1,,49.7,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.024893617,2003,1,1,,47,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.00850971,2003,2,1,,45.83,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.051008583,2003,3,1,,45.44,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.002320186,2003,4,1,,43.1,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0930232558,2003,5,1,,43,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0742997872,2003,6,1,,47,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0410603947,2003,7,1,,50.17,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0687344438,2003,8,1,,52.23,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.034716589,2003,9,1,,55.82,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0737790094,2003,10,1,,57.74,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.030806452,2003,11,1,,62,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0953083708,2003,12,1,,60.09,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.008549618,2004,1,1,,65.5,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0082999692,2004,2,1,,64.94,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.060492677,2004,3,1,,65.479,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.053715438,2004,4,1,,69.44,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.028610562,2004,5,1,,65.71,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0376763277,2004,6,1,3.1915,63.83,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.045239867,2004,7,1,3.29245,65.849,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0022268172,2004,8,1,3.1435,62.87,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.005940327,2004,9,1,3.1505,63.01,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0294117647,2004,10,1,3.128,62.56,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0423913043,2004,11,1,3.22,64.4,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0570904216,2004,12,1,3.3565,67.13,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.025081479,2005,1,1,3.5285,70.57,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0328343023,2005,2,1,3.44,68.8,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.03800152,2005,3,1,3.55295,71.059,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.030071445,2005,4,1,3.4152,68.304,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0101132075,2005,5,1,3.3125,66.25,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0155091154,2005,6,1,3.346,66.92,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0231351031,2005,7,1,3.3715,67.43,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0388607044,2005,8,1,3.4495,68.99,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0935962942,2005,9,1,17.91775,71.671,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.030602134,2005,10,1,19.553375,78.2135,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0385122659,2005,11,1,18.955,75.82,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0470396241,2005,12,1,19.685,78.74,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0693817827,2006,1,1,20.5025,82.01,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.009122007,2006,2,1,21.925,87.7,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0372324511,2006,3,1,43.45,86.9,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0710637353,2006,4,1,45.03,90.06,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.080447854,2006,5,1,106.106,96.46,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.006909808,2006,6,1,97.57,88.7,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0057051575,2006,7,1,96.404,87.64,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0136147039,2006,8,1,96.954,29.38,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.010725319,2006,9,1,98.274,29.78,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0490797546,2006,10,1,96.822,29.34,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0227420403,2006,11,1,101.574,30.78,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0528109911,2006,12,1,103.884,31.48,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.004242424,2007,1,1,108.9,33,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0109555691,2007,2,1,121.582,32.86,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.004731186,2007,3,1,122.914,33.22,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.005146836,2007,4,1,122.211,33.03,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0471698113,2007,5,1,121.582,32.86,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0170717815,2007,6,1,127.317,34.41,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.000862317,2007,7,1,128.723,34.79,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.023058113,2007,8,1,128.612,34.76,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0609809032,2007,9,1,125.64645,33.9585,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.086447295,2007,10,1,132.682,35.86,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.07639117,2007,11,1,144.152,38.96,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.039196527,2007,12,1,129.54168,35.9838,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.063705435,2008,1,1,123.192,34.22,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.006554307,2008,2,1,118.548,32.04,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.057068803,2008,3,1,108.222,31.83,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.1254587921,2008,4,1,98.901,29.97,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0062259117,2008,5,1,111.309,33.73,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.079550383,2008,6,1,115.396,33.94,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.041170794,2008,7,1,105.706,31.09,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.043606172,2008,8,1,98.373,29.81,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.101803922,2008,9,1,94.08333,28.5101,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.218540434,2008,10,1,78.585,25.35,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.078243311,2008,11,1,59.43,19.81,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0917738226,2008,12,1,52.954,18.26,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.066808597,2009,1,1,55.2384,19.728,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.101032048,2009,2,1,51.548,18.41,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.1104338369,2009,3,1,44.685,16.55,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.1442348382,2009,4,1,44.899,17.9596,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.095863747,2009,5,1,51.375,20.55,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.022150089,2009,6,1,60.804,22.52,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.1149908592,2009,7,1,61.264,21.88,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.008107887,2009,8,1,65.8692,24.396,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0145159557,2009,9,1,62.91532,24.1982,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.021054098,2009,10,1,63.44988,24.4038,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0410213478,2009,11,1,66.892,23.89,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.037632891,2009,12,1,69.636,24.87,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.046111975,2010,1,1,61.728,25.72,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0230700253,2010,2,1,58.8816,24.534,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0643884462,2010,3,1,57.73,25.1,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.019047619,2010,4,1,56.007,26.67,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.08263512,2010,5,1,54.9402,26.162,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.041346494,2010,6,1,48.0002,24.0001,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0793116595,2010,7,1,43.35819,22.8201,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.032074706,2010,8,1,46.797,24.63,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0862181208,2010,9,1,42.912,23.84,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0283786936,2010,10,1,46.296,25.72,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0098336856,2010,11,1,47.60982,26.4499,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0771546237,2010,12,1,48.078,26.71,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.012868648,2011,1,1,51.58584,28.6588,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0325203252,2011,2,1,50.922,28.29,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.036714824,2011,3,1,49.657,29.21,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0198931624,2011,4,1,44.928,28.08,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.025790367,2011,5,1,45.82176,28.6386,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0123240143,2011,6,1,44.64,27.9,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.004396396,2011,7,1,41.625,27.75,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.094035037,2011,8,1,41.442,27.628,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.096013584,2011,9,1,37.545,25.03,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0768886902,2011,10,1,31.318,22.37,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.01909506,2011,11,1,33.726,24.09,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.04213923,2011,12,1,33.082,23.63,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.1061078912,2012,1,1,29.159,22.43,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0475654978,2012,2,1,32.253,24.81,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.013331999,2012,3,1,33.78713,25.9901,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.015348859,2012,4,1,32.0545,25.6436,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.113271287,2012,5,1,30.3,25.25,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0582012425,2012,6,1,26.86788,22.3899,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.005106383,2012,7,1,28.2,23.5,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.000855432,2012,8,1,26.887,23.38,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0257688034,2012,9,1,26.91,23.4,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0037878788,2012,10,1,26.136,23.76,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0268385744,2012,11,1,26.235,23.85,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0690074765,2012,12,1,26.93911,24.4901,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0316996497,2013,1,1,28.79811,26.1801,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0042058497,2013,2,1,29.711,27.01,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.003819552,2013,3,1,28.47978,27.1236,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0604737232,2013,4,1,28.371,27.02,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.048823899,2013,5,1,30.0867,28.654,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.01795854,2013,6,1,28.61775,27.255,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0466516178,2013,7,1,26.58,26.58,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.014557872,2013,8,1,27.82,27.82,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0673051249,2013,9,1,27.415,27.415,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0162608621,2013,10,1,29.0575,29.0575,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.002031832,2013,11,1,29.53,29.53,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.002707672,2013,12,1,29.59,29.59,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.066189014,2014,1,1,33.7065,29.31,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0365363537,2014,2,1,31.4755,27.37,346
ADRA,INVESCO BLDRS ASIA 50 ADR,-0.011855129,2014,3,1,26.9515,28.37,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0025017934,2014,4,1,26.618905,28.0199,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0242079032,2014,5,1,26.6855,28.09,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0436517205,2014,6,1,27.3315,28.77,346
ADRA,INVESCO BLDRS ASIA 50 ADR,0.0113826582,2014,7,1,28.3765,29.87,346
