ticker,conm,ret,year,month,EW,VW,PW,n
BSCS,INVESCO BULTSHR 2028 CRP ETF,,2018,8,1,,,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,-0.001957278,2018,9,1,6.039,20.13,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,-0.01945,2018,10,1,6,20,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,-0.003208133,2018,11,1,5.86977,19.5659,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.016967639,2018,12,1,5.8311,19.437,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.030868662,2019,1,1,8.860005,19.6889,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,-0.000174766,2019,2,1,15.191775,20.2557,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0287270926,2019,3,1,15.1425,20.19,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0063130435,2019,4,1,15.525,20.7,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0179870902,2019,5,1,18.69741,20.7749,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0263304884,2019,6,1,22.1445,21.09,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0022474513,2019,7,1,32.37,21.58,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0308805936,2019,8,1,35.58225,21.565,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,-0.006930988,2019,9,1,36.5805,22.17,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0061512184,2019,10,1,42.81225,21.955,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,-0.000389962,2019,11,1,46.25838,22.0278,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.005370674,2019,12,1,46.116,21.96,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0227753804,2020,1,1,72.6495,22.015,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0082756011,2020,2,1,101.07,22.46,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,-0.083459465,2020,3,1,108.45792,22.5954,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0629725019,2020,4,1,99.1488,20.656,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0272042913,2020,5,1,118.287,21.905,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0239532294,2020,6,1,114.495,22.45,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0243387097,2020,7,1,123.876,22.94,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,-0.005627292,2020,8,1,126.63,23.45,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,-0.004533734,2020,9,1,129.1485,23.27,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,-0.001856242,2020,10,1,135.23211,23.1166,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0213459283,2020,11,1,141.60375,23.025,237
BSCS,INVESCO BULTSHR 2028 CRP ETF,0.0081499787,2020,12,1,158.4225,23.47,237
