ticker,conm,ret,year,month,EW,VW,PW,n
BSMO,INVESCO BUL 2024 MUN BND ETF,,2019,9,1,,,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.0011554135,2019,10,1,10.012,25.03,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.0014534036,2019,11,1,10.01236,25.0309,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.004284345,2019,12,1,10.016,25.04,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.0114709395,2020,1,1,10.048,25.12,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.0053853428,2020,2,1,10.152,25.38,280
BSMO,INVESCO BUL 2024 MUN BND ETF,-0.02556022,2020,3,1,10.196,25.49,280
BSMO,INVESCO BUL 2024 MUN BND ETF,-0.004528013,2020,4,1,9.924,24.81,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.0291143089,2020,5,1,9.868,24.67,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.0046163249,2020,6,1,10.144,25.36,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.00541611,2020,7,1,10.18,25.45,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.0031619718,2020,8,1,12.78,25.56,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.0007607338,2020,9,1,12.81,25.62,280
BSMO,INVESCO BUL 2024 MUN BND ETF,-0.001142857,2020,10,1,15.372,25.62,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.0034986312,2020,11,1,17.899,25.57,280
BSMO,INVESCO BUL 2024 MUN BND ETF,0.0035315913,2020,12,1,17.948,25.64,280
