ticker,conm,ret,year,month,EW,VW,PW,n
DALI,FIRST TRT EX TRADED FUND VI,,2018,5,1,,,231
DALI,FIRST TRT EX TRADED FUND VI,-0.002590932,2018,6,1,29.1015,20.07,231
DALI,FIRST TRT EX TRADED FUND VI,0.012,2018,7,1,33,20,231
DALI,FIRST TRT EX TRADED FUND VI,0.0570652174,2018,8,1,36.432,20.24,231
DALI,FIRST TRT EX TRADED FUND VI,-0.013175976,2018,9,1,41.72025,21.395,231
DALI,FIRST TRT EX TRADED FUND VI,-0.121487975,2018,10,1,49.590875,21.1025,231
DALI,FIRST TRT EX TRADED FUND VI,0.0119371265,2018,11,1,47.27394,18.5388,231
DALI,FIRST TRT EX TRADED FUND VI,-0.097552785,2018,12,1,49.714265,18.7601,231
DALI,FIRST TRT EX TRADED FUND VI,0.1161370348,2019,1,1,41.4785,16.93,231
DALI,FIRST TRT EX TRADED FUND VI,0.0552386194,2019,2,1,56.6886,18.8962,231
DALI,FIRST TRT EX TRADED FUND VI,0.0074122367,2019,3,1,59.82,19.94,231
DALI,FIRST TRT EX TRADED FUND VI,0.0213446215,2019,4,1,62.248,20.08,231
DALI,FIRST TRT EX TRADED FUND VI,-0.065270179,2019,5,1,67.67838,20.5086,231
DALI,FIRST TRT EX TRADED FUND VI,0.0627282212,2019,6,1,64.2195,19.17,231
DALI,FIRST TRT EX TRADED FUND VI,0.0142366225,2019,7,1,67.221,20.37,231
DALI,FIRST TRT EX TRADED FUND VI,-0.03500484,2019,8,1,69.211,20.66,231
DALI,FIRST TRT EX TRADED FUND VI,-0.000270856,2019,9,1,67.78512,19.9368,231
DALI,FIRST TRT EX TRADED FUND VI,0.006430367,2019,10,1,70.6095,19.89,231
DALI,FIRST TRT EX TRADED FUND VI,0.0330753975,2019,11,1,72.06444,20.0179,231
DALI,FIRST TRT EX TRADED FUND VI,0.0238152805,2019,12,1,72.38,20.68,231
DALI,FIRST TRT EX TRADED FUND VI,0.0052058684,2020,1,1,75.0115,21.13,231
DALI,FIRST TRT EX TRADED FUND VI,-0.076741996,2020,2,1,75.402,21.24,231
DALI,FIRST TRT EX TRADED FUND VI,-0.157210607,2020,3,1,71.5765,19.61,231
DALI,FIRST TRT EX TRADED FUND VI,0.0282669671,2020,4,1,17.332245,16.5069,231
DALI,FIRST TRT EX TRADED FUND VI,0.0145226382,2020,5,1,15.27615,16.9735,231
DALI,FIRST TRT EX TRADED FUND VI,0.0105574913,2020,6,1,14.637,17.22,231
DALI,FIRST TRT EX TRADED FUND VI,0.0295309786,2020,7,1,12.089,17.27,231
DALI,FIRST TRT EX TRADED FUND VI,0.0028121485,2020,8,1,11.557,17.78,231
DALI,FIRST TRT EX TRADED FUND VI,0.0221312395,2020,9,1,11.5895,17.83,231
DALI,FIRST TRT EX TRADED FUND VI,0.0187741579,2020,10,1,11.7715,18.11,231
DALI,FIRST TRT EX TRADED FUND VI,0.1143631436,2020,11,1,11.9925,18.45,231
DALI,FIRST TRT EX TRADED FUND VI,0.0576994163,2020,12,1,13.364,20.56,231
