ticker,conm,ret,year,month,EW,VW,PW,n
DINT,DAVIS SELECT INTRNTNL ETF,,2018,3,1,,,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0040733198,2018,4,1,9.82,19.64,228
DINT,DAVIS SELECT INTRNTNL ETF,0.006658215,2018,5,1,24.65,19.72,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.031801444,2018,6,1,36.724905,19.8513,228
DINT,DAVIS SELECT INTRNTNL ETF,0.005723205,2018,7,1,42.284,19.22,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.039317124,2018,8,1,49.2915,19.33,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.016908993,2018,9,1,54.7815,18.57,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.10569128,2018,10,1,59.332,18.256,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.009714268,2018,11,1,59.591725,16.3265,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.063483817,2018,12,1,65.479995,16.1679,228
DINT,DAVIS SELECT INTRNTNL ETF,0.1267325419,2019,1,1,67.8555,15.079,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0537433785,2019,2,1,93.445,16.99,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0005529769,2019,3,1,109.20891,17.9031,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0534304695,2019,4,1,111.0606,17.913,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.113867971,2019,5,1,119.825135,18.8701,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0667587642,2019,6,1,106.18089,16.7214,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.011083267,2019,7,1,117.72882,17.8377,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.025816327,2019,8,1,119.07,17.64,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0125053827,2019,9,1,116.85528,17.1846,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0306445588,2019,10,1,121.7965,17.3995,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0224338778,2019,11,1,131.805345,17.9327,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0643577857,2019,12,1,136.59575,18.335,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.03022339,2020,1,1,142.6875,19.025,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.043360434,2020,2,1,151.29,18.45,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.155665722,2020,3,1,148.26,17.65,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0889112565,2020,4,1,120.71025,14.9025,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0531505161,2020,5,1,176.87975,16.2275,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0684610884,2020,6,1,186.281,17.09,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0498357065,2020,7,1,201.773,18.26,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0745957225,2020,8,1,212.787,19.17,228
DINT,DAVIS SELECT INTRNTNL ETF,-0.027669903,2020,9,1,231.75,20.6,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0294907639,2020,10,1,226.339,20.03,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0955011227,2020,11,1,236.107015,20.6207,228
DINT,DAVIS SELECT INTRNTNL ETF,0.0340017707,2020,12,1,264.303,22.59,228
