ticker,conm,ret,year,month,EW,VW,PW,n
DWEQ,ADVISORSHARES DOR WR ALP EQL,,2020,2,1,,,289
DWEQ,ADVISORSHARES DOR WR ALP EQL,-0.228264626,2020,3,1,31.8229225,24.0173,289
DWEQ,ADVISORSHARES DOR WR ALP EQL,-0.00476396,2020,4,1,23.16875,18.535,289
DWEQ,ADVISORSHARES DOR WR ALP EQL,0.0657732819,2020,5,1,23.058375,18.4467,289
DWEQ,ADVISORSHARES DOR WR ALP EQL,0.0382756867,2020,6,1,31.9475,19.66,289
DWEQ,ADVISORSHARES DOR WR ALP EQL,0.0890385793,2020,7,1,39.2940625,20.4125,289
DWEQ,ADVISORSHARES DOR WR ALP EQL,0.0941655421,2020,8,1,43.3485,22.23,289
DWEQ,ADVISORSHARES DOR WR ALP EQL,-0.015347424,2020,9,1,47.430435,24.3233,289
DWEQ,ADVISORSHARES DOR WR ALP EQL,0.0075156576,2020,10,1,53.28875,23.95,289
DWEQ,ADVISORSHARES DOR WR ALP EQL,0.110493162,2020,11,1,56.10225,24.13,289
DWEQ,ADVISORSHARES DOR WR ALP EQL,0.035420694,2020,12,1,65.65069,26.7962,289
