ticker,conm,ret,year,month,EW,VW,PW,n
FIXD,FIRST TR EXG-TD FD-OT FX ICM,,2017,2,1,,,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.002956936,2017,3,1,,50.39,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0085856772,2017,4,1,,50.13,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0113929067,2017,5,1,50.47,50.47,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.0024987,2017,6,1,50.9465,50.9465,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0020739689,2017,7,1,50.724,50.724,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0089453972,2017,8,1,50.73,50.73,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.001936179,2017,9,1,51.08,51.08,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.000489387,2017,10,1,50.88,50.88,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.000063067,2017,11,1,50.7399,50.7399,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0037472853,2017,12,1,50.65,50.65,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.010916256,2018,1,1,50.75,50.75,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.010919144,2018,2,1,50.0955,50.0955,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0068267325,2018,3,1,284.2685,49.438,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.007138542,2018,4,1,280.579,49.66,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0071268808,2018,5,1,268.031,49.18,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.001932807,2018,6,1,269.2845,49.41,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0016768293,2018,7,1,268.14,49.2,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0069656294,2018,8,1,265.518,49.17,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.006022267,2018,9,1,316.16,49.4,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.005817514,2018,10,1,323.334,48.99,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0039102696,2018,11,1,323.1235,48.59,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0165433621,2018,12,1,355.218,48.66,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0117044994,2019,1,1,370.05,49.34,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0007029524,2019,2,1,440.6415,49.79,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0197183099,2019,3,1,472.15,49.7,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.00039557,2019,4,1,510.656,50.56,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0204284014,2019,5,1,516.805,50.42,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.011299435,2019,6,1,551.7975,51.33,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0023170496,2019,7,1,621.48,51.79,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0262598957,2019,8,1,748.3655,51.79,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.004808599,2019,9,1,872.3435,53.03,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0002848732,2019,10,1,905.666,52.655,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0026641294,2019,11,1,1090.4125,52.55,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.000644854,2019,12,1,1182.825,52.57,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0198764956,2020,1,1,1251.453,51.82,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0157345972,2020,2,1,1455.9,52.75,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.013273509,2020,3,1,1567.257,53.49,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0237317397,2020,4,1,1610.2905,52.71,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0098330241,2020,5,1,1932.315,53.9,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0091962479,2020,6,1,2438.4945,54.37,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0173389305,2020,7,1,2766.895,54.79,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.006648697,2020,8,1,3174.8325,55.65,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.001268346,2020,9,1,3620.464,55.19,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,-0.002544067,2020,10,1,3937.3965,55.03,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0122329743,2020,11,1,4195.382,54.77,187
FIXD,FIRST TR EXG-TD FD-OT FX ICM,0.0018058568,2020,12,1,4480.92,55.32,187
