ticker,conm,ret,year,month,EW,VW,PW,n
FPXI,FIRST TRUST INTL EQTY OPPRT,,2014,11,1,,,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.053516161,2014,12,1,3.063,30.63,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.04243976,2015,1,1,2.89799,28.9799,76
FPXI,FIRST TRUST INTL EQTY OPPRT,0.0688288288,2015,2,1,2.775,27.75,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.00967296,2015,3,1,2.966,29.66,76
FPXI,FIRST TRUST INTL EQTY OPPRT,0.0702592087,2015,4,1,1.466,29.32,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.005879541,2015,5,1,1.569,31.38,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.002275969,2015,6,1,1.559775,31.1955,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.04591451,2015,7,1,1.54755,30.951,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.08093153,2015,8,1,1.476495,29.5299,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.067210759,2015,9,1,1.357,27.14,76
FPXI,FIRST TRUST INTL EQTY OPPRT,0.0909451946,2015,10,1,1.259,25.18,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.016381507,2015,11,1,1.3735,27.47,76
FPXI,FIRST TRUST INTL EQTY OPPRT,0.0044411547,2015,12,1,1.351,27.02,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.099848931,2016,1,1,1.357,27.14,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.025382622,2016,2,1,1.221505,24.4301,76
FPXI,FIRST TRUST INTL EQTY OPPRT,0.1012305754,2016,3,1,1.1905,23.81,76
FPXI,FIRST TRUST INTL EQTY OPPRT,0.0026789131,2016,4,1,1.3065,26.13,76
FPXI,FIRST TRUST INTL EQTY OPPRT,-0.011450382,2016,5,1,1.31,26.2,76
