ticker,conm,ret,year,month,EW,VW,PW,n
FTSM,FIRST TRUST ENHANCED SHT MAT,,2014,8,1,,,61
FTSM,FIRST TRUST ENHANCED SHT MAT,-0.000397926,2014,9,1,3.00307,30.0307,61
FTSM,FIRST TRUST ENHANCED SHT MAT,-0.042585805,2014,10,1,3.001,30.01,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0448729109,2014,11,1,5.744,28.72,61
FTSM,FIRST TRUST ENHANCED SHT MAT,-0.001333333,2014,12,1,1660.5,60,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0031730127,2015,1,1,760.476,59.88,61
FTSM,FIRST TRUST ENHANCED SHT MAT,-0.000499584,2015,2,1,627.5225,60.05,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0008333333,2015,3,1,627,60,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0009995002,2015,4,1,984.492,60.03,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0003329449,2015,5,1,859.001,60.07,61
FTSM,FIRST TRUST ENHANCED SHT MAT,-0.00066589,2015,6,1,594.693,60.07,61
FTSM,FIRST TRUST ENHANCED SHT MAT,-0.001166472,2015,7,1,438.073,60.01,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0183578104,2015,8,1,119.84,59.92,61
FTSM,FIRST TRUST ENHANCED SHT MAT,-0.01795082,2015,9,1,109.8,61,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0011690047,2015,10,1,170.658,59.88,61
FTSM,FIRST TRUST ENHANCED SHT MAT,-0.000417223,2015,11,1,149.8,59.92,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0,2015,12,1,110.741,59.86,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0015880976,2016,1,1,113.658,59.82,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0009186571,2016,2,1,113.753,59.87,61
FTSM,FIRST TRUST ENHANCED SHT MAT,-0.0000835,2016,3,1,113.772,59.88,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0017549724,2016,4,1,113.677,59.83,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0007513775,2016,5,1,113.791,59.89,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0006678911,2016,6,1,395.274,59.89,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0013426854,2016,7,1,407.184,59.88,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0014905592,2016,8,1,347.48032,59.9104,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0008391067,2016,9,1,347.67926,59.9447,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.000333667,2016,10,1,344.655,59.94,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0015025042,2016,11,1,458.235,59.9,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0011680294,2016,12,1,536.3735,59.93,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0008341675,2017,1,1,539.46,59.94,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0018354747,2017,2,1,539.37,59.93,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0009169723,2017,3,1,539.82,59.98,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0010838753,2017,4,1,716.6415,59.97,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0012506253,2017,5,1,746.6265,59.97,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.001417139,2017,6,1,872.709,59.98,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0014167847,2017,7,1,977.9185,59.995,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0011664723,2017,8,1,1023.1705,60.01,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0010414931,2017,9,1,1122.187,60.01,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.00175,2017,10,1,1158,60,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0010827919,2017,11,1,1158.579,60.03,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0006247917,2017,12,1,1158.386,60.02,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0022090697,2018,1,1,1157.614,59.98,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0008745627,2018,2,1,1158.579,60.03,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.000875,2018,3,1,1503,60,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0022931955,2018,4,1,1609.926,59.96,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0017083333,2018,5,1,1959,60,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0016666667,2018,6,1,2106,60,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0022920487,2018,7,1,2183.636,59.99,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0024579237,2018,8,1,2217.3695,60.01,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0016239174,2018,9,1,2494.662,60.04,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0012912363,2018,10,1,2631.877,60.02,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0009836612,2018,11,1,3055.981,59.98,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0009012016,2018,12,1,3496.332,59.92,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0033416876,2019,1,1,3935.1375,59.85,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0026034713,2019,2,1,4119.5,59.92,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0026021685,2019,3,1,4118.565,59.95,61
FTSM,FIRST TRUST ENHANCED SHT MAT,0.0024341447,2019,4,1,4285.571,59.98,61
