ticker,conm,ret,year,month,EW,VW,PW,n
IBTE,ISHARES IBND DEC 2024 TR ETF,,2020,2,1,,,39
IBTE,ISHARES IBND DEC 2024 TR ETF,0.0257323832,2020,3,1,2.526,25.26,39
IBTE,ISHARES IBND DEC 2024 TR ETF,0.0010414126,2020,4,1,11.6595,25.91,39
IBTE,ISHARES IBND DEC 2024 TR ETF,0.0032044359,2020,5,1,11.66625,25.925,39
IBTE,ISHARES IBND DEC 2024 TR ETF,0.0009307559,2020,6,1,11.69775,25.995,39
IBTE,ISHARES IBND DEC 2024 TR ETF,0.0026800231,2020,7,1,11.70225,26.005,39
IBTE,ISHARES IBND DEC 2024 TR ETF,-0.001719877,2020,8,1,11.727,26.06,39
IBTE,ISHARES IBND DEC 2024 TR ETF,0.0005798077,2020,9,1,11.7,26,39
IBTE,ISHARES IBND DEC 2024 TR ETF,-0.001959192,2020,10,1,13,26,39
IBTE,ISHARES IBND DEC 2024 TR ETF,0.0007267399,2020,11,1,12.9675,25.935,39
IBTE,ISHARES IBND DEC 2024 TR ETF,0.0014367772,2020,12,1,12.97,25.94,39
