ticker,conm,ret,year,month,EW,VW,PW,n
IEI,ISHARES 3-7 YR TREAS BD ETF,,2007,1,1,,,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0142886518,2007,2,1,29.952,99.84,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0033510394,2007,3,1,30.306,101.02,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.004201505,2007,4,1,60.6,101,417
IEI,ISHARES 3-7 YR TREAS BD ETF,-0.008683802,2007,5,1,60.636,101.06,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0015333734,2007,6,1,79.848,99.81,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0163279474,2007,7,1,89.622,99.58,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0184496875,2007,8,1,110.891,100.81,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0046821505,2007,9,1,143.22,102.3,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0079274805,2007,10,1,163.84,102.4,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0331785124,2007,11,1,174.845,102.85,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0027721246,2007,12,1,211.8,105.9,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0292835481,2008,1,1,221.592,105.52,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0154933247,2008,2,1,336.691,108.61,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0077554808,2008,3,1,451.082,110.02,417
IEI,ISHARES 3-7 YR TREAS BD ETF,-0.022923267,2008,4,1,508.898,110.63,417
IEI,ISHARES 3-7 YR TREAS BD ETF,-0.012249453,2008,5,1,496.064,107.84,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0073667012,2008,6,1,435.625,106.25,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0071812646,2008,7,1,501.725,106.75,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0097740955,2008,8,1,643.44,107.24,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0099501111,2008,9,1,788.546,108.02,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0146558853,2008,10,1,946.821,108.83,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0383952074,2008,11,1,1024.581,110.17,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.017580142,2008,12,1,1106.867,114.11,417
IEI,ISHARES 3-7 YR TREAS BD ETF,-0.012810617,2009,1,1,1063.15568,115.5604,417
IEI,ISHARES 3-7 YR TREAS BD ETF,-0.00633338,2009,2,1,889.824,114.08,417
IEI,ISHARES 3-7 YR TREAS BD ETF,0.0175393192,2009,3,1,848.25,113.1,417
IEI,ISHARES 3-7 YR TREAS BD ETF,-0.013773573,2009,4,1,861.435,114.858,417
IEI,ISHARES 3-7 YR TREAS BD ETF,-0.009742233,2009,5,1,983.448,113.04,417
