ticker,conm,ret,year,month,EW,VW,PW,n
PNQI,INVESCO NASDAQ INTERNET ETF,,2008,6,1,,,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.025132275,2008,7,1,2.268,22.68,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0013568521,2008,8,1,2.211,22.11,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.148599819,2008,9,1,2.214,22.14,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.285411141,2008,10,1,1.885,18.85,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.058656273,2008,11,1,1.347,13.47,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0853871087,2008,12,1,1.26799,12.6799,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.082909091,2009,1,1,1.375,13.75,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.1054718477,2009,2,1,1.261,12.61,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0817790531,2009,3,1,1.394,13.94,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.191637931,2009,4,1,1.508,15.08,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0656709275,2009,5,1,1.79699,17.9699,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.010966057,2009,6,1,1.915,19.15,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.1066525871,2009,7,1,5.682,18.94,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0009541985,2009,8,1,6.288,20.96,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.1263107722,2009,9,1,6.294,20.98,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.022005925,2009,10,1,7.089,23.63,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0718303765,2009,11,1,9.244,23.11,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0437626161,2009,12,1,9.908,24.77,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.076738609,2010,1,1,12.927,25.854,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0569752828,2010,2,1,14.322,23.87,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0941696393,2010,3,1,15.138,25.23,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.017173865,2010,4,1,16.56354,27.6059,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.042806268,2010,5,1,16.848,28.08,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.065778704,2010,6,1,16.1268,26.878,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0720908005,2010,7,1,15.066,25.11,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0267382857,2010,8,1,16.15212,26.9202,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.1682344428,2010,9,1,19.348,27.64,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0710994116,2010,10,1,19.374,32.29,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.000745971,2010,11,1,27.66864,34.5858,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0037615741,2010,12,1,27.648,34.56,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0363217065,2011,1,1,31.221,34.69,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0203059805,2011,2,1,32.355,35.95,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0699018539,2011,3,1,40.348,36.68,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0551931505,2011,4,1,43.1684,39.244,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.044916687,2011,5,1,45.551,41.41,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.018707965,2011,6,1,47.46,39.55,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0136536623,2011,7,1,50.45313,38.8101,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.064311134,2011,8,1,51.142,39.34,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.135832654,2011,9,1,51.534,36.81,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.1310908519,2011,10,1,44.534,31.81,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.035853252,2011,11,1,50.372,35.98,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.004468146,2011,12,1,58.973,34.69,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0715506008,2012,1,1,55.256,34.535,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0607469059,2012,2,1,51.8084,37.006,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0605288633,2012,3,1,56.9183,39.254,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.012971415,2012,4,1,62.445,41.63,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.080070577,2012,5,1,63.6895,41.09,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0267222929,2012,6,1,54.809855,37.7999,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0002602422,2012,7,1,50.453,38.81,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0280756618,2012,8,1,50.46613,38.8201,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0518667001,2012,9,1,49.8875,39.91,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.058361124,2012,10,1,52.475,41.98,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0144194283,2012,11,1,49.4125,39.53,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0344197007,2012,12,1,48.12,40.1,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0825257003,2013,1,1,49.75032,41.4586,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.005124777,2013,2,1,53.856,44.88,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0092945129,2013,3,1,58.045,44.65,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0231887274,2013,4,1,60.83775,45.065,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0518325743,2013,5,1,64.554,46.11,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0082474227,2013,6,1,72.75,48.5,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.1118609407,2013,7,1,70.905,48.9,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0209674453,2013,8,1,92.429,54.37,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.1093856963,2013,9,1,116.571,55.51,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0172615375,2013,10,1,169.3505,61.582,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0359964881,2013,11,1,216.12525,62.645,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0550077042,2013,12,1,243.375,64.9,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.016649628,2014,1,1,280.727,68.47,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0821327789,2014,2,1,316.451,67.33,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.095113917,2014,3,1,397.087,72.86,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.066130745,2014,4,1,372.5045,65.93,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0461263602,2014,5,1,295.536,61.57,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0560471976,2014,6,1,302.727,64.41,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.001029109,2014,7,1,326.496,68.02,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0264900662,2014,8,1,326.16,67.95,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.019641577,2014,9,1,331.3125,69.75,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.002037145,2014,10,1,314.548,68.38,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0107018246,2014,11,1,300.25908,68.2407,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.027272332,2014,12,1,289.6782,68.971,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.009539425,2015,1,1,281.778,67.09,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0600451467,2015,2,1,232.575,66.45,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.00326519,2015,3,1,225.408,70.44,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0306224185,2015,4,1,224.672,70.21,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0095356551,2015,5,1,217.08,72.36,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0038329911,2015,6,1,226.455,73.05,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0466384836,2015,7,1,216.3235,73.33,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.068534202,2015,8,1,226.4125,76.75,471
PNQI,INVESCO NASDAQ INTERNET ETF,-0.033712407,2015,9,1,228.768,71.49,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.1425754814,2015,10,1,207.2397,69.0799,471
PNQI,INVESCO NASDAQ INTERNET ETF,0.0347274132,2015,11,1,240.73345,78.929,471
