ticker,conm,ret,year,month,EW,VW,PW,n
RFEM,FIRST TR RIVERFR DYN EMG MKT,,2016,6,1,,,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.1099412837,2016,7,1,4.939,49.39,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0171415542,2016,8,1,5.482,54.82,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0286299962,2016,9,1,5.57597,55.7597,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.003872558,2016,10,1,5.681,56.81,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.042940449,2016,11,1,5.659,56.59,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0009878139,2016,12,1,8.124,54.16,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0727410494,2017,1,1,10.558,52.79,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0383189122,2017,2,1,11.326,56.63,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0221887755,2017,3,1,11.76,58.8,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.007498801,2017,4,1,12.00992,60.0496,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0328942692,2017,5,1,24.19996,60.4999,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.001195391,2017,6,1,31.245,62.49,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0644073241,2017,7,1,34.243,62.26,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0215783914,2017,8,1,46.389,66.27,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.002855244,2017,9,1,57.545,67.7,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0278688525,2017,10,1,70.455,67.1,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.002899812,2017,11,1,72.4185,68.97,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0320590374,2017,12,1,72.2085,68.77,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0987997093,2018,1,1,73.97208,70.4496,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.042834259,2018,2,1,81.2805,77.41,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0062299073,2018,3,1,103.73188,74.0942,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.024288782,2018,4,1,152.766,74.52,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.01911704,2018,5,1,149.0555,72.71,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.066979809,2018,6,1,153.338,71.32,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0104209415,2018,7,1,149.13,66.28,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.038609422,2018,8,1,133.9414,66.9707,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.020001553,2018,9,1,115.893,64.385,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.098067517,2018,10,1,112.239,62.355,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0426404694,2018,11,1,101.232,56.24,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.040296326,2018,12,1,105.54858,58.6381,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.1071619932,2019,1,1,95.183,55.99,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0001613163,2019,2,1,105.383,61.99,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.01,2019,3,1,114.7,62,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0106834877,2019,4,1,115.847,62.62,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,-0.071919291,2019,5,1,117.08465,63.289,143
RFEM,FIRST TR RIVERFR DYN EMG MKT,0.0542398101,2019,6,1,108.664005,58.7373,143
