ticker,conm,ret,year,month,EW,VW,PW,n
SUSL,ISHARES  MSCI USA LEDERS ETF,,2019,5,1,,,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.0637150812,2019,6,1,1099.912,47.41,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.0238680183,2019,7,1,1406.1645,50.31,269
SUSL,ISHARES  MSCI USA LEDERS ETF,-0.014944439,2019,8,1,1437.15132,51.5108,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.0188913699,2019,9,1,1418.21095,50.741,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.014315135,2019,10,1,1590.423,51.47,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.039782174,2019,11,1,1613.19012,52.2068,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.0284868939,2019,12,1,1693.65144,54.2837,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.0095554356,2020,1,1,1836.258,55.56,269
SUSL,ISHARES  MSCI USA LEDERS ETF,-0.074359655,2020,2,1,1862.21788,56.0909,269
SUSL,ISHARES  MSCI USA LEDERS ETF,-0.127378582,2020,3,1,1765.28,51.92,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.1256424761,2020,4,1,1582.29045,45.0795,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.0495946271,2020,5,1,1849.59693,50.7434,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.0192072287,2020,6,1,2263.55,53.26,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.0396466976,2020,7,1,2296.345485,54.0953,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.0759246088,2020,8,1,2378.952,56.24,269
SUSL,ISHARES  MSCI USA LEDERS ETF,-0.03485062,2020,9,1,2562.5985,60.51,269
SUSL,ISHARES  MSCI USA LEDERS ETF,-0.028165721,2020,10,1,2530.395,58.17,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.110058799,2020,11,1,2459.1246,56.5316,269
SUSL,ISHARES  MSCI USA LEDERS ETF,0.0390122288,2020,12,1,2707.80921,62.7534,269
