ticker,conm,ret,year,month,EW,VW,PW,n
TLT,ISHARES 20 PLUS YR TREAS ETF,,2002,7,1,,,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0551314673,2002,8,1,,82.53,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0424047772,2002,9,1,722.764,87.08,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.036806383,2002,10,1,678,90.4,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.009122045,2002,11,1,615.783,86.73,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0450706487,2002,12,1,607.405,85.55,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.005758157,2003,1,1,504.849,88.57,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0308602317,2003,2,1,449.106,88.06,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.013592174,2003,3,1,389.021,90.47,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0104378965,2003,4,1,168.91,88.9,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0628618446,2003,5,1,116.285,89.45,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.017987336,2003,6,1,94.6,94.6,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.09942827,2003,7,1,222,92.5,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0129956106,2003,8,1,447.93,82.95,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.059079425,2003,9,1,769.58,83.65,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.030187225,2003,10,1,405.812,88.22,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.003380162,2003,11,1,408.912,85.19,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0133626219,2003,12,1,221.338,85.13,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0186073727,2004,1,1,281.985,85.45,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0227263557,2004,2,1,235.008,87.04,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.014048951,2004,3,1,177.32,88.66,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.062110776,2004,4,1,214.92,89.55,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.002569369,2004,5,1,292.74,83.64,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0104874729,2004,6,1,581.7,83.1,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0152538912,2004,7,1,401.52,83.65,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0414929897,2004,8,1,355.278,84.59,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0094578672,2004,9,1,394.965,87.77,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.01757217,2004,10,1,317.7,88.25,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.023857368,2004,11,1,411.424,89.44,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0264512422,2004,12,1,182.574,86.94,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0356860531,2005,1,1,540.155,88.55,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.014670101,2005,2,1,513.576,91.71,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.004528649,2005,3,1,585.13,90.02,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0385088996,2005,4,1,616.377,89.33,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0312635223,2005,5,1,711.788,92.44,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0215709158,2005,6,1,475,95,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.033696359,2005,7,1,628.55,96.7,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0346372355,2005,8,1,856.612,93.11,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.0360015,2005,9,1,614.336,95.99,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.022322885,2005,10,1,765.26,92.2,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0068670082,2005,11,1,888.822,89.78,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0296965,2005,12,1,1026,90,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.013384113,2006,1,1,836.29,91.9,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0110349399,2006,2,1,625.623,90.67,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.045542003,2006,3,1,785.61,91.35,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.027416151,2006,4,1,990.318,86.87,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.001904218,2006,5,1,1102.496,84.16,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0117392972,2006,6,1,1087.71,83.67,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0214269331,2006,7,1,1273.232,84.32,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0305600932,2006,8,1,1475.76,85.8,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0188482516,2006,9,1,1506.168,88.08,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0086551292,2006,10,1,1376.606,89.39,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0229979624,2006,11,1,1499.827,89.81,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.02682491,2006,12,1,1382.103,91.53,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.009951374,2007,1,1,1432.566,88.43,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0337554769,2007,2,1,1365.78,87.55,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.016942407,2007,3,1,1424.37,90.15,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0090170933,2007,4,1,1615.524,88.28,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.023053318,2007,5,1,1677.375,88.75,342
TLT,ISHARES 20 PLUS YR TREAS ETF,-0.010100116,2007,6,1,1701.686,86.38,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0330596102,2007,7,1,1890.774,85.17,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0178018937,2007,8,1,1840.86,87.66,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0022703645,2007,9,1,1759.824,88.88,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0180879058,2007,10,1,1650.192,88.72,342
TLT,ISHARES 20 PLUS YR TREAS ETF,0.0532759502,2007,11,1,1214.73,89.98,342
