ticker,conm,ret,year,month,EW,VW,PW,n
VCSH,VANGUARD SCTTSDL SHT-CP BD,,2009,11,1,,,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.002523451,2009,12,1,7.569,75.69,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0101818665,2010,1,1,60.264,75.33,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0036461761,2010,2,1,136.746,75.97,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0035601682,2010,3,1,167.464,76.12,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0056678037,2010,4,1,236.282,76.22,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.001319916,2010,5,1,367.296,76.52,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0070548125,2010,6,1,427.056,76.26,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0149368608,2010,7,1,521.2608,76.656,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0044049459,2010,8,1,597.828,77.64,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0086598998,2010,9,1,708.253,77.83,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0045437141,2010,10,1,791.335,78.35,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.005372374,2010,11,1,895.47,78.55,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.004411388,2010,12,1,927.962,77.98,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0057356931,2011,1,1,959.884,77.41,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0017359413,2011,2,1,1064.627,77.71,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.001452839,2011,3,1,1165.6485,77.7099,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0117654656,2011,4,1,1362.768,77.43,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0067007673,2011,5,1,1493.62,78.2,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.000903653,2011,6,1,1571.4,78.57,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0071091257,2011,7,1,1684.525,78.35,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.000926984,2011,8,1,1740.375,78.75,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.009690564,2011,9,1,1916.132,78.53,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0078974491,2011,10,1,2025.882,77.62,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.008465676,2011,11,1,2061.312,78.08,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0108450887,2011,12,1,2094.017,77.27,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0126637555,2012,1,1,2234.582,77.86,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0089326557,2012,2,1,2400.35,78.7,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.000845319,2012,3,1,2671.062,79.26,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0040991903,2012,4,1,2821.728,79.04,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.001489523,2012,5,1,2867.764,79.22,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0044078531,2012,6,1,3055.365,78.95,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0091092862,2012,7,1,3213.49,79.15,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0064601104,2012,8,1,3380.128,79.72,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0047321763,2012,9,1,3523.96,80.09,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0046060002,2012,10,1,3703.213,80.33,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.000024783,2012,11,1,3938.16,80.7,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0017282109,2012,12,1,4496.037,80.43,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.000273904,2013,1,1,4642.496,80.32,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0032555819,2013,2,1,4770.115,80.17,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0020047317,2013,3,1,4995.282,80.31,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0044812348,2013,4,1,5253.909,80.335,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.006304294,2013,5,1,5414.976,80.58,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.009143215,2013,6,1,6004.245,79.95,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0072313527,2013,7,1,6201.44,79.1,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.003205531,2013,8,1,6228.765,79.55,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.006819904,2013,9,1,6492.76,79.18,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0076884422,2013,10,1,6758.04,79.6,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0027344238,2013,11,1,7023.893,80.09,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,-0.001396683,2013,12,1,6920.397,80.19,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0046377538,2014,1,1,7252.002,79.78,494
VCSH,VANGUARD SCTTSDL SHT-CP BD,0.0038053649,2014,2,1,7670.355,80.15,494
