ticker,conm,ret,year,month,EW,VW,PW,n
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,,2009,11,1,,,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.014725144,2009,12,1,20.156,50.39,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0146720484,2010,1,1,39.68955,49.55,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.000757425,2010,2,1,40.18617,50.17,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0021991204,2010,3,1,40.06602,50.02,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0045949456,2010,4,1,45.099555,50.055,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0122266481,2010,5,1,45.23921,50.21,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0105262328,2010,6,1,45.7166499,50.7399,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0085580305,2010,7,1,25.64118,51.18,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0004076483,2010,8,1,30.960515,51.515,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.003456454,2010,9,1,30.91544,51.44,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.013096931,2010,10,1,35.8878352,51.1952,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.004401727,2010,11,1,36.2625197,51.7297,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.004318226,2010,12,1,36.03841,51.41,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0029037391,2011,1,1,35.24628,50.28,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0016885181,2011,2,1,40.32234,50.34,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.001620977,2011,3,1,45.35634,50.34,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0141884698,2011,4,1,50.2035534,50.1534,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0109973417,2011,5,1,55.914285,50.785,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.000321936,2011,6,1,56.4290025,51.2525,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0071470473,2011,7,1,56.30514,51.14,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0150278672,2011,8,1,61.7368045,51.4045,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.002189781,2011,9,1,72.93606,52.06,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0009066358,2011,10,1,82.99584,51.84,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0021822676,2011,11,1,88.079481,51.781,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0074869716,2011,12,1,93.30981,51.81,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0037220581,2012,1,1,129.7516299,51.8799,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.000423077,2012,2,1,150.852,52,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0007514451,2012,3,1,160.9419,51.9,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0066126856,2012,4,1,176.40987,51.87,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0026467204,2012,5,1,177.32814,52.14,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0035235542,2012,6,1,182.82222,52.22,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0061329767,2012,7,1,188.47634,52.34,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0045808782,2012,8,1,210.49261,52.61,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,0.0017042227,2012,9,1,227.13581,52.81,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.00319658,2012,10,1,248.537169,52.869,498
VMBS,VANGUARD SCTTSDL MTG-BKD SEC,-0.00227704,2012,11,1,268.8227,52.7,498
